# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;škeriaca sa tvár;škeriaca sa tvár|tvár|úškľabok|úškrn
	👨🏿‍🦽‍➡️;muž na mechanickom invalidnom vozíku smerom doprava;handicap|hendikep|invalidný|muž na mechanickom invalidnom vozíku|muž na mechanickom invalidnom vozíku smerom doprava|pomôcka|postihnutie|vozík
👩‍🦽;žena na mechanickom invalidnom vozíku;handicap|hendikep|invalidný|pomôcka|postihnutie|vozík|žena na mechanickom invalidnom vozíku
	👩🏻‍🦽;žena na mechanickom invalidnom vozíku: svetlý tón pleti;handicap|hendikep|invalidný|pomôcka|postihnutie|svetlý tón pleti|vozík|žena na mechanickom invalidnom vozíku|žena na mechanickom invalidnom vozíku: svetlý tón pleti
	👩🏼‍🦽;žena na mechanickom invalidnom vozíku: stredne svetlý tón pleti;handicap|hendikep|invalidný|pomôcka|postihnutie|stredne svetlý tón pleti|vozík|žena na mechanickom invalidnom vozíku|žena na mechanickom invalidnom vozíku: stredne svetlý tón pleti
	👩🏽‍🦽;žena na mechanickom invalidnom vozíku: stredný tón pleti;handicap|hendikep|invalidný|pomôcka|postihnutie|stredný tón pleti|vozík|žena na mechanickom invalidnom vozíku|žena na mechanickom invalidnom vozíku: stredný tón pleti
	👩🏾‍🦽;žena na mechanickom invalidnom vozíku: stredne tmavý tón pleti;handicap|hendikep|invalidný|pomôcka|postihnutie|stredne tmavý tón pleti|vozík|žena na mechanickom invalidnom vozíku|žena na mechanickom invalidnom vozíku: stredne tmavý tón pleti
	👩🏿‍🦽;žena na mechanickom invalidnom vozíku: tmavý tón pleti;handicap|hendikep|invalidný|pomôcka|postihnutie|tmavý tón pleti|vozík|žena na mechanickom invalidnom vozíku|žena na mechanickom invalidnom vozíku: tmavý tón pleti
👩‍🦽‍➡️;žena na mechanickom invalidnom vozíku smerom doprava;handicap|hendikep|invalidný|pomôcka|postihnutie|vozík|žena na mechanickom invalidnom vozíku|žena na mechanickom invalidnom vozíku smerom doprava
	👩🏻‍🦽‍➡️;žena na mechanickom invalidnom vozíku smerom doprava;handicap|hendikep|invalidný|pomôcka|postihnutie|vozík|žena na mechanickom invalidnom vozíku|žena na mechanickom invalidnom vozíku smerom doprava
	👩🏼‍🦽‍➡️;žena na mechanickom invalidnom vozíku smerom doprava;handicap|hendikep|invalidný|pomôcka|postihnutie|vozík|žena na mechanickom invalidnom vozíku|žena na mechanickom invalidnom vozíku smerom doprava
	👩🏽‍🦽‍➡️;žena na mechanickom invalidnom vozíku smerom doprava;handicap|hendikep|invalidný|pomôcka|postihnutie|vozík|žena na mechanickom invalidnom vozíku|žena na mechanickom invalidnom vozíku smerom doprava
	👩🏾‍🦽‍➡️;žena na mechanickom invalidnom vozíku smerom doprava;handicap|hendikep|invalidný|pomôcka|postihnutie|vozík|žena na mechanickom invalidnom vozíku|žena na mechanickom invalidnom vozíku smerom doprava
	👩🏿‍🦽‍➡️;žena na mechanickom invalidnom vozíku smerom doprava;handicap|hendikep|invalidný|pomôcka|postihnutie|vozík|žena na mechanickom invalidnom vozíku|žena na mechanickom invalidnom vozíku smerom doprava
🏃;bežiaci človek;beh|bežiaci človek|maratón|preteky
	🏃🏻;bežiaci človek: svetlý tón pleti;beh|bežiaci človek|bežiaci človek: svetlý tón pleti|maratón|preteky|svetlý tón pleti
	🏃🏼;bežiaci človek: stredne svetlý tón pleti;beh|bežiaci človek|bežiaci človek: stredne svetlý tón pleti|maratón|preteky|stredne svetlý tón pleti
	🏃🏽;bežiaci človek: stredný tón pleti;beh|bežiaci človek|bežiaci človek: stredný tón pleti|maratón|preteky|stredný tón pleti
	🏃🏾;bežiaci človek: stredne tmavý tón pleti;beh|bežiaci človek|bežiaci človek: stredne tmavý tón pleti|maratón|preteky|stredne tmavý tón pleti
	🏃🏿;bežiaci človek: tmavý tón pleti;beh|bežiaci človek|bežiaci človek: tmavý tón pleti|maratón|preteky|tmavý tón pleti
🏃‍♂️;bežec;beh|bežec|maratón|muž|preteky
	🏃🏻‍♂️;bežec: svetlý tón pleti;beh|bežec|bežec: svetlý tón pleti|maratón|muž|preteky|svetlý tón pleti
	🏃🏼‍♂️;bežec: stredne svetlý tón pleti;beh|bežec|bežec: stredne svetlý tón pleti|maratón|muž|preteky|stredne svetlý tón pleti
	🏃🏽‍♂️;bežec: stredný tón pleti;beh|bežec|bežec: stredný tón pleti|maratón|muž|preteky|stredný tón pleti
	🏃🏾‍♂️;bežec: stredne tmavý tón pleti;beh|bežec|bežec: stredne tmavý tón pleti|maratón|muž|preteky|stredne tmavý tón pleti
	🏃🏿‍♂️;bežec: tmavý tón pleti;beh|bežec|bežec: tmavý tón pleti|maratón|muž|preteky|tmavý tón pleti
🏃‍♀️;bežkyňa;beh|bežkyňa|maratón|preteky|žena
	🏃🏻‍♀️;bežkyňa: svetlý tón pleti;beh|bežkyňa|bežkyňa: svetlý tón pleti|maratón|preteky|svetlý tón pleti|žena
	🏃🏼‍♀️;bežkyňa: stredne svetlý tón pleti;beh|bežkyňa|bežkyňa: stredne svetlý tón pleti|maratón|preteky|stredne svetlý tón pleti|žena
	🏃🏽‍♀️;bežkyňa: stredný tón pleti;beh|bežkyňa|bežkyňa: stredný tón pleti|maratón|preteky|stredný tón pleti|žena
	🏃🏾‍♀️;bežkyňa: stredne tmavý tón pleti;beh|bežkyňa|bežkyňa: stredne tmavý tón pleti|maratón|preteky|stredne tmavý tón pleti|žena
	🏃🏿‍♀️;bežkyňa: tmavý tón pleti;beh|bežkyňa|bežkyňa: tmavý tón pleti|maratón|preteky|tmavý tón pleti|žena
🏃‍➡️;bežiaci človek smerom doprava;beh|bežiaci človek|bežiaci človek smerom doprava|maratón|preteky
	🏃🏻‍➡️;bežiaci človek smerom doprava;beh|bežiaci človek|bežiaci človek smerom doprava|maratón|preteky
	🏃🏼‍➡️;bežiaci človek smerom doprava;beh|bežiaci človek|bežiaci človek smerom doprava|maratón|preteky
	🏃🏽‍➡️;bežiaci človek smerom doprava;beh|bežiaci človek|bežiaci človek smerom doprava|maratón|preteky
	🏃🏾‍➡️;bežiaci človek smerom doprava;beh|bežiaci človek|bežiaci človek smerom doprava|maratón|preteky
	🏃🏿‍➡️;bežiaci človek smerom doprava;beh|bežiaci človek|bežiaci človek smerom doprava|maratón|preteky
🏃‍♀️‍➡️;bežkyňa smerom doprava;beh|bežkyňa|bežkyňa smerom doprava|maratón|preteky|žena
	🏃🏻‍♀️‍➡️;bežkyňa smerom doprava;beh|bežkyňa|bežkyňa smerom doprava|maratón|preteky|žena
	🏃🏼‍♀️‍➡️;bežkyňa smerom doprava;beh|bežkyňa|bežkyňa smerom doprava|maratón|preteky|žena
	🏃🏽‍♀️‍➡️;bežkyňa smerom doprava;beh|bežkyňa|bežkyňa smerom doprava|maratón|preteky|žena
	🏃🏾‍♀️‍➡️;bežkyňa smerom doprava;beh|bežkyňa|bežkyňa smerom doprava|maratón|preteky|žena
	🏃🏿‍♀️‍➡️;bežkyňa smerom doprava;beh|bežkyňa|bežkyňa smerom doprava|maratón|preteky|žena
🏃‍♂️‍➡️;bežec smerom doprava;beh|bežec|bežec smerom doprava|maratón|muž|preteky
	🏃🏻‍♂️‍➡️;bežec smerom doprava;beh|bežec|bežec smerom doprava|maratón|muž|preteky
	🏃🏼‍♂️‍➡️;bežec smerom doprava;beh|bežec|bežec smerom doprava|maratón|muž|preteky
	🏃🏽‍♂️‍➡️;bežec smerom doprava;beh|bežec|bežec smerom doprava|maratón|muž|preteky
	🏃🏾‍♂️‍➡️;bežec smerom doprava;beh|bežec|bežec smerom doprava|maratón|muž|preteky
	🏃🏿‍♂️‍➡️;bežec smerom doprava;beh|bežec|bežec smerom doprava|maratón|muž|preteky
💃;tanečníčka;tanec|tanečníčka|žena
	💃🏻;tanečníčka: svetlý tón pleti;svetlý tón pleti|tanec|tanečníčka|tanečníčka: svetlý tón pleti|žena
	💃🏼;tanečníčka: stredne svetlý tón pleti;stredne svetlý tón pleti|tanec|tanečníčka|tanečníčka: stredne svetlý tón pleti|žena
	💃🏽;tanečníčka: stredný tón pleti;stredný tón pleti|tanec|tanečníčka|tanečníčka: stredný tón pleti|žena
	💃🏾;tanečníčka: stredne tmavý tón pleti;stredne tmavý tón pleti|tanec|tanečníčka|tanečníčka: stredne tmavý tón pleti|žena
	💃🏿;tanečníčka: tmavý tón pleti;tanec|tanečníčka|tanečníčka: tmavý tón pleti|tmavý tón pleti|žena
🕺;tanečník;muž|tanec|tanečník
	🕺🏻;tanečník: svetlý tón pleti;muž|svetlý tón pleti|tanec|tanečník|tanečník: svetlý tón pleti
	🕺🏼;tanečník: stredne svetlý tón pleti;muž|stredne svetlý tón pleti|tanec|tanečník|tanečník: stredne svetlý tón pleti
	🕺🏽;tanečník: stredný tón pleti;muž|stredný tón pleti|tanec|tanečník|tanečník: stredný tón pleti
	🕺🏾;tanečník: stredne tmavý tón pleti;muž|stredne tmavý tón pleti|tanec|tanečník|tanečník: stredne tmavý tón pleti
	🕺🏿;tanečník: tmavý tón pleti;muž|tanec|tanečník|tanečník: tmavý tón pleti|tmavý tón pleti
🕴️;levitujúci muž v saku;levitujúci muž v saku|muž|oblek|podnikanie
	🕴🏻;levitujúci muž v saku: svetlý tón pleti;levitujúci muž v saku|levitujúci muž v saku: svetlý tón pleti|muž|oblek|podnikanie|svetlý tón pleti
	🕴🏼;levitujúci muž v saku: stredne svetlý tón pleti;levitujúci muž v saku|levitujúci muž v saku: stredne svetlý tón pleti|muž|oblek|podnikanie|stredne svetlý tón pleti
	🕴🏽;levitujúci muž v saku: stredný tón pleti;levitujúci muž v saku|levitujúci muž v saku: stredný tón pleti|muž|oblek|podnikanie|stredný tón pleti
	🕴🏾;levitujúci muž v saku: stredne tmavý tón pleti;levitujúci muž v saku|levitujúci muž v saku: stredne tmavý tón pleti|muž|oblek|podnikanie|stredne tmavý tón pleti
	🕴🏿;levitujúci muž v saku: tmavý tón pleti;levitujúci muž v saku|levitujúci muž v saku: tmavý tón pleti|muž|oblek|podnikanie|tmavý tón pleti
👯;ľudia so zajačími ušami;ľudia so zajačími ušami|tanec|uši|zábava|zajačik
👯‍♂️;muži so zajačími ušami;muži so zajačími ušami|tanec|uši|zábava|zajačik
👯‍♀️;ženy so zajačími ušami;tanec|uši|zábava|zajačik|ženy so zajačími ušami
🧖;človek v pare;človek v pare|kúpeľ|para|sauna
	🧖🏻;človek v pare: svetlý tón pleti;človek v pare|človek v pare: svetlý tón pleti|kúpeľ|para|sauna|svetlý tón pleti
	🧖🏼;človek v pare: stredne svetlý tón pleti;človek v pare|človek v pare: stredne svetlý tón pleti|kúpeľ|para|sauna|stredne svetlý tón pleti
	🧖🏽;človek v pare: stredný tón pleti;človek v pare|človek v pare: stredný tón pleti|kúpeľ|para|sauna|stredný tón pleti
	🧖🏾;človek v pare: stredne tmavý tón pleti;človek v pare|človek v pare: stredne tmavý tón pleti|kúpeľ|para|sauna|stredne tmavý tón pleti
	🧖🏿;človek v pare: tmavý tón pleti;človek v pare|človek v pare: tmavý tón pleti|kúpeľ|para|sauna|tmavý tón pleti
🧖‍♂️;muž v pare;kúpeľ|muž v pare|para|sauna
	🧖🏻‍♂️;muž v pare: svetlý tón pleti;kúpeľ|muž v pare|muž v pare: svetlý tón pleti|para|sauna|svetlý tón pleti
	🧖🏼‍♂️;muž v pare: stredne svetlý tón pleti;kúpeľ|muž v pare|muž v pare: stredne svetlý tón pleti|para|sauna|stredne svetlý tón pleti
	🧖🏽‍♂️;muž v pare: stredný tón pleti;kúpeľ|muž v pare|muž v pare: stredný tón pleti|para|sauna|stredný tón pleti
	🧖🏾‍♂️;muž v pare: stredne tmavý tón pleti;kúpeľ|muž v pare|muž v pare: stredne tmavý tón pleti|para|sauna|stredne tmavý tón pleti
	🧖🏿‍♂️;muž v pare: tmavý tón pleti;kúpeľ|muž v pare|muž v pare: tmavý tón pleti|para|sauna|tmavý tón pleti
🧖‍♀️;žena v pare;kúpeľ|para|sauna|žena v pare
	🧖🏻‍♀️;žena v pare: svetlý tón pleti;kúpeľ|para|sauna|svetlý tón pleti|žena v pare|žena v pare: svetlý tón pleti
	🧖🏼‍♀️;žena v pare: stredne svetlý tón pleti;kúpeľ|para|sauna|stredne svetlý tón pleti|žena v pare|žena v pare: stredne svetlý tón pleti
	🧖🏽‍♀️;žena v pare: stredný tón pleti;kúpeľ|para|sauna|stredný tón pleti|žena v pare|žena v pare: stredný tón pleti
	🧖🏾‍♀️;žena v pare: stredne tmavý tón pleti;kúpeľ|para|sauna|stredne tmavý tón pleti|žena v pare|žena v pare: stredne tmavý tón pleti
	🧖🏿‍♀️;žena v pare: tmavý tón pleti;kúpeľ|para|sauna|tmavý tón pleti|žena v pare|žena v pare: tmavý tón pleti
🧗;človek na skale;človek na skale|horolezectvo|lezectvo
	🧗🏻;človek na skale: svetlý tón pleti;človek na skale|človek na skale: svetlý tón pleti|horolezectvo|lezectvo|svetlý tón pleti
	🧗🏼;človek na skale: stredne svetlý tón pleti;človek na skale|človek na skale: stredne svetlý tón pleti|horolezectvo|lezectvo|stredne svetlý tón pleti
	🧗🏽;človek na skale: stredný tón pleti;človek na skale|človek na skale: stredný tón pleti|horolezectvo|lezectvo|stredný tón pleti
	🧗🏾;človek na skale: stredne tmavý tón pleti;človek na skale|človek na skale: stredne tmavý tón pleti|horolezectvo|lezectvo|stredne tmavý tón pleti
	🧗🏿;človek na skale: tmavý tón pleti;človek na skale|človek na skale: tmavý tón pleti|horolezectvo|lezectvo|tmavý tón pleti
🧗‍♂️;lezec;horolezectvo|lezec|lezectvo
	🧗🏻‍♂️;lezec: svetlý tón pleti;horolezectvo|lezec|lezec: svetlý tón pleti|lezectvo|svetlý tón pleti
	🧗🏼‍♂️;lezec: stredne svetlý tón pleti;horolezectvo|lezec|lezec: stredne svetlý tón pleti|lezectvo|stredne svetlý tón pleti
	🧗🏽‍♂️;lezec: stredný tón pleti;horolezectvo|lezec|lezec: stredný tón pleti|lezectvo|stredný tón pleti
	🧗🏾‍♂️;lezec: stredne tmavý tón pleti;horolezectvo|lezec|lezec: stredne tmavý tón pleti|lezectvo|stredne tmavý tón pleti
	🧗🏿‍♂️;lezec: tmavý tón pleti;horolezectvo|lezec|lezec: tmavý tón pleti|lezectvo|tmavý tón pleti
🧗‍♀️;lezkyňa;horolezectvo|lezectvo|lezkyňa
	🧗🏻‍♀️;lezkyňa: svetlý tón pleti;horolezectvo|lezectvo|lezkyňa|lezkyňa: svetlý tón pleti|svetlý tón pleti
	🧗🏼‍♀️;lezkyňa: stredne svetlý tón pleti;horolezectvo|lezectvo|lezkyňa|lezkyňa: stredne svetlý tón pleti|stredne svetlý tón pleti
	🧗🏽‍♀️;lezkyňa: stredný tón pleti;horolezectvo|lezectvo|lezkyňa|lezkyňa: stredný tón pleti|stredný tón pleti
	🧗🏾‍♀️;lezkyňa: stredne tmavý tón pleti;horolezectvo|lezectvo|lezkyňa|lezkyňa: stredne tmavý tón pleti|stredne tmavý tón pleti
	🧗🏿‍♀️;lezkyňa: tmavý tón pleti;horolezectvo|lezectvo|lezkyňa|lezkyňa: tmavý tón pleti|tmavý tón pleti
🤺;šermiar;človek|kord|meč|šerm|šermiar|šport
🏇;dostihy;dostihy|džokej|kôň|preteky
	🏇🏻;dostihy: svetlý tón pleti;dostihy|dostihy: svetlý tón pleti|džokej|kôň|preteky|svetlý tón pleti
	🏇🏼;dostihy: stredne svetlý tón pleti;dostihy|dostihy: stredne svetlý tón pleti|džokej|kôň|preteky|stredne svetlý tón pleti
	🏇🏽;dostihy: stredný tón pleti;dostihy|dostihy: stredný tón pleti|džokej|kôň|preteky|stredný tón pleti
	🏇🏾;dostihy: stredne tmavý tón pleti;dostihy|dostihy: stredne tmavý tón pleti|džokej|kôň|preteky|stredne tmavý tón pleti
	🏇🏿;dostihy: tmavý tón pleti;dostihy|dostihy: tmavý tón pleti|džokej|kôň|preteky|tmavý tón pleti
⛷️;lyžiar;lyže|lyžiar|sneh
🏂;snoubordista;lyže|sneh|snoubord|snoubordista|snowboard
	🏂🏻;snoubordista: svetlý tón pleti;lyže|sneh|snoubord|snoubordista|snoubordista: svetlý tón pleti|snowboard|svetlý tón pleti
	🏂🏼;snoubordista: stredne svetlý tón pleti;lyže|sneh|snoubord|snoubordista|snoubordista: stredne svetlý tón pleti|snowboard|stredne svetlý tón pleti
	🏂🏽;snoubordista: stredný tón pleti;lyže|sneh|snoubord|snoubordista|snoubordista: stredný tón pleti|snowboard|stredný tón pleti
	🏂🏾;snoubordista: stredne tmavý tón pleti;lyže|sneh|snoubord|snoubordista|snoubordista: stredne tmavý tón pleti|snowboard|stredne tmavý tón pleti
	🏂🏿;snoubordista: tmavý tón pleti;lyže|sneh|snoubord|snoubordista|snoubordista: tmavý tón pleti|snowboard|tmavý tón pleti
🏌️;hráč golfu;golf|hráč golfu|loptička
	🏌🏻;hráč golfu: svetlý tón pleti;golf|hráč golfu|hráč golfu: svetlý tón pleti|loptička|svetlý tón pleti
	🏌🏼;hráč golfu: stredne svetlý tón pleti;golf|hráč golfu|hráč golfu: stredne svetlý tón pleti|loptička|stredne svetlý tón pleti
	🏌🏽;hráč golfu: stredný tón pleti;golf|hráč golfu|hráč golfu: stredný tón pleti|loptička|stredný tón pleti
	🏌🏾;hráč golfu: stredne tmavý tón pleti;golf|hráč golfu|hráč golfu: stredne tmavý tón pleti|loptička|stredne tmavý tón pleti
	🏌🏿;hráč golfu: tmavý tón pleti;golf|hráč golfu|hráč golfu: tmavý tón pleti|loptička|tmavý tón pleti
🏌️‍♂️;golfista;golf|golfista|muž
	🏌🏻‍♂️;golfista: svetlý tón pleti;golf|golfista|golfista: svetlý tón pleti|muž|svetlý tón pleti
	🏌🏼‍♂️;golfista: stredne svetlý tón pleti;golf|golfista|golfista: stredne svetlý tón pleti|muž|stredne svetlý tón pleti
