# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;दाँत दिखाता चेहरा;खीस|चेहरा|दाँत दिखाता चेहरा
	🧚🏾;परी: हल्की साँवली त्वचा;ऑबेरॉन|टाइटैनिया|पक|परी|परी: हल्की साँवली त्वचा|हल्की साँवली त्वचा
	🧚🏿;परी: साँवली त्वचा;ऑबेरॉन|टाइटैनिया|पक|परी|परी: साँवली त्वचा|साँवली त्वचा
🧚‍♂️;देवदूत;ऑबेरॉन|देवदूत|पक
	🧚🏻‍♂️;देवदूत: गोरी त्वचा;ऑबेरॉन|गोरी त्वचा|देवदूत|देवदूत: गोरी त्वचा|पक
	🧚🏼‍♂️;देवदूत: हल्की गोरी त्वचा;ऑबेरॉन|देवदूत|देवदूत: हल्की गोरी त्वचा|पक|हल्की गोरी त्वचा
	🧚🏽‍♂️;देवदूत: गेहुँआ त्वचा;ऑबेरॉन|गेहुँआ त्वचा|देवदूत|देवदूत: गेहुँआ त्वचा|पक
	🧚🏾‍♂️;देवदूत: हल्की साँवली त्वचा;ऑबेरॉन|देवदूत|देवदूत: हल्की साँवली त्वचा|पक|हल्की साँवली त्वचा
	🧚🏿‍♂️;देवदूत: साँवली त्वचा;ऑबेरॉन|देवदूत|देवदूत: साँवली त्वचा|पक|साँवली त्वचा
🧚‍♀️;अप्सरा;अप्सरा|टाइटैनिया
	🧚🏻‍♀️;अप्सरा: गोरी त्वचा;अप्सरा|अप्सरा: गोरी त्वचा|गोरी त्वचा|टाइटैनिया
	🧚🏼‍♀️;अप्सरा: हल्की गोरी त्वचा;अप्सरा|अप्सरा: हल्की गोरी त्वचा|टाइटैनिया|हल्की गोरी त्वचा
	🧚🏽‍♀️;अप्सरा: गेहुँआ त्वचा;अप्सरा|अप्सरा: गेहुँआ त्वचा|गेहुँआ त्वचा|टाइटैनिया
	🧚🏾‍♀️;अप्सरा: हल्की साँवली त्वचा;अप्सरा|अप्सरा: हल्की साँवली त्वचा|टाइटैनिया|हल्की साँवली त्वचा
	🧚🏿‍♀️;अप्सरा: साँवली त्वचा;अप्सरा|अप्सरा: साँवली त्वचा|टाइटैनिया|साँवली त्वचा
🧛;वैम्पायर;ड्रैक्युला|मर कर भी जीवित|वैम्पायर
	🧛🏻;वैम्पायर: गोरी त्वचा;गोरी त्वचा|ड्रैक्युला|मर कर भी जीवित|वैम्पायर|वैम्पायर: गोरी त्वचा
	🧛🏼;वैम्पायर: हल्की गोरी त्वचा;ड्रैक्युला|मर कर भी जीवित|वैम्पायर|वैम्पायर: हल्की गोरी त्वचा|हल्की गोरी त्वचा
	🧛🏽;वैम्पायर: गेहुँआ त्वचा;गेहुँआ त्वचा|ड्रैक्युला|मर कर भी जीवित|वैम्पायर|वैम्पायर: गेहुँआ त्वचा
