# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;laia naeratusega nägu;irve|laia naeratusega nägu|naeratus|nägu
	🏃🏾‍♀️‍➡️;jooksev naine suunaga paremale;jooksev naine|jooksev naine suunaga paremale|jooksja|maraton|naine|võistlus
	🏃🏿‍♀️‍➡️;jooksev naine suunaga paremale;jooksev naine|jooksev naine suunaga paremale|jooksja|maraton|naine|võistlus
🏃‍♂️‍➡️;jooksev mees suunaga paremale;jooksev mees|jooksev mees suunaga paremale|jooksja|maraton|mees|võistlus
	🏃🏻‍♂️‍➡️;jooksev mees suunaga paremale;jooksev mees|jooksev mees suunaga paremale|jooksja|maraton|mees|võistlus
	🏃🏼‍♂️‍➡️;jooksev mees suunaga paremale;jooksev mees|jooksev mees suunaga paremale|jooksja|maraton|mees|võistlus
	🏃🏽‍♂️‍➡️;jooksev mees suunaga paremale;jooksev mees|jooksev mees suunaga paremale|jooksja|maraton|mees|võistlus
	🏃🏾‍♂️‍➡️;jooksev mees suunaga paremale;jooksev mees|jooksev mees suunaga paremale|jooksja|maraton|mees|võistlus
	🏃🏿‍♂️‍➡️;jooksev mees suunaga paremale;jooksev mees|jooksev mees suunaga paremale|jooksja|maraton|mees|võistlus
💃;tantsiv naine;naine|tants|tantsimine|tantsiv naine
	💃🏻;tantsiv naine: hele nahatoon;hele nahatoon|naine|tants|tantsimine|tantsiv naine|tantsiv naine: hele nahatoon
	💃🏼;tantsiv naine: keskmiselt hele nahatoon;keskmiselt hele nahatoon|naine|tants|tantsimine|tantsiv naine|tantsiv naine: keskmiselt hele nahatoon
	💃🏽;tantsiv naine: keskmine nahatoon;keskmine nahatoon|naine|tants|tantsimine|tantsiv naine|tantsiv naine: keskmine nahatoon
	💃🏾;tantsiv naine: keskmiselt tume nahatoon;keskmiselt tume nahatoon|naine|tants|tantsimine|tantsiv naine|tantsiv naine: keskmiselt tume nahatoon
	💃🏿;tantsiv naine: tume nahatoon;naine|tants|tantsimine|tantsiv naine|tantsiv naine: tume nahatoon|tume nahatoon
🕺;tantsiv mees;mees|tants|tantsiv mees
	🕺🏻;tantsiv mees: hele nahatoon;hele nahatoon|mees|tants|tantsiv mees|tantsiv mees: hele nahatoon
	🕺🏼;tantsiv mees: keskmiselt hele nahatoon;keskmiselt hele nahatoon|mees|tants|tantsiv mees|tantsiv mees: keskmiselt hele nahatoon
	🕺🏽;tantsiv mees: keskmine nahatoon;keskmine nahatoon|mees|tants|tantsiv mees|tantsiv mees: keskmine nahatoon
	🕺🏾;tantsiv mees: keskmiselt tume nahatoon;keskmiselt tume nahatoon|mees|tants|tantsiv mees|tantsiv mees: keskmiselt tume nahatoon
	🕺🏿;tantsiv mees: tume nahatoon;mees|tants|tantsiv mees|tantsiv mees: tume nahatoon|tume nahatoon
🕴️;hõljuv ülikonnaga mees;ärimees|hõljuv ülikonnaga mees|mees|ülikond
	🕴🏻;hõljuv ülikonnaga mees: hele nahatoon;ärimees|hele nahatoon|hõljuv ülikonnaga mees|hõljuv ülikonnaga mees: hele nahatoon|mees|ülikond
	🕴🏼;hõljuv ülikonnaga mees: keskmiselt hele nahatoon;ärimees|hõljuv ülikonnaga mees|hõljuv ülikonnaga mees: keskmiselt hele nahatoon|keskmiselt hele nahatoon|mees|ülikond
	🕴🏽;hõljuv ülikonnaga mees: keskmine nahatoon;ärimees|hõljuv ülikonnaga mees|hõljuv ülikonnaga mees: keskmine nahatoon|keskmine nahatoon|mees|ülikond
	🕴🏾;hõljuv ülikonnaga mees: keskmiselt tume nahatoon;ärimees|hõljuv ülikonnaga mees|hõljuv ülikonnaga mees: keskmiselt tume nahatoon|keskmiselt tume nahatoon|mees|ülikond
	🕴🏿;hõljuv ülikonnaga mees: tume nahatoon;ärimees|hõljuv ülikonnaga mees|hõljuv ülikonnaga mees: tume nahatoon|mees|tume nahatoon|ülikond
👯;pidutsevad jänesekõrvadega inimesed;jänesekõrvadega tüdrukud|jänku|kõrvad|pidutsevad jänesekõrvadega inimesed|tants|tüdrukud
👯‍♂️;pidutsevad jänesekõrvadega mehed;jänku|kõrvad|mehed|pidutsevad jänesekõrvadega mehed|tants
👯‍♀️;pidutsevad jänesekõrvadega naised;jänku|kõrvad|naised|pidutsevad jänesekõrvadega naised|tants
🧖;inimene leiliruumis;inimene leiliruumis|leiliruum|leiliruumis olev inimene|saun
	🧖🏻;inimene leiliruumis: hele nahatoon;hele nahatoon|inimene leiliruumis|inimene leiliruumis: hele nahatoon|leiliruum|leiliruumis olev inimene|saun
	🧖🏼;inimene leiliruumis: keskmiselt hele nahatoon;inimene leiliruumis|inimene leiliruumis: keskmiselt hele nahatoon|keskmiselt hele nahatoon|leiliruum|leiliruumis olev inimene|saun
	🧖🏽;inimene leiliruumis: keskmine nahatoon;inimene leiliruumis|inimene leiliruumis: keskmine nahatoon|keskmine nahatoon|leiliruum|leiliruumis olev inimene|saun
	🧖🏾;inimene leiliruumis: keskmiselt tume nahatoon;inimene leiliruumis|inimene leiliruumis: keskmiselt tume nahatoon|keskmiselt tume nahatoon|leiliruum|leiliruumis olev inimene|saun
	🧖🏿;inimene leiliruumis: tume nahatoon;inimene leiliruumis|inimene leiliruumis: tume nahatoon|leiliruum|leiliruumis olev inimene|saun|tume nahatoon
🧖‍♂️;leiliruumis olev mees;leiliruum|leiliruumis olev mees|saun
	🧖🏻‍♂️;leiliruumis olev mees: hele nahatoon;hele nahatoon|leiliruum|leiliruumis olev mees|leiliruumis olev mees: hele nahatoon|saun
	🧖🏼‍♂️;leiliruumis olev mees: keskmiselt hele nahatoon;keskmiselt hele nahatoon|leiliruum|leiliruumis olev mees|leiliruumis olev mees: keskmiselt hele nahatoon|saun
	🧖🏽‍♂️;leiliruumis olev mees: keskmine nahatoon;keskmine nahatoon|leiliruum|leiliruumis olev mees|leiliruumis olev mees: keskmine nahatoon|saun
	🧖🏾‍♂️;leiliruumis olev mees: keskmiselt tume nahatoon;keskmiselt tume nahatoon|leiliruum|leiliruumis olev mees|leiliruumis olev mees: keskmiselt tume nahatoon|saun
	🧖🏿‍♂️;leiliruumis olev mees: tume nahatoon;leiliruum|leiliruumis olev mees|leiliruumis olev mees: tume nahatoon|saun|tume nahatoon
🧖‍♀️;naine leiliruumis;leiliruum|leiliruumis olev naine|naine leiliruumis|saun
	🧖🏻‍♀️;naine leiliruumis: hele nahatoon;hele nahatoon|leiliruum|leiliruumis olev naine|naine leiliruumis|naine leiliruumis: hele nahatoon|saun
	🧖🏼‍♀️;naine leiliruumis: keskmiselt hele nahatoon;keskmiselt hele nahatoon|leiliruum|leiliruumis olev naine|naine leiliruumis|naine leiliruumis: keskmiselt hele nahatoon|saun
	🧖🏽‍♀️;naine leiliruumis: keskmine nahatoon;keskmine nahatoon|leiliruum|leiliruumis olev naine|naine leiliruumis|naine leiliruumis: keskmine nahatoon|saun
	🧖🏾‍♀️;naine leiliruumis: keskmiselt tume nahatoon;keskmiselt tume nahatoon|leiliruum|leiliruumis olev naine|naine leiliruumis|naine leiliruumis: keskmiselt tume nahatoon|saun
	🧖🏿‍♀️;naine leiliruumis: tume nahatoon;leiliruum|leiliruumis olev naine|naine leiliruumis|naine leiliruumis: tume nahatoon|saun|tume nahatoon
🧗;mäkke roniv inimene;mägironija|mäkke roniv inimene
	🧗🏻;mäkke roniv inimene: hele nahatoon;hele nahatoon|mägironija|mäkke roniv inimene|mäkke roniv inimene: hele nahatoon
	🧗🏼;mäkke roniv inimene: keskmiselt hele nahatoon;keskmiselt hele nahatoon|mägironija|mäkke roniv inimene|mäkke roniv inimene: keskmiselt hele nahatoon
	🧗🏽;mäkke roniv inimene: keskmine nahatoon;keskmine nahatoon|mägironija|mäkke roniv inimene|mäkke roniv inimene: keskmine nahatoon
	🧗🏾;mäkke roniv inimene: keskmiselt tume nahatoon;keskmiselt tume nahatoon|mägironija|mäkke roniv inimene|mäkke roniv inimene: keskmiselt tume nahatoon
	🧗🏿;mäkke roniv inimene: tume nahatoon;mägironija|mäkke roniv inimene|mäkke roniv inimene: tume nahatoon|tume nahatoon
🧗‍♂️;mäkke roniv mees;mägironija|mäkke roniv mees
	🧗🏻‍♂️;mäkke roniv mees: hele nahatoon;hele nahatoon|mägironija|mäkke roniv mees|mäkke roniv mees: hele nahatoon
	🧗🏼‍♂️;mäkke roniv mees: keskmiselt hele nahatoon;keskmiselt hele nahatoon|mägironija|mäkke roniv mees|mäkke roniv mees: keskmiselt hele nahatoon
	🧗🏽‍♂️;mäkke roniv mees: keskmine nahatoon;keskmine nahatoon|mägironija|mäkke roniv mees|mäkke roniv mees: keskmine nahatoon
	🧗🏾‍♂️;mäkke roniv mees: keskmiselt tume nahatoon;keskmiselt tume nahatoon|mägironija|mäkke roniv mees|mäkke roniv mees: keskmiselt tume nahatoon
	🧗🏿‍♂️;mäkke roniv mees: tume nahatoon;mägironija|mäkke roniv mees|mäkke roniv mees: tume nahatoon|tume nahatoon
🧗‍♀️;mäkke roniv naine;mägironija|mäkke roniv naine
	🧗🏻‍♀️;mäkke roniv naine: hele nahatoon;hele nahatoon|mägironija|mäkke roniv naine|mäkke roniv naine: hele nahatoon
	🧗🏼‍♀️;mäkke roniv naine: keskmiselt hele nahatoon;keskmiselt hele nahatoon|mägironija|mäkke roniv naine|mäkke roniv naine: keskmiselt hele nahatoon
	🧗🏽‍♀️;mäkke roniv naine: keskmine nahatoon;keskmine nahatoon|mägironija|mäkke roniv naine|mäkke roniv naine: keskmine nahatoon
	🧗🏾‍♀️;mäkke roniv naine: keskmiselt tume nahatoon;keskmiselt tume nahatoon|mägironija|mäkke roniv naine|mäkke roniv naine: keskmiselt tume nahatoon
	🧗🏿‍♀️;mäkke roniv naine: tume nahatoon;mägironija|mäkke roniv naine|mäkke roniv naine: tume nahatoon|tume nahatoon
🤺;vehkleja;inimene|mõõk|sport|vehkleja|vehklemine
🏇;hobuste võiduajamine;hobune|hobuste võiduajamine|ratsutaja|võiduajamine
	🏇🏻;hobuste võiduajamine: hele nahatoon;hele nahatoon|hobune|hobuste võiduajamine|hobuste võiduajamine: hele nahatoon|ratsutaja|võiduajamine
	🏇🏼;hobuste võiduajamine: keskmiselt hele nahatoon;hobune|hobuste võiduajamine|hobuste võiduajamine: keskmiselt hele nahatoon|keskmiselt hele nahatoon|ratsutaja|võiduajamine
	🏇🏽;hobuste võiduajamine: keskmine nahatoon;hobune|hobuste võiduajamine|hobuste võiduajamine: keskmine nahatoon|keskmine nahatoon|ratsutaja|võiduajamine
	🏇🏾;hobuste võiduajamine: keskmiselt tume nahatoon;hobune|hobuste võiduajamine|hobuste võiduajamine: keskmiselt tume nahatoon|keskmiselt tume nahatoon|ratsutaja|võiduajamine
	🏇🏿;hobuste võiduajamine: tume nahatoon;hobune|hobuste võiduajamine|hobuste võiduajamine: tume nahatoon|ratsutaja|tume nahatoon|võiduajamine
⛷️;suusataja;lumi|suusataja|suusk
🏂;lumelaudur;lumelaud|lumelaudur|lumi|suusk
	🏂🏻;lumelaudur: hele nahatoon;hele nahatoon|lumelaud|lumelaudur|lumelaudur: hele nahatoon|lumi|suusk
	🏂🏼;lumelaudur: keskmiselt hele nahatoon;keskmiselt hele nahatoon|lumelaud|lumelaudur|lumelaudur: keskmiselt hele nahatoon|lumi|suusk
	🏂🏽;lumelaudur: keskmine nahatoon;keskmine nahatoon|lumelaud|lumelaudur|lumelaudur: keskmine nahatoon|lumi|suusk
	🏂🏾;lumelaudur: keskmiselt tume nahatoon;keskmiselt tume nahatoon|lumelaud|lumelaudur|lumelaudur: keskmiselt tume nahatoon|lumi|suusk
	🏂🏿;lumelaudur: tume nahatoon;lumelaud|lumelaudur|lumelaudur: tume nahatoon|lumi|suusk|tume nahatoon
🏌️;golfimängija;golf|golfimängija|pall
	🏌🏻;golfimängija: hele nahatoon;golf|golfimängija|golfimängija: hele nahatoon|hele nahatoon|pall
	🏌🏼;golfimängija: keskmiselt hele nahatoon;golf|golfimängija|golfimängija: keskmiselt hele nahatoon|keskmiselt hele nahatoon|pall
	🏌🏽;golfimängija: keskmine nahatoon;golf|golfimängija|golfimängija: keskmine nahatoon|keskmine nahatoon|pall
	🏌🏾;golfimängija: keskmiselt tume nahatoon;golf|golfimängija|golfimängija: keskmiselt tume nahatoon|keskmiselt tume nahatoon|pall
	🏌🏿;golfimängija: tume nahatoon;golf|golfimängija|golfimängija: tume nahatoon|pall|tume nahatoon
🏌️‍♂️;golfi mängiv mees;golf|golfi mängiv mees|mees
	🏌🏻‍♂️;golfi mängiv mees: hele nahatoon;golf|golfi mängiv mees|golfi mängiv mees: hele nahatoon|hele nahatoon|mees
	🏌🏼‍♂️;golfi mängiv mees: keskmiselt hele nahatoon;golf|golfi mängiv mees|golfi mängiv mees: keskmiselt hele nahatoon|keskmiselt hele nahatoon|mees
	🏌🏽‍♂️;golfi mängiv mees: keskmine nahatoon;golf|golfi mängiv mees|golfi mängiv mees: keskmine nahatoon|keskmine nahatoon|mees
	🏌🏾‍♂️;golfi mängiv mees: keskmiselt tume nahatoon;golf|golfi mängiv mees|golfi mängiv mees: keskmiselt tume nahatoon|keskmiselt tume nahatoon|mees
	🏌🏿‍♂️;golfi mängiv mees: tume nahatoon;golf|golfi mängiv mees|golfi mängiv mees: tume nahatoon|mees|tume nahatoon
🏌️‍♀️;golfi mängiv naine;golf|golfi mängiv naine|naine
	🏌🏻‍♀️;golfi mängiv naine: hele nahatoon;golf|golfi mängiv naine|golfi mängiv naine: hele nahatoon|hele nahatoon|naine
	🏌🏼‍♀️;golfi mängiv naine: keskmiselt hele nahatoon;golf|golfi mängiv naine|golfi mängiv naine: keskmiselt hele nahatoon|keskmiselt hele nahatoon|naine
	🏌🏽‍♀️;golfi mängiv naine: keskmine nahatoon;golf|golfi mängiv naine|golfi mängiv naine: keskmine nahatoon|keskmine nahatoon|naine
	🏌🏾‍♀️;golfi mängiv naine: keskmiselt tume nahatoon;golf|golfi mängiv naine|golfi mängiv naine: keskmiselt tume nahatoon|keskmiselt tume nahatoon|naine
	🏌🏿‍♀️;golfi mängiv naine: tume nahatoon;golf|golfi mängiv naine|golfi mängiv naine: tume nahatoon|naine|tume nahatoon
🏄;surfar;surfamine|surfar
	🏄🏻;surfar: hele nahatoon;hele nahatoon|surfamine|surfar|surfar: hele nahatoon
	🏄🏼;surfar: keskmiselt hele nahatoon;keskmiselt hele nahatoon|surfamine|surfar|surfar: keskmiselt hele nahatoon
	🏄🏽;surfar: keskmine nahatoon;keskmine nahatoon|surfamine|surfar|surfar: keskmine nahatoon
	🏄🏾;surfar: keskmiselt tume nahatoon;keskmiselt tume nahatoon|surfamine|surfar|surfar: keskmiselt tume nahatoon
	🏄🏿;surfar: tume nahatoon;surfamine|surfar|surfar: tume nahatoon|tume nahatoon
🏄‍♂️;meessurfar;mees|meessurfar|surf|surfaja|surfar
	🏄🏻‍♂️;meessurfar: hele nahatoon;hele nahatoon|mees|meessurfar|meessurfar: hele nahatoon|surf|surfaja|surfar
	🏄🏼‍♂️;meessurfar: keskmiselt hele nahatoon;keskmiselt hele nahatoon|mees|meessurfar|meessurfar: keskmiselt hele nahatoon|surf|surfaja|surfar
	🏄🏽‍♂️;meessurfar: keskmine nahatoon;keskmine nahatoon|mees|meessurfar|meessurfar: keskmine nahatoon|surf|surfaja|surfar
	🏄🏾‍♂️;meessurfar: keskmiselt tume nahatoon;keskmiselt tume nahatoon|mees|meessurfar|meessurfar: keskmiselt tume nahatoon|surf|surfaja|surfar
	🏄🏿‍♂️;meessurfar: tume nahatoon;mees|meessurfar|meessurfar: tume nahatoon|surf|surfaja|surfar|tume nahatoon
🏄‍♀️;naissurfar;naine|naissurfar|surf|surfaja|surfar
	🏄🏻‍♀️;naissurfar: hele nahatoon;hele nahatoon|naine|naissurfar|naissurfar: hele nahatoon|surf|surfaja|surfar
	🏄🏼‍♀️;naissurfar: keskmiselt hele nahatoon;keskmiselt hele nahatoon|naine|naissurfar|naissurfar: keskmiselt hele nahatoon|surf|surfaja|surfar
	🏄🏽‍♀️;naissurfar: keskmine nahatoon;keskmine nahatoon|naine|naissurfar|naissurfar: keskmine nahatoon|surf|surfaja|surfar
	🏄🏾‍♀️;naissurfar: keskmiselt tume nahatoon;keskmiselt tume nahatoon|naine|naissurfar|naissurfar: keskmiselt tume nahatoon|surf|surfaja|surfar
	🏄🏿‍♀️;naissurfar: tume nahatoon;naine|naissurfar|naissurfar: tume nahatoon|surf|surfaja|surfar|tume nahatoon
🚣;aerupaadiga inimene;aerupaadiga inimene|paat|sõiduk
	🚣🏻;aerupaadiga inimene: hele nahatoon;aerupaadiga inimene|aerupaadiga inimene: hele nahatoon|hele nahatoon|paat|sõiduk
	🚣🏼;aerupaadiga inimene: keskmiselt hele nahatoon;aerupaadiga inimene|aerupaadiga inimene: keskmiselt hele nahatoon|keskmiselt hele nahatoon|paat|sõiduk
	🚣🏽;aerupaadiga inimene: keskmine nahatoon;aerupaadiga inimene|aerupaadiga inimene: keskmine nahatoon|keskmine nahatoon|paat|sõiduk
	🚣🏾;aerupaadiga inimene: keskmiselt tume nahatoon;aerupaadiga inimene|aerupaadiga inimene: keskmiselt tume nahatoon|keskmiselt tume nahatoon|paat|sõiduk
	🚣🏿;aerupaadiga inimene: tume nahatoon;aerupaadiga inimene|aerupaadiga inimene: tume nahatoon|paat|sõiduk|tume nahatoon
🚣‍♂️;aerupaadiga mees;aerupaadiga mees|aerupaat|mees|paat
	🚣🏻‍♂️;aerupaadiga mees: hele nahatoon;aerupaadiga mees|aerupaadiga mees: hele nahatoon|aerupaat|hele nahatoon|mees|paat
	🚣🏼‍♂️;aerupaadiga mees: keskmiselt hele nahatoon;aerupaadiga mees|aerupaadiga mees: keskmiselt hele nahatoon|aerupaat|keskmiselt hele nahatoon|mees|paat
	🚣🏽‍♂️;aerupaadiga mees: keskmine nahatoon;aerupaadiga mees|aerupaadiga mees: keskmine nahatoon|aerupaat|keskmine nahatoon|mees|paat
	🚣🏾‍♂️;aerupaadiga mees: keskmiselt tume nahatoon;aerupaadiga mees|aerupaadiga mees: keskmiselt tume nahatoon|aerupaat|keskmiselt tume nahatoon|mees|paat
	🚣🏿‍♂️;aerupaadiga mees: tume nahatoon;aerupaadiga mees|aerupaadiga mees: tume nahatoon|aerupaat|mees|paat|tume nahatoon
🚣‍♀️;aerupaadiga naine;aerupaadiga naine|aerupaat|naine|paat
	🚣🏻‍♀️;aerupaadiga naine: hele nahatoon;aerupaadiga naine|aerupaadiga naine: hele nahatoon|aerupaat|hele nahatoon|naine|paat
	🚣🏼‍♀️;aerupaadiga naine: keskmiselt hele nahatoon;aerupaadiga naine|aerupaadiga naine: keskmiselt hele nahatoon|aerupaat|keskmiselt hele nahatoon|naine|paat
	🚣🏽‍♀️;aerupaadiga naine: keskmine nahatoon;aerupaadiga naine|aerupaadiga naine: keskmine nahatoon|aerupaat|keskmine nahatoon|naine|paat
	🚣🏾‍♀️;aerupaadiga naine: keskmiselt tume nahatoon;aerupaadiga naine|aerupaadiga naine: keskmiselt tume nahatoon|aerupaat|keskmiselt tume nahatoon|naine|paat
	🚣🏿‍♀️;aerupaadiga naine: tume nahatoon;aerupaadiga naine|aerupaadiga naine: tume nahatoon|aerupaat|naine|paat|tume nahatoon
🏊;ujuja;ujuja|ujumine
	🏊🏻;ujuja: hele nahatoon;hele nahatoon|ujuja|ujuja: hele nahatoon|ujumine
	🏊🏼;ujuja: keskmiselt hele nahatoon;keskmiselt hele nahatoon|ujuja|ujuja: keskmiselt hele nahatoon|ujumine
	🏊🏽;ujuja: keskmine nahatoon;keskmine nahatoon|ujuja|ujuja: keskmine nahatoon|ujumine
	🏊🏾;ujuja: keskmiselt tume nahatoon;keskmiselt tume nahatoon|ujuja|ujuja: keskmiselt tume nahatoon|ujumine
	🏊🏿;ujuja: tume nahatoon;tume nahatoon|ujuja|ujuja: tume nahatoon|ujumine
🏊‍♂️;meesujuja;mees|meesujuja|ujuja|ujumine
	🏊🏻‍♂️;meesujuja: hele nahatoon;hele nahatoon|mees|meesujuja|meesujuja: hele nahatoon|ujuja|ujumine
	🏊🏼‍♂️;meesujuja: keskmiselt hele nahatoon;keskmiselt hele nahatoon|mees|meesujuja|meesujuja: keskmiselt hele nahatoon|ujuja|ujumine
	🏊🏽‍♂️;meesujuja: keskmine nahatoon;keskmine nahatoon|mees|meesujuja|meesujuja: keskmine nahatoon|ujuja|ujumine
	🏊🏾‍♂️;meesujuja: keskmiselt tume nahatoon;keskmiselt tume nahatoon|mees|meesujuja|meesujuja: keskmiselt tume nahatoon|ujuja|ujumine
