# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خنده;خنده|صورت با لبخند|لبخند|نیش باز
👨‍🦯‍➡️;مرد با عصای سفید به سمت راست;دسترس‌پذیری|مرد|مرد با عصای سفید|مرد با عصای سفید به سمت راست|نابینا
	👨🏻‍🦯‍➡️;مرد با عصای سفید به سمت راست;دسترس‌پذیری|مرد|مرد با عصای سفید|مرد با عصای سفید به سمت راست|نابینا
	👨🏼‍🦯‍➡️;مرد با عصای سفید به سمت راست;دسترس‌پذیری|مرد|مرد با عصای سفید|مرد با عصای سفید به سمت راست|نابینا
	👨🏽‍🦯‍➡️;مرد با عصای سفید به سمت راست;دسترس‌پذیری|مرد|مرد با عصای سفید|مرد با عصای سفید به سمت راست|نابینا
	👨🏾‍🦯‍➡️;مرد با عصای سفید به سمت راست;دسترس‌پذیری|مرد|مرد با عصای سفید|مرد با عصای سفید به سمت راست|نابینا
	👨🏿‍🦯‍➡️;مرد با عصای سفید به سمت راست;دسترس‌پذیری|مرد|مرد با عصای سفید|مرد با عصای سفید به سمت راست|نابینا
👩‍🦯;زن با عصای سفید;دسترس‌پذیری|زن|زن با عصای سفید|نابینا
	👩🏻‍🦯;زن با عصای سفید: پوست سفید;پوست سفید|دسترس‌پذیری|زن|زن با عصای سفید|زن با عصای سفید: پوست سفید|نابینا
	👩🏼‍🦯;زن با عصای سفید: پوست روشن;پوست روشن|دسترس‌پذیری|زن|زن با عصای سفید|زن با عصای سفید: پوست روشن|نابینا
	👩🏽‍🦯;زن با عصای سفید: پوست طلایی;پوست طلایی|دسترس‌پذیری|زن|زن با عصای سفید|زن با عصای سفید: پوست طلایی|نابینا
	👩🏾‍🦯;زن با عصای سفید: پوست گندمی;پوست گندمی|دسترس‌پذیری|زن|زن با عصای سفید|زن با عصای سفید: پوست گندمی|نابینا
	👩🏿‍🦯;زن با عصای سفید: پوست آبنوسی;پوست آبنوسی|دسترس‌پذیری|زن|زن با عصای سفید|زن با عصای سفید: پوست آبنوسی|نابینا
👩‍🦯‍➡️;زن با عصای سفید به سمت راست;دسترس‌پذیری|زن|زن با عصای سفید|زن با عصای سفید به سمت راست|نابینا
	👩🏻‍🦯‍➡️;زن با عصای سفید به سمت راست;دسترس‌پذیری|زن|زن با عصای سفید|زن با عصای سفید به سمت راست|نابینا
	👩🏼‍🦯‍➡️;زن با عصای سفید به سمت راست;دسترس‌پذیری|زن|زن با عصای سفید|زن با عصای سفید به سمت راست|نابینا
	👩🏽‍🦯‍➡️;زن با عصای سفید به سمت راست;دسترس‌پذیری|زن|زن با عصای سفید|زن با عصای سفید به سمت راست|نابینا
	👩🏾‍🦯‍➡️;زن با عصای سفید به سمت راست;دسترس‌پذیری|زن|زن با عصای سفید|زن با عصای سفید به سمت راست|نابینا
	👩🏿‍🦯‍➡️;زن با عصای سفید به سمت راست;دسترس‌پذیری|زن|زن با عصای سفید|زن با عصای سفید به سمت راست|نابینا
🧑‍🦼;شخصی با صندلی چرخ‌دار موتوری;دسترس‌پذیری|شخصی با صندلی چرخ‌دار موتوری|صندلی چرخ‌دار
	🧑🏻‍🦼;شخصی با صندلی چرخ‌دار موتوری: پوست سفید;پوست سفید|دسترس‌پذیری|شخصی با صندلی چرخ‌دار موتوری|شخصی با صندلی چرخ‌دار موتوری: پوست سفید|صندلی چرخ‌دار
	🧑🏼‍🦼;شخصی با صندلی چرخ‌دار موتوری: پوست روشن;پوست روشن|دسترس‌پذیری|شخصی با صندلی چرخ‌دار موتوری|شخصی با صندلی چرخ‌دار موتوری: پوست روشن|صندلی چرخ‌دار
	🧑🏽‍🦼;شخصی با صندلی چرخ‌دار موتوری: پوست طلایی;پوست طلایی|دسترس‌پذیری|شخصی با صندلی چرخ‌دار موتوری|شخصی با صندلی چرخ‌دار موتوری: پوست طلایی|صندلی چرخ‌دار
	🧑🏾‍🦼;شخصی با صندلی چرخ‌دار موتوری: پوست گندمی;پوست گندمی|دسترس‌پذیری|شخصی با صندلی چرخ‌دار موتوری|شخصی با صندلی چرخ‌دار موتوری: پوست گندمی|صندلی چرخ‌دار
	🧑🏿‍🦼;شخصی با صندلی چرخ‌دار موتوری: پوست آبنوسی;پوست آبنوسی|دسترس‌پذیری|شخصی با صندلی چرخ‌دار موتوری|شخصی با صندلی چرخ‌دار موتوری: پوست آبنوسی|صندلی چرخ‌دار
🧑‍🦼‍➡️;شخصی با صندلی چرخ‌دار موتوری به سمت راست;دسترس‌پذیری|شخصی با صندلی چرخ‌دار موتوری|شخصی با صندلی چرخ‌دار موتوری به سمت راست|صندلی چرخ‌دار
	🧑🏻‍🦼‍➡️;شخصی با صندلی چرخ‌دار موتوری به سمت راست;دسترس‌پذیری|شخصی با صندلی چرخ‌دار موتوری|شخصی با صندلی چرخ‌دار موتوری به سمت راست|صندلی چرخ‌دار
	🧑🏼‍🦼‍➡️;شخصی با صندلی چرخ‌دار موتوری به سمت راست;دسترس‌پذیری|شخصی با صندلی چرخ‌دار موتوری|شخصی با صندلی چرخ‌دار موتوری به سمت راست|صندلی چرخ‌دار
	🧑🏽‍🦼‍➡️;شخصی با صندلی چرخ‌دار موتوری به سمت راست;دسترس‌پذیری|شخصی با صندلی چرخ‌دار موتوری|شخصی با صندلی چرخ‌دار موتوری به سمت راست|صندلی چرخ‌دار
	🧑🏾‍🦼‍➡️;شخصی با صندلی چرخ‌دار موتوری به سمت راست;دسترس‌پذیری|شخصی با صندلی چرخ‌دار موتوری|شخصی با صندلی چرخ‌دار موتوری به سمت راست|صندلی چرخ‌دار
	🧑🏿‍🦼‍➡️;شخصی با صندلی چرخ‌دار موتوری به سمت راست;دسترس‌پذیری|شخصی با صندلی چرخ‌دار موتوری|شخصی با صندلی چرخ‌دار موتوری به سمت راست|صندلی چرخ‌دار
👨‍🦼;مرد در صندلی چرخ‌دار برقی;دسترس‌پذیری|صندلی چرخ‌دار|مرد|مرد در صندلی چرخ‌دار برقی
	👨🏻‍🦼;مرد در صندلی چرخ‌دار برقی: پوست سفید;پوست سفید|دسترس‌پذیری|صندلی چرخ‌دار|مرد|مرد در صندلی چرخ‌دار برقی|مرد در صندلی چرخ‌دار برقی: پوست سفید
	👨🏼‍🦼;مرد در صندلی چرخ‌دار برقی: پوست روشن;پوست روشن|دسترس‌پذیری|صندلی چرخ‌دار|مرد|مرد در صندلی چرخ‌دار برقی|مرد در صندلی چرخ‌دار برقی: پوست روشن
	👨🏽‍🦼;مرد در صندلی چرخ‌دار برقی: پوست طلایی;پوست طلایی|دسترس‌پذیری|صندلی چرخ‌دار|مرد|مرد در صندلی چرخ‌دار برقی|مرد در صندلی چرخ‌دار برقی: پوست طلایی
	👨🏾‍🦼;مرد در صندلی چرخ‌دار برقی: پوست گندمی;پوست گندمی|دسترس‌پذیری|صندلی چرخ‌دار|مرد|مرد در صندلی چرخ‌دار برقی|مرد در صندلی چرخ‌دار برقی: پوست گندمی
	👨🏿‍🦼;مرد در صندلی چرخ‌دار برقی: پوست آبنوسی;پوست آبنوسی|دسترس‌پذیری|صندلی چرخ‌دار|مرد|مرد در صندلی چرخ‌دار برقی|مرد در صندلی چرخ‌دار برقی: پوست آبنوسی
👨‍🦼‍➡️;مرد در صندلی چرخ‌دار برقی به سمت راست;دسترس‌پذیری|صندلی چرخ‌دار|مرد|مرد در صندلی چرخ‌دار برقی|مرد در صندلی چرخ‌دار برقی به سمت راست
	👨🏻‍🦼‍➡️;مرد در صندلی چرخ‌دار برقی به سمت راست;دسترس‌پذیری|صندلی چرخ‌دار|مرد|مرد در صندلی چرخ‌دار برقی|مرد در صندلی چرخ‌دار برقی به سمت راست
	👨🏼‍🦼‍➡️;مرد در صندلی چرخ‌دار برقی به سمت راست;دسترس‌پذیری|صندلی چرخ‌دار|مرد|مرد در صندلی چرخ‌دار برقی|مرد در صندلی چرخ‌دار برقی به سمت راست
	👨🏽‍🦼‍➡️;مرد در صندلی چرخ‌دار برقی به سمت راست;دسترس‌پذیری|صندلی چرخ‌دار|مرد|مرد در صندلی چرخ‌دار برقی|مرد در صندلی چرخ‌دار برقی به سمت راست
	👨🏾‍🦼‍➡️;مرد در صندلی چرخ‌دار برقی به سمت راست;دسترس‌پذیری|صندلی چرخ‌دار|مرد|مرد در صندلی چرخ‌دار برقی|مرد در صندلی چرخ‌دار برقی به سمت راست
	👨🏿‍🦼‍➡️;مرد در صندلی چرخ‌دار برقی به سمت راست;دسترس‌پذیری|صندلی چرخ‌دار|مرد|مرد در صندلی چرخ‌دار برقی|مرد در صندلی چرخ‌دار برقی به سمت راست
👩‍🦼;زن در صندلی چرخ‌دار برقی;دسترس‌پذیری|زن|زن در صندلی چرخ‌دار برقی|صندلی چرخ‌دار
	👩🏻‍🦼;زن در صندلی چرخ‌دار برقی: پوست سفید;پوست سفید|دسترس‌پذیری|زن|زن در صندلی چرخ‌دار برقی|زن در صندلی چرخ‌دار برقی: پوست سفید|صندلی چرخ‌دار
	👩🏼‍🦼;زن در صندلی چرخ‌دار برقی: پوست روشن;پوست روشن|دسترس‌پذیری|زن|زن در صندلی چرخ‌دار برقی|زن در صندلی چرخ‌دار برقی: پوست روشن|صندلی چرخ‌دار
	👩🏽‍🦼;زن در صندلی چرخ‌دار برقی: پوست طلایی;پوست طلایی|دسترس‌پذیری|زن|زن در صندلی چرخ‌دار برقی|زن در صندلی چرخ‌دار برقی: پوست طلایی|صندلی چرخ‌دار
	👩🏾‍🦼;زن در صندلی چرخ‌دار برقی: پوست گندمی;پوست گندمی|دسترس‌پذیری|زن|زن در صندلی چرخ‌دار برقی|زن در صندلی چرخ‌دار برقی: پوست گندمی|صندلی چرخ‌دار
	👩🏿‍🦼;زن در صندلی چرخ‌دار برقی: پوست آبنوسی;پوست آبنوسی|دسترس‌پذیری|زن|زن در صندلی چرخ‌دار برقی|زن در صندلی چرخ‌دار برقی: پوست آبنوسی|صندلی چرخ‌دار
👩‍🦼‍➡️;زن در صندلی چرخ‌دار برقی به سمت راست;دسترس‌پذیری|زن|زن در صندلی چرخ‌دار برقی|زن در صندلی چرخ‌دار برقی به سمت راست|صندلی چرخ‌دار
	👩🏻‍🦼‍➡️;زن در صندلی چرخ‌دار برقی به سمت راست;دسترس‌پذیری|زن|زن در صندلی چرخ‌دار برقی|زن در صندلی چرخ‌دار برقی به سمت راست|صندلی چرخ‌دار
	👩🏼‍🦼‍➡️;زن در صندلی چرخ‌دار برقی به سمت راست;دسترس‌پذیری|زن|زن در صندلی چرخ‌دار برقی|زن در صندلی چرخ‌دار برقی به سمت راست|صندلی چرخ‌دار
	👩🏽‍🦼‍➡️;زن در صندلی چرخ‌دار برقی به سمت راست;دسترس‌پذیری|زن|زن در صندلی چرخ‌دار برقی|زن در صندلی چرخ‌دار برقی به سمت راست|صندلی چرخ‌دار
	👩🏾‍🦼‍➡️;زن در صندلی چرخ‌دار برقی به سمت راست;دسترس‌پذیری|زن|زن در صندلی چرخ‌دار برقی|زن در صندلی چرخ‌دار برقی به سمت راست|صندلی چرخ‌دار
	👩🏿‍🦼‍➡️;زن در صندلی چرخ‌دار برقی به سمت راست;دسترس‌پذیری|زن|زن در صندلی چرخ‌دار برقی|زن در صندلی چرخ‌دار برقی به سمت راست|صندلی چرخ‌دار
🧑‍🦽;شخصی با صندلی چرخ‌دار دستی;دسترس‌پذیری|شخصی با صندلی چرخ‌دار دستی|صندلی چرخ‌دار
