# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;režeči obraz;obraz|režanje|režeči obraz
	🛀🏾;oseba, ki se kopa: srednje temen ten kože;kad|ki se kopa|kopel|oseba|oseba, ki se kopa|oseba, ki se kopa: srednje temen ten kože|srednje temen ten kože
	🛀🏿;oseba, ki se kopa: temen ten kože;kad|ki se kopa|kopel|oseba|oseba, ki se kopa|oseba, ki se kopa: temen ten kože|temen ten kože
🛌;oseba v postelji;hotel|oseba v postelji|spanje
	🛌🏻;oseba v postelji: svetel ten kože;hotel|oseba v postelji|oseba v postelji: svetel ten kože|spanje|svetel ten kože
	🛌🏼;oseba v postelji: srednje svetel ten kože;hotel|oseba v postelji|oseba v postelji: srednje svetel ten kože|spanje|srednje svetel ten kože
	🛌🏽;oseba v postelji: srednji ten kože;hotel|oseba v postelji|oseba v postelji: srednji ten kože|spanje|srednji ten kože
	🛌🏾;oseba v postelji: srednje temen ten kože;hotel|oseba v postelji|oseba v postelji: srednje temen ten kože|spanje|srednje temen ten kože
	🛌🏿;oseba v postelji: temen ten kože;hotel|oseba v postelji|oseba v postelji: temen ten kože|spanje|temen ten kože
🧑‍🤝‍🧑;osebi se držita za roke;držati|oseba|osebi se držita za roke|par|roka
	🧑🏻‍🤝‍🧑🏻;osebi se držita za roke: svetel ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: svetel ten kože|par|roka|svetel ten kože
	🧑🏻‍🤝‍🧑🏼;osebi se držita za roke: svetel ten kože in srednje svetel ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: svetel ten kože in srednje svetel ten kože|par|roka|srednje svetel ten kože|svetel ten kože
	🧑🏻‍🤝‍🧑🏽;osebi se držita za roke: svetel ten kože in srednji ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: svetel ten kože in srednji ten kože|par|roka|srednji ten kože|svetel ten kože
	🧑🏻‍🤝‍🧑🏾;osebi se držita za roke: svetel ten kože in srednje temen ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: svetel ten kože in srednje temen ten kože|par|roka|srednje temen ten kože|svetel ten kože
	🧑🏻‍🤝‍🧑🏿;osebi se držita za roke: svetel ten kože in temen ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: svetel ten kože in temen ten kože|par|roka|svetel ten kože|temen ten kože
	🧑🏼‍🤝‍🧑🏻;osebi se držita za roke: srednje svetel ten kože in svetel ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: srednje svetel ten kože in svetel ten kože|par|roka|srednje svetel ten kože|svetel ten kože
	🧑🏼‍🤝‍🧑🏼;osebi se držita za roke: srednje svetel ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: srednje svetel ten kože|par|roka|srednje svetel ten kože
	🧑🏼‍🤝‍🧑🏽;osebi se držita za roke: srednje svetel ten kože in srednji ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: srednje svetel ten kože in srednji ten kože|par|roka|srednje svetel ten kože|srednji ten kože
	🧑🏼‍🤝‍🧑🏾;osebi se držita za roke: srednje svetel ten kože in srednje temen ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: srednje svetel ten kože in srednje temen ten kože|par|roka|srednje svetel ten kože|srednje temen ten kože
	🧑🏼‍🤝‍🧑🏿;osebi se držita za roke: srednje svetel ten kože in temen ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: srednje svetel ten kože in temen ten kože|par|roka|srednje svetel ten kože|temen ten kože
	🧑🏽‍🤝‍🧑🏻;osebi se držita za roke: srednji ten kože in svetel ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: srednji ten kože in svetel ten kože|par|roka|srednji ten kože|svetel ten kože
	🧑🏽‍🤝‍🧑🏼;osebi se držita za roke: srednji ten kože in srednje svetel ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: srednji ten kože in srednje svetel ten kože|par|roka|srednje svetel ten kože|srednji ten kože
	🧑🏽‍🤝‍🧑🏽;osebi se držita za roke: srednji ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: srednji ten kože|par|roka|srednji ten kože
	🧑🏽‍🤝‍🧑🏾;osebi se držita za roke: srednji ten kože in srednje temen ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: srednji ten kože in srednje temen ten kože|par|roka|srednje temen ten kože|srednji ten kože
	🧑🏽‍🤝‍🧑🏿;osebi se držita za roke: srednji ten kože in temen ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: srednji ten kože in temen ten kože|par|roka|srednji ten kože|temen ten kože
	🧑🏾‍🤝‍🧑🏻;osebi se držita za roke: srednje temen ten kože in svetel ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: srednje temen ten kože in svetel ten kože|par|roka|srednje temen ten kože|svetel ten kože
	🧑🏾‍🤝‍🧑🏼;osebi se držita za roke: srednje temen ten kože in srednje svetel ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: srednje temen ten kože in srednje svetel ten kože|par|roka|srednje svetel ten kože|srednje temen ten kože
	🧑🏾‍🤝‍🧑🏽;osebi se držita za roke: srednje temen ten kože in srednji ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: srednje temen ten kože in srednji ten kože|par|roka|srednje temen ten kože|srednji ten kože
	🧑🏾‍🤝‍🧑🏾;osebi se držita za roke: srednje temen ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: srednje temen ten kože|par|roka|srednje temen ten kože
	🧑🏾‍🤝‍🧑🏿;osebi se držita za roke: srednje temen ten kože in temen ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: srednje temen ten kože in temen ten kože|par|roka|srednje temen ten kože|temen ten kože
	🧑🏿‍🤝‍🧑🏻;osebi se držita za roke: temen ten kože in svetel ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: temen ten kože in svetel ten kože|par|roka|svetel ten kože|temen ten kože
	🧑🏿‍🤝‍🧑🏼;osebi se držita za roke: temen ten kože in srednje svetel ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: temen ten kože in srednje svetel ten kože|par|roka|srednje svetel ten kože|temen ten kože
	🧑🏿‍🤝‍🧑🏽;osebi se držita za roke: temen ten kože in srednji ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: temen ten kože in srednji ten kože|par|roka|srednji ten kože|temen ten kože
	🧑🏿‍🤝‍🧑🏾;osebi se držita za roke: temen ten kože in srednje temen ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: temen ten kože in srednje temen ten kože|par|roka|srednje temen ten kože|temen ten kože
	🧑🏿‍🤝‍🧑🏿;osebi se držita za roke: temen ten kože;držati|oseba|osebi se držita za roke|osebi se držita za roke: temen ten kože|par|roka|temen ten kože
👭;ženski se držita za roke;držati|par|roka|ženska|ženski se držita za roke
	👭🏻;ženski se držita za roke: svetel ten kože;držati|par|roka|svetel ten kože|ženska|ženski se držita za roke|ženski se držita za roke: svetel ten kože
	👩🏻‍🤝‍👩🏼;ženski se držita za roke: svetel ten kože in srednje svetel ten kože;držati|par|roka|srednje svetel ten kože|svetel ten kože|ženska|ženski se držita za roke|ženski se držita za roke: svetel ten kože in srednje svetel ten kože
	👩🏻‍🤝‍👩🏽;ženski se držita za roke: svetel ten kože in srednji ten kože;držati|par|roka|srednji ten kože|svetel ten kože|ženska|ženski se držita za roke|ženski se držita za roke: svetel ten kože in srednji ten kože
	👩🏻‍🤝‍👩🏾;ženski se držita za roke: svetel ten kože in srednje temen ten kože;držati|par|roka|srednje temen ten kože|svetel ten kože|ženska|ženski se držita za roke|ženski se držita za roke: svetel ten kože in srednje temen ten kože
	👩🏻‍🤝‍👩🏿;ženski se držita za roke: svetel ten kože in temen ten kože;držati|par|roka|svetel ten kože|temen ten kože|ženska|ženski se držita za roke|ženski se držita za roke: svetel ten kože in temen ten kože
	👩🏼‍🤝‍👩🏻;ženski se držita za roke: srednje svetel ten kože in svetel ten kože;držati|par|roka|srednje svetel ten kože|svetel ten kože|ženska|ženski se držita za roke|ženski se držita za roke: srednje svetel ten kože in svetel ten kože
	👭🏼;ženski se držita za roke: srednje svetel ten kože;držati|par|roka|srednje svetel ten kože|ženska|ženski se držita za roke|ženski se držita za roke: srednje svetel ten kože
	👩🏼‍🤝‍👩🏽;ženski se držita za roke: srednje svetel ten kože in srednji ten kože;držati|par|roka|srednje svetel ten kože|srednji ten kože|ženska|ženski se držita za roke|ženski se držita za roke: srednje svetel ten kože in srednji ten kože
	👩🏼‍🤝‍👩🏾;ženski se držita za roke: srednje svetel ten kože in srednje temen ten kože;držati|par|roka|srednje svetel ten kože|srednje temen ten kože|ženska|ženski se držita za roke|ženski se držita za roke: srednje svetel ten kože in srednje temen ten kože
	👩🏼‍🤝‍👩🏿;ženski se držita za roke: srednje svetel ten kože in temen ten kože;držati|par|roka|srednje svetel ten kože|temen ten kože|ženska|ženski se držita za roke|ženski se držita za roke: srednje svetel ten kože in temen ten kože
	👩🏽‍🤝‍👩🏻;ženski se držita za roke: srednji ten kože in svetel ten kože;držati|par|roka|srednji ten kože|svetel ten kože|ženska|ženski se držita za roke|ženski se držita za roke: srednji ten kože in svetel ten kože
	👩🏽‍🤝‍👩🏼;ženski se držita za roke: srednji ten kože in srednje svetel ten kože;držati|par|roka|srednje svetel ten kože|srednji ten kože|ženska|ženski se držita za roke|ženski se držita za roke: srednji ten kože in srednje svetel ten kože
	👭🏽;ženski se držita za roke: srednji ten kože;držati|par|roka|srednji ten kože|ženska|ženski se držita za roke|ženski se držita za roke: srednji ten kože
	👩🏽‍🤝‍👩🏾;ženski se držita za roke: srednji ten kože in srednje temen ten kože;držati|par|roka|srednje temen ten kože|srednji ten kože|ženska|ženski se držita za roke|ženski se držita za roke: srednji ten kože in srednje temen ten kože
	👩🏽‍🤝‍👩🏿;ženski se držita za roke: srednji ten kože in temen ten kože;držati|par|roka|srednji ten kože|temen ten kože|ženska|ženski se držita za roke|ženski se držita za roke: srednji ten kože in temen ten kože
	👩🏾‍🤝‍👩🏻;ženski se držita za roke: srednje temen ten kože in svetel ten kože;držati|par|roka|srednje temen ten kože|svetel ten kože|ženska|ženski se držita za roke|ženski se držita za roke: srednje temen ten kože in svetel ten kože
	👩🏾‍🤝‍👩🏼;ženski se držita za roke: srednje temen ten kože in srednje svetel ten kože;držati|par|roka|srednje svetel ten kože|srednje temen ten kože|ženska|ženski se držita za roke|ženski se držita za roke: srednje temen ten kože in srednje svetel ten kože
	👩🏾‍🤝‍👩🏽;ženski se držita za roke: srednje temen ten kože in srednji ten kože;držati|par|roka|srednje temen ten kože|srednji ten kože|ženska|ženski se držita za roke|ženski se držita za roke: srednje temen ten kože in srednji ten kože
	👭🏾;ženski se držita za roke: srednje temen ten kože;držati|par|roka|srednje temen ten kože|ženska|ženski se držita za roke|ženski se držita za roke: srednje temen ten kože
	👩🏾‍🤝‍👩🏿;ženski se držita za roke: srednje temen ten kože in temen ten kože;držati|par|roka|srednje temen ten kože|temen ten kože|ženska|ženski se držita za roke|ženski se držita za roke: srednje temen ten kože in temen ten kože
	👩🏿‍🤝‍👩🏻;ženski se držita za roke: temen ten kože in svetel ten kože;držati|par|roka|svetel ten kože|temen ten kože|ženska|ženski se držita za roke|ženski se držita za roke: temen ten kože in svetel ten kože
	👩🏿‍🤝‍👩🏼;ženski se držita za roke: temen ten kože in srednje svetel ten kože;držati|par|roka|srednje svetel ten kože|temen ten kože|ženska|ženski se držita za roke|ženski se držita za roke: temen ten kože in srednje svetel ten kože
	👩🏿‍🤝‍👩🏽;ženski se držita za roke: temen ten kože in srednji ten kože;držati|par|roka|srednji ten kože|temen ten kože|ženska|ženski se držita za roke|ženski se držita za roke: temen ten kože in srednji ten kože
	👩🏿‍🤝‍👩🏾;ženski se držita za roke: temen ten kože in srednje temen ten kože;držati|par|roka|srednje temen ten kože|temen ten kože|ženska|ženski se držita za roke|ženski se držita za roke: temen ten kože in srednje temen ten kože
	👭🏿;ženski se držita za roke: temen ten kože;držati|par|roka|temen ten kože|ženska|ženski se držita za roke|ženski se držita za roke: temen ten kože
👫;moški in ženska se držita za roke;držati|moški|moški in ženska se držita za roke|par|roka|ženska
	👫🏻;moški in ženska se držita za roke: svetel ten kože;držati|moški|moški in ženska se držita za roke|moški in ženska se držita za roke: svetel ten kože|par|roka|svetel ten kože|ženska
	👩🏻‍🤝‍👨🏼;moški in ženska se držita za roke: svetel ten kože in srednje svetel ten kože;držati|moški|moški in ženska se držita za roke|moški in ženska se držita za roke: svetel ten kože in srednje svetel ten kože|par|roka|srednje svetel ten kože|svetel ten kože|ženska
	👩🏻‍🤝‍👨🏽;moški in ženska se držita za roke: svetel ten kože in srednji ten kože;držati|moški|moški in ženska se držita za roke|moški in ženska se držita za roke: svetel ten kože in srednji ten kože|par|roka|srednji ten kože|svetel ten kože|ženska
	👩🏻‍🤝‍👨🏾;moški in ženska se držita za roke: svetel ten kože in srednje temen ten kože;držati|moški|moški in ženska se držita za roke|moški in ženska se držita za roke: svetel ten kože in srednje temen ten kože|par|roka|srednje temen ten kože|svetel ten kože|ženska
	👩🏻‍🤝‍👨🏿;moški in ženska se držita za roke: svetel ten kože in temen ten kože;držati|moški|moški in ženska se držita za roke|moški in ženska se držita za roke: svetel ten kože in temen ten kože|par|roka|svetel ten kože|temen ten kože|ženska
	👩🏼‍🤝‍👨🏻;moški in ženska se držita za roke: srednje svetel ten kože in svetel ten kože;držati|moški|moški in ženska se držita za roke|moški in ženska se držita za roke: srednje svetel ten kože in svetel ten kože|par|roka|srednje svetel ten kože|svetel ten kože|ženska
	👫🏼;moški in ženska se držita za roke: srednje svetel ten kože;držati|moški|moški in ženska se držita za roke|moški in ženska se držita za roke: srednje svetel ten kože|par|roka|srednje svetel ten kože|ženska
	👩🏼‍🤝‍👨🏽;moški in ženska se držita za roke: srednje svetel ten kože in srednji ten kože;držati|moški|moški in ženska se držita za roke|moški in ženska se držita za roke: srednje svetel ten kože in srednji ten kože|par|roka|srednje svetel ten kože|srednji ten kože|ženska
	👩🏼‍🤝‍👨🏾;moški in ženska se držita za roke: srednje svetel ten kože in srednje temen ten kože;držati|moški|moški in ženska se držita za roke|moški in ženska se držita za roke: srednje svetel ten kože in srednje temen ten kože|par|roka|srednje svetel ten kože|srednje temen ten kože|ženska
	👩🏼‍🤝‍👨🏿;moški in ženska se držita za roke: srednje svetel ten kože in temen ten kože;držati|moški|moški in ženska se držita za roke|moški in ženska se držita za roke: srednje svetel ten kože in temen ten kože|par|roka|srednje svetel ten kože|temen ten kože|ženska
	👩🏽‍🤝‍👨🏻;moški in ženska se držita za roke: srednji ten kože in svetel ten kože;držati|moški|moški in ženska se držita za roke|moški in ženska se držita za roke: srednji ten kože in svetel ten kože|par|roka|srednji ten kože|svetel ten kože|ženska
	👩🏽‍🤝‍👨🏼;moški in ženska se držita za roke: srednji ten kože in srednje svetel ten kože;držati|moški|moški in ženska se držita za roke|moški in ženska se držita za roke: srednji ten kože in srednje svetel ten kože|par|roka|srednje svetel ten kože|srednji ten kože|ženska
	👫🏽;moški in ženska se držita za roke: srednji ten kože;držati|moški|moški in ženska se držita za roke|moški in ženska se držita za roke: srednji ten kože|par|roka|srednji ten kože|ženska
	👩🏽‍🤝‍👨🏾;moški in ženska se držita za roke: srednji ten kože in srednje temen ten kože;držati|moški|moški in ženska se držita za roke|moški in ženska se držita za roke: srednji ten kože in srednje temen ten kože|par|roka|srednje temen ten kože|srednji ten kože|ženska
	👩🏽‍🤝‍👨🏿;moški in ženska se držita za roke: srednji ten kože in temen ten kože;držati|moški|moški in ženska se držita za roke|moški in ženska se držita za roke: srednji ten kože in temen ten kože|par|roka|srednji ten kože|temen ten kože|ženska
	👩🏾‍🤝‍👨🏻;moški in ženska se držita za roke: srednje temen ten kože in svetel ten kože;držati|moški|moški in ženska se držita za roke|moški in ženska se držita za roke: srednje temen ten kože in svetel ten kože|par|roka|srednje temen ten kože|svetel ten kože|ženska
