# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;πλατύ χαμόγελο;πλατύ χαμόγελο|πρόσωπο|σαρκασμός
	🧑🏻‍🤝‍🧑🏼;άτομα πιασμένα χέρι-χέρι: ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|άτομα|άτομα πιασμένα χέρι-χέρι|άτομα πιασμένα χέρι-χέρι: ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος|ζευγάρι|κρατώ|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|πιασμένοι χέρι-χέρι|χέρι
	🧑🏻‍🤝‍🧑🏽;άτομα πιασμένα χέρι-χέρι: ανοιχτόχρωμος τόνος δέρματος, μεσαίος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|άτομα|άτομα πιασμένα χέρι-χέρι|άτομα πιασμένα χέρι-χέρι: ανοιχτόχρωμος τόνος δέρματος, μεσαίος τόνος δέρματος|ζευγάρι|κρατώ|μεσαίος τόνος δέρματος|πιασμένοι χέρι-χέρι|χέρι
	🧑🏻‍🤝‍🧑🏾;άτομα πιασμένα χέρι-χέρι: ανοιχτόχρωμος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|άτομα|άτομα πιασμένα χέρι-χέρι|άτομα πιασμένα χέρι-χέρι: ανοιχτόχρωμος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος|ζευγάρι|κρατώ|μεσαίος-σκούρος τόνος δέρματος|πιασμένοι χέρι-χέρι|χέρι
	🧑🏻‍🤝‍🧑🏿;άτομα πιασμένα χέρι-χέρι: ανοιχτόχρωμος τόνος δέρματος, σκούρος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|άτομα|άτομα πιασμένα χέρι-χέρι|άτομα πιασμένα χέρι-χέρι: ανοιχτόχρωμος τόνος δέρματος, σκούρος τόνος δέρματος|ζευγάρι|κρατώ|πιασμένοι χέρι-χέρι|σκούρος τόνος δέρματος|χέρι
	🧑🏼‍🤝‍🧑🏻;άτομα πιασμένα χέρι-χέρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|άτομα|άτομα πιασμένα χέρι-χέρι|άτομα πιασμένα χέρι-χέρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος|ζευγάρι|κρατώ|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|πιασμένοι χέρι-χέρι|χέρι
	🧑🏼‍🤝‍🧑🏼;άτομα πιασμένα χέρι-χέρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;άτομα|άτομα πιασμένα χέρι-χέρι|άτομα πιασμένα χέρι-χέρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|ζευγάρι|κρατώ|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|πιασμένοι χέρι-χέρι|χέρι
	🧑🏼‍🤝‍🧑🏽;άτομα πιασμένα χέρι-χέρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος τόνος δέρματος;άτομα|άτομα πιασμένα χέρι-χέρι|άτομα πιασμένα χέρι-χέρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος τόνος δέρματος|ζευγάρι|κρατώ|μεσαίος τόνος δέρματος|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|πιασμένοι χέρι-χέρι|χέρι
	🧑🏼‍🤝‍🧑🏾;άτομα πιασμένα χέρι-χέρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος;άτομα|άτομα πιασμένα χέρι-χέρι|άτομα πιασμένα χέρι-χέρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος|ζευγάρι|κρατώ|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|μεσαίος-σκούρος τόνος δέρματος|πιασμένοι χέρι-χέρι|χέρι
	🧑🏼‍🤝‍🧑🏿;άτομα πιασμένα χέρι-χέρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σκούρος τόνος δέρματος;άτομα|άτομα πιασμένα χέρι-χέρι|άτομα πιασμένα χέρι-χέρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σκούρος τόνος δέρματος|ζευγάρι|κρατώ|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|πιασμένοι χέρι-χέρι|σκούρος τόνος δέρματος|χέρι
	🧑🏽‍🤝‍🧑🏻;άτομα πιασμένα χέρι-χέρι: μεσαίος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|άτομα|άτομα πιασμένα χέρι-χέρι|άτομα πιασμένα χέρι-χέρι: μεσαίος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος|ζευγάρι|κρατώ|μεσαίος τόνος δέρματος|πιασμένοι χέρι-χέρι|χέρι
	🧑🏽‍🤝‍🧑🏼;άτομα πιασμένα χέρι-χέρι: μεσαίος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος;άτομα|άτομα πιασμένα χέρι-χέρι|άτομα πιασμένα χέρι-χέρι: μεσαίος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος|ζευγάρι|κρατώ|μεσαίος τόνος δέρματος|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|πιασμένοι χέρι-χέρι|χέρι
	🧑🏽‍🤝‍🧑🏽;άτομα πιασμένα χέρι-χέρι: μεσαίος τόνος δέρματος;άτομα|άτομα πιασμένα χέρι-χέρι|άτομα πιασμένα χέρι-χέρι: μεσαίος τόνος δέρματος|ζευγάρι|κρατώ|μεσαίος τόνος δέρματος|πιασμένοι χέρι-χέρι|χέρι
	🧑🏽‍🤝‍🧑🏾;άτομα πιασμένα χέρι-χέρι: μεσαίος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος;άτομα|άτομα πιασμένα χέρι-χέρι|άτομα πιασμένα χέρι-χέρι: μεσαίος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος|ζευγάρι|κρατώ|μεσαίος τόνος δέρματος|μεσαίος-σκούρος τόνος δέρματος|πιασμένοι χέρι-χέρι|χέρι
	🧑🏽‍🤝‍🧑🏿;άτομα πιασμένα χέρι-χέρι: μεσαίος τόνος δέρματος, σκούρος τόνος δέρματος;άτομα|άτομα πιασμένα χέρι-χέρι|άτομα πιασμένα χέρι-χέρι: μεσαίος τόνος δέρματος, σκούρος τόνος δέρματος|ζευγάρι|κρατώ|μεσαίος τόνος δέρματος|πιασμένοι χέρι-χέρι|σκούρος τόνος δέρματος|χέρι
	🧑🏾‍🤝‍🧑🏻;άτομα πιασμένα χέρι-χέρι: μεσαίος-σκούρος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|άτομα|άτομα πιασμένα χέρι-χέρι|άτομα πιασμένα χέρι-χέρι: μεσαίος-σκούρος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος|ζευγάρι|κρατώ|μεσαίος-σκούρος τόνος δέρματος|πιασμένοι χέρι-χέρι|χέρι
	🧑🏾‍🤝‍🧑🏼;άτομα πιασμένα χέρι-χέρι: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος;άτομα|άτομα πιασμένα χέρι-χέρι|άτομα πιασμένα χέρι-χέρι: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος|ζευγάρι|κρατώ|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|μεσαίος-σκούρος τόνος δέρματος|πιασμένοι χέρι-χέρι|χέρι
	🧑🏾‍🤝‍🧑🏽;άτομα πιασμένα χέρι-χέρι: μεσαίος-σκούρος τόνος δέρματος, μεσαίος τόνος δέρματος;άτομα|άτομα πιασμένα χέρι-χέρι|άτομα πιασμένα χέρι-χέρι: μεσαίος-σκούρος τόνος δέρματος, μεσαίος τόνος δέρματος|ζευγάρι|κρατώ|μεσαίος τόνος δέρματος|μεσαίος-σκούρος τόνος δέρματος|πιασμένοι χέρι-χέρι|χέρι
	🧑🏾‍🤝‍🧑🏾;άτομα πιασμένα χέρι-χέρι: μεσαίος-σκούρος τόνος δέρματος;άτομα|άτομα πιασμένα χέρι-χέρι|άτομα πιασμένα χέρι-χέρι: μεσαίος-σκούρος τόνος δέρματος|ζευγάρι|κρατώ|μεσαίος-σκούρος τόνος δέρματος|πιασμένοι χέρι-χέρι|χέρι
	🧑🏾‍🤝‍🧑🏿;άτομα πιασμένα χέρι-χέρι: μεσαίος-σκούρος τόνος δέρματος, σκούρος τόνος δέρματος;άτομα|άτομα πιασμένα χέρι-χέρι|άτομα πιασμένα χέρι-χέρι: μεσαίος-σκούρος τόνος δέρματος, σκούρος τόνος δέρματος|ζευγάρι|κρατώ|μεσαίος-σκούρος τόνος δέρματος|πιασμένοι χέρι-χέρι|σκούρος τόνος δέρματος|χέρι
	🧑🏿‍🤝‍🧑🏻;άτομα πιασμένα χέρι-χέρι: σκούρος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|άτομα|άτομα πιασμένα χέρι-χέρι|άτομα πιασμένα χέρι-χέρι: σκούρος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος|ζευγάρι|κρατώ|πιασμένοι χέρι-χέρι|σκούρος τόνος δέρματος|χέρι
	🧑🏿‍🤝‍🧑🏼;άτομα πιασμένα χέρι-χέρι: σκούρος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος;άτομα|άτομα πιασμένα χέρι-χέρι|άτομα πιασμένα χέρι-χέρι: σκούρος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος|ζευγάρι|κρατώ|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|πιασμένοι χέρι-χέρι|σκούρος τόνος δέρματος|χέρι
	🧑🏿‍🤝‍🧑🏽;άτομα πιασμένα χέρι-χέρι: σκούρος τόνος δέρματος, μεσαίος τόνος δέρματος;άτομα|άτομα πιασμένα χέρι-χέρι|άτομα πιασμένα χέρι-χέρι: σκούρος τόνος δέρματος, μεσαίος τόνος δέρματος|ζευγάρι|κρατώ|μεσαίος τόνος δέρματος|πιασμένοι χέρι-χέρι|σκούρος τόνος δέρματος|χέρι
	🧑🏿‍🤝‍🧑🏾;άτομα πιασμένα χέρι-χέρι: σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος;άτομα|άτομα πιασμένα χέρι-χέρι|άτομα πιασμένα χέρι-χέρι: σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος|ζευγάρι|κρατώ|μεσαίος-σκούρος τόνος δέρματος|πιασμένοι χέρι-χέρι|σκούρος τόνος δέρματος|χέρι
