# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ပြုံးဖြဲဖြဲ မျက်နှာ;ပြုံးဖြဲဖြဲ|မျက်နှာ
	🧑🏾‍🦽;လူနာတင်ကုလားထိုင်နှင့် လူ − အသားညိုရောင်;လူနာတင်ကုလားထိုင်|လူနာတင်ကုလားထိုင်နှင့် လူ|အများသုံးစွဲနိုင်မှု|အသားညိုရောင်
	🧑🏿‍🦽;လူနာတင်ကုလားထိုင်နှင့် လူ − အသားမည်းရောင်;လူနာတင်ကုလားထိုင်|လူနာတင်ကုလားထိုင်နှင့် လူ|အများသုံးစွဲနိုင်မှု|အသားမည်းရောင်
🧑‍🦽‍➡️;လူနာတင်ကုလားထိုင်နှင့် လူ − ညာဘက် မျက်နှာမူ;ညာဘက်|မျက်နှာမူ|လူနာတင်ကုလားထိုင်|လူနာတင်ကုလားထိုင်နှင့် လူ|အများသုံးစွဲနိုင်မှု
	🧑🏻‍🦽‍➡️;လူနာတင်ကုလားထိုင်နှင့် လူ − အသားဖြူရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|မျက်နှာမူ|လူနာတင်ကုလားထိုင်|လူနာတင်ကုလားထိုင်နှင့် လူ|အများသုံးစွဲနိုင်မှု|အသားဖြူရောင်
	🧑🏼‍🦽‍➡️;လူနာတင်ကုလားထိုင်နှင့် လူ − အသားနုရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|မျက်နှာမူ|လူနာတင်ကုလားထိုင်|လူနာတင်ကုလားထိုင်နှင့် လူ|အများသုံးစွဲနိုင်မှု|အသားနုရောင်
	🧑🏽‍🦽‍➡️;လူနာတင်ကုလားထိုင်နှင့် လူ − အသားလတ်ရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|မျက်နှာမူ|လူနာတင်ကုလားထိုင်|လူနာတင်ကုလားထိုင်နှင့် လူ|အများသုံးစွဲနိုင်မှု|အသားလတ်ရောင်
	🧑🏾‍🦽‍➡️;လူနာတင်ကုလားထိုင်နှင့် လူ − အသားညိုရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|မျက်နှာမူ|လူနာတင်ကုလားထိုင်|လူနာတင်ကုလားထိုင်နှင့် လူ|အများသုံးစွဲနိုင်မှု|အသားညိုရောင်
	🧑🏿‍🦽‍➡️;လူနာတင်ကုလားထိုင်နှင့် လူ − အသားမည်းရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|မျက်နှာမူ|လူနာတင်ကုလားထိုင်|လူနာတင်ကုလားထိုင်နှင့် လူ|အများသုံးစွဲနိုင်မှု|အသားမည်းရောင်
👨‍🦽;လူနာတင်ကုလားထိုင်နှင့် အမျိုးသား;လူနာတင်ကုလားထိုင်|လူနာတင်ကုလားထိုင်နှင့် အမျိုးသား|အများသုံးစွဲနိုင်မှု|အမျိုးသား
	👨🏻‍🦽;လူနာတင်ကုလားထိုင်နှင့် အမျိုးသား − အသားဖြူရောင်;လူနာတင်ကုလားထိုင်|လူနာတင်ကုလားထိုင်နှင့် အမျိုးသား|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားဖြူရောင်
	👨🏼‍🦽;လူနာတင်ကုလားထိုင်နှင့် အမျိုးသား − အသားနုရောင်;လူနာတင်ကုလားထိုင်|လူနာတင်ကုလားထိုင်နှင့် အမျိုးသား|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားနုရောင်
	👨🏽‍🦽;လူနာတင်ကုလားထိုင်နှင့် အမျိုးသား − အသားလတ်ရောင်;လူနာတင်ကုလားထိုင်|လူနာတင်ကုလားထိုင်နှင့် အမျိုးသား|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားလတ်ရောင်
	👨🏾‍🦽;လူနာတင်ကုလားထိုင်နှင့် အမျိုးသား − အသားညိုရောင်;လူနာတင်ကုလားထိုင်|လူနာတင်ကုလားထိုင်နှင့် အမျိုးသား|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားညိုရောင်
	👨🏿‍🦽;လူနာတင်ကုလားထိုင်နှင့် အမျိုးသား − အသားမည်းရောင်;လူနာတင်ကုလားထိုင်|လူနာတင်ကုလားထိုင်နှင့် အမျိုးသား|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားမည်းရောင်
👨‍🦽‍➡️;လူနာတင်ကုလားထိုင်နှင့် အမျိုးသား − ညာဘက် မျက်နှာမူ;ညာဘက်|မျက်နှာမူ|လူနာတင်ကုလားထိုင်|လူနာတင်ကုလားထိုင်နှင့် အမျိုးသား|အများသုံးစွဲနိုင်မှု|အမျိုးသား
	👨🏻‍🦽‍➡️;လူနာတင်ကုလားထိုင်နှင့် အမျိုးသား − အသားဖြူရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|မျက်နှာမူ|လူနာတင်ကုလားထိုင်|လူနာတင်ကုလားထိုင်နှင့် အမျိုးသား|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားဖြူရောင်
	👨🏼‍🦽‍➡️;လူနာတင်ကုလားထိုင်နှင့် အမျိုးသား − အသားနုရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|မျက်နှာမူ|လူနာတင်ကုလားထိုင်|လူနာတင်ကုလားထိုင်နှင့် အမျိုးသား|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားနုရောင်
