# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;חיוך רחב;חיוך|חיוך רחב|מחייך|פרצוף|שמח
	🏌🏻;שחקן גולף: גוון עור בהיר;גוון עור בהיר|גולף|הנפה|ירוק|מחבט|מסלול גולף|משחק|נושא כלים|ספורט|שחקן
	🏌🏼;שחקן גולף: גוון עור בהיר בינוני;גוון עור בהיר בינוני|גולף|הנפה|ירוק|מחבט|מסלול גולף|משחק|נושא כלים|ספורט|שחקן
	🏌🏽;שחקן גולף: גוון עור בינוני;גוון עור בינוני|גולף|הנפה|ירוק|מחבט|מסלול גולף|משחק|נושא כלים|ספורט|שחקן
	🏌🏾;שחקן גולף: גוון עור כהה בינוני;גוון עור כהה בינוני|גולף|הנפה|ירוק|מחבט|מסלול גולף|משחק|נושא כלים|ספורט|שחקן
	🏌🏿;שחקן גולף: גוון עור כהה;גוון עור כהה|גולף|הנפה|ירוק|מחבט|מסלול גולף|משחק|נושא כלים|ספורט|שחקן
🏌️‍♂️;גבר משחק גולף;איש|גבר|גבר משחק גולף|גולף
	🏌🏻‍♂️;גבר משחק גולף: גוון עור בהיר;איש|גבר|גבר משחק גולף|גוון עור בהיר|גולף
	🏌🏼‍♂️;גבר משחק גולף: גוון עור בהיר בינוני;איש|גבר|גבר משחק גולף|גוון עור בהיר בינוני|גולף
	🏌🏽‍♂️;גבר משחק גולף: גוון עור בינוני;איש|גבר|גבר משחק גולף|גוון עור בינוני|גולף
	🏌🏾‍♂️;גבר משחק גולף: גוון עור כהה בינוני;איש|גבר|גבר משחק גולף|גוון עור כהה בינוני|גולף
	🏌🏿‍♂️;גבר משחק גולף: גוון עור כהה;איש|גבר|גבר משחק גולף|גוון עור כהה|גולף
🏌️‍♀️;אישה משחקת גולף;אישה|אישה משחקת גולף|גולף
	🏌🏻‍♀️;אישה משחקת גולף: גוון עור בהיר;אישה|אישה משחקת גולף|גוון עור בהיר|גולף
	🏌🏼‍♀️;אישה משחקת גולף: גוון עור בהיר בינוני;אישה|אישה משחקת גולף|גוון עור בהיר בינוני|גולף
	🏌🏽‍♀️;אישה משחקת גולף: גוון עור בינוני;אישה|אישה משחקת גולף|גוון עור בינוני|גולף
	🏌🏾‍♀️;אישה משחקת גולף: גוון עור כהה בינוני;אישה|אישה משחקת גולף|גוון עור כהה בינוני|גולף
	🏌🏿‍♀️;אישה משחקת גולף: גוון עור כהה;אישה|אישה משחקת גולף|גוון עור כהה|גולף
🏄;גולש גלים;אדם גולש על גלשן|גולש|גלים|גלישה|גלישת גלים|גלשן|חוף|ים|ספורט
	🏄🏻;גולש גלים: גוון עור בהיר;אדם גולש על גלשן|גוון עור בהיר|גולש|גלים|גלישה|גלישת גלים|גלשן|חוף|ים|ספורט
	🏄🏼;גולש גלים: גוון עור בהיר בינוני;אדם גולש על גלשן|גוון עור בהיר בינוני|גולש|גלים|גלישה|גלישת גלים|גלשן|חוף|ים|ספורט
	🏄🏽;גולש גלים: גוון עור בינוני;אדם גולש על גלשן|גוון עור בינוני|גולש|גלים|גלישה|גלישת גלים|גלשן|חוף|ים|ספורט
	🏄🏾;גולש גלים: גוון עור כהה בינוני;אדם גולש על גלשן|גוון עור כהה בינוני|גולש|גלים|גלישה|גלישת גלים|גלשן|חוף|ים|ספורט
	🏄🏿;גולש גלים: גוון עור כהה;אדם גולש על גלשן|גוון עור כהה|גולש|גלים|גלישה|גלישת גלים|גלשן|חוף|ים|ספורט
🏄‍♂️;גבר גולש;איש|גבר|גבר גולש|גלישה
	🏄🏻‍♂️;גבר גולש: גוון עור בהיר;איש|גבר|גבר גולש|גוון עור בהיר|גלישה
	🏄🏼‍♂️;גבר גולש: גוון עור בהיר בינוני;איש|גבר|גבר גולש|גוון עור בהיר בינוני|גלישה
	🏄🏽‍♂️;גבר גולש: גוון עור בינוני;איש|גבר|גבר גולש|גוון עור בינוני|גלישה
	🏄🏾‍♂️;גבר גולש: גוון עור כהה בינוני;איש|גבר|גבר גולש|גוון עור כהה בינוני|גלישה
	🏄🏿‍♂️;גבר גולש: גוון עור כהה;איש|גבר|גבר גולש|גוון עור כהה|גלישה
🏄‍♀️;אישה גולשת;אדם|אישה|אישה גולשת|גלים|גלישה|ים|לגלוש|ספורט
	🏄🏻‍♀️;אישה גולשת: גוון עור בהיר;אדם|אישה|אישה גולשת|גוון עור בהיר|גלים|גלישה|ים|לגלוש|ספורט
	🏄🏼‍♀️;אישה גולשת: גוון עור בהיר בינוני;אדם|אישה|אישה גולשת|גוון עור בהיר בינוני|גלים|גלישה|ים|לגלוש|ספורט
	🏄🏽‍♀️;אישה גולשת: גוון עור בינוני;אדם|אישה|אישה גולשת|גוון עור בינוני|גלים|גלישה|ים|לגלוש|ספורט
	🏄🏾‍♀️;אישה גולשת: גוון עור כהה בינוני;אדם|אישה|אישה גולשת|גוון עור כהה בינוני|גלים|גלישה|ים|לגלוש|ספורט
	🏄🏿‍♀️;אישה גולשת: גוון עור כהה;אדם|אישה|אישה גולשת|גוון עור כהה|גלים|גלישה|ים|לגלוש|ספורט
🚣;סירת משוטים;אגם|אדם בסירה|אדם חותר בסירת משוטים|דייג|חתירה|ים|משוטים|נהר|סירה|שייט
	🚣🏻;סירת משוטים: גוון עור בהיר;אגם|אדם בסירה|אדם חותר בסירת משוטים|גוון עור בהיר|דייג|חתירה|ים|משוטים|נהר|סירה|שייט
	🚣🏼;סירת משוטים: גוון עור בהיר בינוני;אגם|אדם בסירה|אדם חותר בסירת משוטים|גוון עור בהיר בינוני|דייג|חתירה|ים|משוטים|נהר|סירה|שייט
	🚣🏽;סירת משוטים: גוון עור בינוני;אגם|אדם בסירה|אדם חותר בסירת משוטים|גוון עור בינוני|דייג|חתירה|ים|משוטים|נהר|סירה|שייט
	🚣🏾;סירת משוטים: גוון עור כהה בינוני;אגם|אדם בסירה|אדם חותר בסירת משוטים|גוון עור כהה בינוני|דייג|חתירה|ים|משוטים|נהר|סירה|שייט
	🚣🏿;סירת משוטים: גוון עור כהה;אגם|אדם בסירה|אדם חותר בסירת משוטים|גוון עור כהה|דייג|חתירה|ים|משוטים|נהר|סירה|שייט
🚣‍♂️;גבר חותר בסירה;איש|גבר|גבר חותר בסירה|חתירה|סירה
	🚣🏻‍♂️;גבר חותר בסירה: גוון עור בהיר;איש|גבר|גבר חותר בסירה|גוון עור בהיר|חתירה|סירה
	🚣🏼‍♂️;גבר חותר בסירה: גוון עור בהיר בינוני;איש|גבר|גבר חותר בסירה|גוון עור בהיר בינוני|חתירה|סירה
	🚣🏽‍♂️;גבר חותר בסירה: גוון עור בינוני;איש|גבר|גבר חותר בסירה|גוון עור בינוני|חתירה|סירה
	🚣🏾‍♂️;גבר חותר בסירה: גוון עור כהה בינוני;איש|גבר|גבר חותר בסירה|גוון עור כהה בינוני|חתירה|סירה
	🚣🏿‍♂️;גבר חותר בסירה: גוון עור כהה;איש|גבר|גבר חותר בסירה|גוון עור כהה|חתירה|סירה
🚣‍♀️;אישה חותרת בסירה;אדם|אישה|אישה חותרת בסירה|חתירה|סירה|סירת משוטים
	🚣🏻‍♀️;אישה חותרת בסירה: גוון עור בהיר;אדם|אישה|אישה חותרת בסירה|גוון עור בהיר|חתירה|סירה|סירת משוטים
	🚣🏼‍♀️;אישה חותרת בסירה: גוון עור בהיר בינוני;אדם|אישה|אישה חותרת בסירה|גוון עור בהיר בינוני|חתירה|סירה|סירת משוטים
	🚣🏽‍♀️;אישה חותרת בסירה: גוון עור בינוני;אדם|אישה|אישה חותרת בסירה|גוון עור בינוני|חתירה|סירה|סירת משוטים
	🚣🏾‍♀️;אישה חותרת בסירה: גוון עור כהה בינוני;אדם|אישה|אישה חותרת בסירה|גוון עור כהה בינוני|חתירה|סירה|סירת משוטים
	🚣🏿‍♀️;אישה חותרת בסירה: גוון עור כהה;אדם|אישה|אישה חותרת בסירה|גוון עור כהה|חתירה|סירה|סירת משוטים
🏊;שחיין;אדם שוחה|בריכה|גבר שוחה|טריאתלון|ים|סגנון חופשי|שוחה|שחייה|שחיין
	🏊🏻;שחיין: גוון עור בהיר;אדם שוחה|בריכה|גבר שוחה|גוון עור בהיר|טריאתלון|ים|סגנון חופשי|שוחה|שחייה|שחיין
	🏊🏼;שחיין: גוון עור בהיר בינוני;אדם שוחה|בריכה|גבר שוחה|גוון עור בהיר בינוני|טריאתלון|ים|סגנון חופשי|שוחה|שחייה|שחיין
	🏊🏽;שחיין: גוון עור בינוני;אדם שוחה|בריכה|גבר שוחה|גוון עור בינוני|טריאתלון|ים|סגנון חופשי|שוחה|שחייה|שחיין
	🏊🏾;שחיין: גוון עור כהה בינוני;אדם שוחה|בריכה|גבר שוחה|גוון עור כהה בינוני|טריאתלון|ים|סגנון חופשי|שוחה|שחייה|שחיין
	🏊🏿;שחיין: גוון עור כהה;אדם שוחה|בריכה|גבר שוחה|גוון עור כהה|טריאתלון|ים|סגנון חופשי|שוחה|שחייה|שחיין
🏊‍♂️;גבר שוחה;איש|גבר|שוחה|שחייה|שחיין
	🏊🏻‍♂️;גבר שוחה: גוון עור בהיר;איש|גבר|גוון עור בהיר|שוחה|שחייה|שחיין
	🏊🏼‍♂️;גבר שוחה: גוון עור בהיר בינוני;איש|גבר|גוון עור בהיר בינוני|שוחה|שחייה|שחיין
	🏊🏽‍♂️;גבר שוחה: גוון עור בינוני;איש|גבר|גוון עור בינוני|שוחה|שחייה|שחיין
	🏊🏾‍♂️;גבר שוחה: גוון עור כהה בינוני;איש|גבר|גוון עור כהה בינוני|שוחה|שחייה|שחיין
	🏊🏿‍♂️;גבר שוחה: גוון עור כהה;איש|גבר|גוון עור כהה|שוחה|שחייה|שחיין
🏊‍♀️;אישה שוחה;אישה|בריכה|לשחות|שוחה|שחיה|שחייה|שחיינית
	🏊🏻‍♀️;אישה שוחה: גוון עור בהיר;אישה|בריכה|גוון עור בהיר|לשחות|שוחה|שחיה|שחייה|שחיינית
	🏊🏼‍♀️;אישה שוחה: גוון עור בהיר בינוני;אישה|בריכה|גוון עור בהיר בינוני|לשחות|שוחה|שחיה|שחייה|שחיינית
	🏊🏽‍♀️;אישה שוחה: גוון עור בינוני;אישה|בריכה|גוון עור בינוני|לשחות|שוחה|שחיה|שחייה|שחיינית
	🏊🏾‍♀️;אישה שוחה: גוון עור כהה בינוני;אישה|בריכה|גוון עור כהה בינוני|לשחות|שוחה|שחיה|שחייה|שחיינית
	🏊🏿‍♀️;אישה שוחה: גוון עור כהה;אישה|בריכה|גוון עור כהה|לשחות|שוחה|שחיה|שחייה|שחיינית
⛹️;הקפצת כדור;הקפצת כדור|ילד מכדרר כדורסל|ילד מקפיץ כדור|כדור|כדורסל|מקפיץ כדור|ספורט
	⛹🏻;הקפצת כדור: גוון עור בהיר;גוון עור בהיר|הקפצת כדור|ילד מכדרר כדורסל|ילד מקפיץ כדור|כדור|כדורסל|מקפיץ כדור|ספורט
	⛹🏼;הקפצת כדור: גוון עור בהיר בינוני;גוון עור בהיר בינוני|הקפצת כדור|ילד מכדרר כדורסל|ילד מקפיץ כדור|כדור|כדורסל|מקפיץ כדור|ספורט
	⛹🏽;הקפצת כדור: גוון עור בינוני;גוון עור בינוני|הקפצת כדור|ילד מכדרר כדורסל|ילד מקפיץ כדור|כדור|כדורסל|מקפיץ כדור|ספורט
	⛹🏾;הקפצת כדור: גוון עור כהה בינוני;גוון עור כהה בינוני|הקפצת כדור|ילד מכדרר כדורסל|ילד מקפיץ כדור|כדור|כדורסל|מקפיץ כדור|ספורט
	⛹🏿;הקפצת כדור: גוון עור כהה;גוון עור כהה|הקפצת כדור|ילד מכדרר כדורסל|ילד מקפיץ כדור|כדור|כדורסל|מקפיץ כדור|ספורט
⛹️‍♂️;גבר מקפיץ כדור;איש|גבר|גבר מקפיץ כדור|כדור
	⛹🏻‍♂️;גבר מקפיץ כדור: גוון עור בהיר;איש|גבר|גבר מקפיץ כדור|גוון עור בהיר|כדור
