# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خنده;خنده|صورت|صورت با لبخند|لبخند|نیش باز
🏋️;وزنه‌بردار;آدم|بدنساز|بلند کردن|پاورلیفتینگ|دمبل|مرد|مرد وزنه بردار|نیرومند|ورزشکار|وزنه|وزنه برداری|وزنه‌بردار
	🏋🏻;وزنه‌بردار: پوست سفید;آدم|بدنساز|بلند کردن|پاورلیفتینگ|پوست سفید|دمبل|مرد|مرد وزنه بردار|نیرومند|ورزشکار|وزنه|وزنه برداری|وزنه‌بردار
	🏋🏼;وزنه‌بردار: پوست روشن;آدم|بدنساز|بلند کردن|پاورلیفتینگ|پوست روشن|دمبل|مرد|مرد وزنه بردار|نیرومند|ورزشکار|وزنه|وزنه برداری|وزنه‌بردار
	🏋🏽;وزنه‌بردار: پوست طلایی;آدم|بدنساز|بلند کردن|پاورلیفتینگ|پوست طلایی|دمبل|مرد|مرد وزنه بردار|نیرومند|ورزشکار|وزنه|وزنه برداری|وزنه‌بردار
	🏋🏾;وزنه‌بردار: پوست گندمی;آدم|بدنساز|بلند کردن|پاورلیفتینگ|پوست گندمی|دمبل|مرد|مرد وزنه بردار|نیرومند|ورزشکار|وزنه|وزنه برداری|وزنه‌بردار
	🏋🏿;وزنه‌بردار: پوست آبنوسی;آدم|بدنساز|بلند کردن|پاورلیفتینگ|پوست آبنوسی|دمبل|مرد|مرد وزنه بردار|نیرومند|ورزشکار|وزنه|وزنه برداری|وزنه‌بردار
🏋️‍♂️;وزنه‌بردار مرد;بلند کردن|وزنه|وزنه‌بردار مرد|وزنه‌برداری
	🏋🏻‍♂️;وزنه‌بردار مرد: پوست سفید;بلند کردن|پوست سفید|وزنه|وزنه‌بردار مرد|وزنه‌برداری
	🏋🏼‍♂️;وزنه‌بردار مرد: پوست روشن;بلند کردن|پوست روشن|وزنه|وزنه‌بردار مرد|وزنه‌برداری
	🏋🏽‍♂️;وزنه‌بردار مرد: پوست طلایی;بلند کردن|پوست طلایی|وزنه|وزنه‌بردار مرد|وزنه‌برداری
	🏋🏾‍♂️;وزنه‌بردار مرد: پوست گندمی;بلند کردن|پوست گندمی|وزنه|وزنه‌بردار مرد|وزنه‌برداری
	🏋🏿‍♂️;وزنه‌بردار مرد: پوست آبنوسی;بلند کردن|پوست آبنوسی|وزنه|وزنه‌بردار مرد|وزنه‌برداری
🏋️‍♀️;وزنه‌بردار زن;بلند کردن|وزنه|وزنه‌بردار زن|وزنه‌برداری
	🏋🏻‍♀️;وزنه‌بردار زن: پوست سفید;بلند کردن|پوست سفید|وزنه|وزنه‌بردار زن|وزنه‌برداری
	🏋🏼‍♀️;وزنه‌بردار زن: پوست روشن;بلند کردن|پوست روشن|وزنه|وزنه‌بردار زن|وزنه‌برداری
	🏋🏽‍♀️;وزنه‌بردار زن: پوست طلایی;بلند کردن|پوست طلایی|وزنه|وزنه‌بردار زن|وزنه‌برداری
	🏋🏾‍♀️;وزنه‌بردار زن: پوست گندمی;بلند کردن|پوست گندمی|وزنه|وزنه‌بردار زن|وزنه‌برداری
	🏋🏿‍♀️;وزنه‌بردار زن: پوست آبنوسی;بلند کردن|پوست آبنوسی|وزنه|وزنه‌بردار زن|وزنه‌برداری
🚴;دوچرخه‌سوار;آدم|تمرین|دوچرخه|دوچرخه سوار|دوچرخه‌سوار|رکاب زدن|کلاه ایمنی|مرد|مرد دوچرخه سوار|مسابقه|ورزشکار
	🚴🏻;دوچرخه‌سوار: پوست سفید;آدم|پوست سفید|تمرین|دوچرخه|دوچرخه سوار|دوچرخه‌سوار|رکاب زدن|کلاه ایمنی|مرد|مرد دوچرخه سوار|مسابقه|ورزشکار
	🚴🏼;دوچرخه‌سوار: پوست روشن;آدم|پوست روشن|تمرین|دوچرخه|دوچرخه سوار|دوچرخه‌سوار|رکاب زدن|کلاه ایمنی|مرد|مرد دوچرخه سوار|مسابقه|ورزشکار
	🚴🏽;دوچرخه‌سوار: پوست طلایی;آدم|پوست طلایی|تمرین|دوچرخه|دوچرخه سوار|دوچرخه‌سوار|رکاب زدن|کلاه ایمنی|مرد|مرد دوچرخه سوار|مسابقه|ورزشکار
	🚴🏾;دوچرخه‌سوار: پوست گندمی;آدم|پوست گندمی|تمرین|دوچرخه|دوچرخه سوار|دوچرخه‌سوار|رکاب زدن|کلاه ایمنی|مرد|مرد دوچرخه سوار|مسابقه|ورزشکار
	🚴🏿;دوچرخه‌سوار: پوست آبنوسی;آدم|پوست آبنوسی|تمرین|دوچرخه|دوچرخه سوار|دوچرخه‌سوار|رکاب زدن|کلاه ایمنی|مرد|مرد دوچرخه سوار|مسابقه|ورزشکار
🚴‍♂️;دوچرخه‌سوار مرد;دوچرخه|دوچرخه‌سوار مرد|دوچرخه‌سواری|رکاب زدن
	🚴🏻‍♂️;دوچرخه‌سوار مرد: پوست سفید;پوست سفید|دوچرخه|دوچرخه‌سوار مرد|دوچرخه‌سواری|رکاب زدن
	🚴🏼‍♂️;دوچرخه‌سوار مرد: پوست روشن;پوست روشن|دوچرخه|دوچرخه‌سوار مرد|دوچرخه‌سواری|رکاب زدن
	🚴🏽‍♂️;دوچرخه‌سوار مرد: پوست طلایی;پوست طلایی|دوچرخه|دوچرخه‌سوار مرد|دوچرخه‌سواری|رکاب زدن
	🚴🏾‍♂️;دوچرخه‌سوار مرد: پوست گندمی;پوست گندمی|دوچرخه|دوچرخه‌سوار مرد|دوچرخه‌سواری|رکاب زدن
	🚴🏿‍♂️;دوچرخه‌سوار مرد: پوست آبنوسی;پوست آبنوسی|دوچرخه|دوچرخه‌سوار مرد|دوچرخه‌سواری|رکاب زدن
🚴‍♀️;دوچرخه‌سوار زن;دوچرخه|دوچرخه‌سوار زن|دوچرخه‌سواری|رکاب زدن
	🚴🏻‍♀️;دوچرخه‌سوار زن: پوست سفید;پوست سفید|دوچرخه|دوچرخه‌سوار زن|دوچرخه‌سواری|رکاب زدن
	🚴🏼‍♀️;دوچرخه‌سوار زن: پوست روشن;پوست روشن|دوچرخه|دوچرخه‌سوار زن|دوچرخه‌سواری|رکاب زدن
	🚴🏽‍♀️;دوچرخه‌سوار زن: پوست طلایی;پوست طلایی|دوچرخه|دوچرخه‌سوار زن|دوچرخه‌سواری|رکاب زدن
	🚴🏾‍♀️;دوچرخه‌سوار زن: پوست گندمی;پوست گندمی|دوچرخه|دوچرخه‌سوار زن|دوچرخه‌سواری|رکاب زدن
	🚴🏿‍♀️;دوچرخه‌سوار زن: پوست آبنوسی;پوست آبنوسی|دوچرخه|دوچرخه‌سوار زن|دوچرخه‌سواری|رکاب زدن
🚵;دوچرخه کوهستان;آدم|چرخ|دوچرخه|دوچرخه سوار|دوچرخه‌سوار|رکاب زدن|قهرمان|کلاه ایمنی|کوهستان|مرد|مرد دوچرخه سوار
	🚵🏻;دوچرخه کوهستان: پوست سفید;آدم|پوست سفید|چرخ|دوچرخه|دوچرخه سوار|دوچرخه‌سوار|رکاب زدن|قهرمان|کلاه ایمنی|کوهستان|مرد|مرد دوچرخه سوار
	🚵🏼;دوچرخه کوهستان: پوست روشن;آدم|پوست روشن|چرخ|دوچرخه|دوچرخه سوار|دوچرخه‌سوار|رکاب زدن|قهرمان|کلاه ایمنی|کوهستان|مرد|مرد دوچرخه سوار
	🚵🏽;دوچرخه کوهستان: پوست طلایی;آدم|پوست طلایی|چرخ|دوچرخه|دوچرخه سوار|دوچرخه‌سوار|رکاب زدن|قهرمان|کلاه ایمنی|کوهستان|مرد|مرد دوچرخه سوار
	🚵🏾;دوچرخه کوهستان: پوست گندمی;آدم|پوست گندمی|چرخ|دوچرخه|دوچرخه سوار|دوچرخه‌سوار|رکاب زدن|قهرمان|کلاه ایمنی|کوهستان|مرد|مرد دوچرخه سوار
	🚵🏿;دوچرخه کوهستان: پوست آبنوسی;آدم|پوست آبنوسی|چرخ|دوچرخه|دوچرخه سوار|دوچرخه‌سوار|رکاب زدن|قهرمان|کلاه ایمنی|کوهستان|مرد|مرد دوچرخه سوار
🚵‍♂️;مرد و دوچرخه‌سواری کوهستان;دوچرخه‌سوار کوهستان|دوچرخه‌سواری مردان|کوهستان|مرد و دوچرخه‌سواری کوهستان
	🚵🏻‍♂️;مرد و دوچرخه‌سواری کوهستان: پوست سفید;پوست سفید|دوچرخه‌سوار کوهستان|دوچرخه‌سواری مردان|کوهستان|مرد و دوچرخه‌سواری کوهستان
	🚵🏼‍♂️;مرد و دوچرخه‌سواری کوهستان: پوست روشن;پوست روشن|دوچرخه‌سوار کوهستان|دوچرخه‌سواری مردان|کوهستان|مرد و دوچرخه‌سواری کوهستان
	🚵🏽‍♂️;مرد و دوچرخه‌سواری کوهستان: پوست طلایی;پوست طلایی|دوچرخه‌سوار کوهستان|دوچرخه‌سواری مردان|کوهستان|مرد و دوچرخه‌سواری کوهستان
	🚵🏾‍♂️;مرد و دوچرخه‌سواری کوهستان: پوست گندمی;پوست گندمی|دوچرخه‌سوار کوهستان|دوچرخه‌سواری مردان|کوهستان|مرد و دوچرخه‌سواری کوهستان
	🚵🏿‍♂️;مرد و دوچرخه‌سواری کوهستان: پوست آبنوسی;پوست آبنوسی|دوچرخه‌سوار کوهستان|دوچرخه‌سواری مردان|کوهستان|مرد و دوچرخه‌سواری کوهستان
🚵‍♀️;زن و دوچرخه‌سواری کوهستان;دوچرخه‌سوار کوهستان|دوچرخه‌سواری زنان|زن و دوچرخه‌سواری کوهستان|کوهستان
	🚵🏻‍♀️;زن و دوچرخه‌سواری کوهستان: پوست سفید;پوست سفید|دوچرخه‌سوار کوهستان|دوچرخه‌سواری زنان|زن و دوچرخه‌سواری کوهستان|کوهستان
	🚵🏼‍♀️;زن و دوچرخه‌سواری کوهستان: پوست روشن;پوست روشن|دوچرخه‌سوار کوهستان|دوچرخه‌سواری زنان|زن و دوچرخه‌سواری کوهستان|کوهستان
	🚵🏽‍♀️;زن و دوچرخه‌سواری کوهستان: پوست طلایی;پوست طلایی|دوچرخه‌سوار کوهستان|دوچرخه‌سواری زنان|زن و دوچرخه‌سواری کوهستان|کوهستان
	🚵🏾‍♀️;زن و دوچرخه‌سواری کوهستان: پوست گندمی;پوست گندمی|دوچرخه‌سوار کوهستان|دوچرخه‌سواری زنان|زن و دوچرخه‌سواری کوهستان|کوهستان
	🚵🏿‍♀️;زن و دوچرخه‌سواری کوهستان: پوست آبنوسی;پوست آبنوسی|دوچرخه‌سوار کوهستان|دوچرخه‌سواری زنان|زن و دوچرخه‌سواری کوهستان|کوهستان
🤸;حرکت چرخ و فلک;بازی|پشتک|چرخ زدن|چرخ و فلک|حرکت چرخ و فلک|زن|ژیمناستیک|شاد|فعال|کله ملق|هیجان زده|وارو زدن|ورزش
	🤸🏻;حرکت چرخ و فلک: پوست سفید;بازی|پشتک|پوست سفید|چرخ زدن|چرخ و فلک|حرکت چرخ و فلک|زن|ژیمناستیک|شاد|فعال|کله ملق|هیجان زده|وارو زدن|ورزش
	🤸🏼;حرکت چرخ و فلک: پوست روشن;بازی|پشتک|پوست روشن|چرخ زدن|چرخ و فلک|حرکت چرخ و فلک|زن|ژیمناستیک|شاد|فعال|کله ملق|هیجان زده|وارو زدن|ورزش
	🤸🏽;حرکت چرخ و فلک: پوست طلایی;بازی|پشتک|پوست طلایی|چرخ زدن|چرخ و فلک|حرکت چرخ و فلک|زن|ژیمناستیک|شاد|فعال|کله ملق|هیجان زده|وارو زدن|ورزش
	🤸🏾;حرکت چرخ و فلک: پوست گندمی;بازی|پشتک|پوست گندمی|چرخ زدن|چرخ و فلک|حرکت چرخ و فلک|زن|ژیمناستیک|شاد|فعال|کله ملق|هیجان زده|وارو زدن|ورزش
	🤸🏿;حرکت چرخ و فلک: پوست آبنوسی;بازی|پشتک|پوست آبنوسی|چرخ زدن|چرخ و فلک|حرکت چرخ و فلک|زن|ژیمناستیک|شاد|فعال|کله ملق|هیجان زده|وارو زدن|ورزش
🤸‍♂️;مردِ چرخ‌وفلک‌زن;پشتک|چرخ زدن|چرخ و فلک|چرخ‌وفلک|چرخیدن|حرکت چرخ‌وفلک مردان|خوشحال|فعال|کله معلق|مرد|مردِ چرخ‌وفلک‌زن|مرد حرکت چرخ‌وفلک می‌زند|هیجان زده|وارو زدن
	🤸🏻‍♂️;مردِ چرخ‌وفلک‌زن: پوست سفید;پشتک|پوست سفید|چرخ زدن|چرخ و فلک|چرخ‌وفلک|چرخیدن|حرکت چرخ‌وفلک مردان|خوشحال|فعال|کله معلق|مرد|مردِ چرخ‌وفلک‌زن|مرد حرکت چرخ‌وفلک می‌زند|هیجان زده|وارو زدن
	🤸🏼‍♂️;مردِ چرخ‌وفلک‌زن: پوست روشن;پشتک|پوست روشن|چرخ زدن|چرخ و فلک|چرخ‌وفلک|چرخیدن|حرکت چرخ‌وفلک مردان|خوشحال|فعال|کله معلق|مرد|مردِ چرخ‌وفلک‌زن|مرد حرکت چرخ‌وفلک می‌زند|هیجان زده|وارو زدن
	🤸🏽‍♂️;مردِ چرخ‌وفلک‌زن: پوست طلایی;پشتک|پوست طلایی|چرخ زدن|چرخ و فلک|چرخ‌وفلک|چرخیدن|حرکت چرخ‌وفلک مردان|خوشحال|فعال|کله معلق|مرد|مردِ چرخ‌وفلک‌زن|مرد حرکت چرخ‌وفلک می‌زند|هیجان زده|وارو زدن
	🤸🏾‍♂️;مردِ چرخ‌وفلک‌زن: پوست گندمی;پشتک|پوست گندمی|چرخ زدن|چرخ و فلک|چرخ‌وفلک|چرخیدن|حرکت چرخ‌وفلک مردان|خوشحال|فعال|کله معلق|مرد|مردِ چرخ‌وفلک‌زن|مرد حرکت چرخ‌وفلک می‌زند|هیجان زده|وارو زدن
	🤸🏿‍♂️;مردِ چرخ‌وفلک‌زن: پوست آبنوسی;پشتک|پوست آبنوسی|چرخ زدن|چرخ و فلک|چرخ‌وفلک|چرخیدن|حرکت چرخ‌وفلک مردان|خوشحال|فعال|کله معلق|مرد|مردِ چرخ‌وفلک‌زن|مرد حرکت چرخ‌وفلک می‌زند|هیجان زده|وارو زدن
