# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;рӯи хандон;рӯи хандон|рӯй|фарох табассум кардан
	🏇🏽;аспдавонӣ: ранги миёнаи пӯст;асп|аспдавонӣ|аспи пойга|пойга|ранги миёнаи пӯст|човандоз
	🏇🏾;аспдавонӣ: ранги торики миёнаи пӯст;асп|аспдавонӣ|аспи пойга|пойга|ранги торики миёнаи пӯст|човандоз
	🏇🏿;аспдавонӣ: ранги торики пӯст;асп|аспдавонӣ|аспи пойга|пойга|ранги торики пӯст|човандоз
⛷️;лижарон;барф|лижа|лижарон
🏂;сноубордист;барф|лижа|сноуборд|сноубордист
	🏂🏻;сноубордист: ранги равшани пӯст;барф|лижа|ранги равшани пӯст|сноуборд|сноубордист
	🏂🏼;сноубордист: ранги равшании миёнаи пӯст;барф|лижа|ранги равшании миёнаи пӯст|сноуборд|сноубордист
	🏂🏽;сноубордист: ранги миёнаи пӯст;барф|лижа|ранги миёнаи пӯст|сноуборд|сноубордист
	🏂🏾;сноубордист: ранги торики миёнаи пӯст;барф|лижа|ранги торики миёнаи пӯст|сноуборд|сноубордист
	🏂🏿;сноубордист: ранги торики пӯст;барф|лижа|ранги торики пӯст|сноуборд|сноубордист
🏌️;шахсе, ки голф бозӣ карда истодааст;голф|ки голф бозӣ карда истодааст|тӯбча|шахсе|шахсе, ки голф бозӣ карда истодааст
	🏌🏻;шахсе, ки голф бозӣ карда истодааст: ранги равшани пӯст;голф|ки голф бозӣ карда истодааст|ранги равшани пӯст|тӯбча|шахсе|шахсе, ки голф бозӣ карда истодааст
	🏌🏼;шахсе, ки голф бозӣ карда истодааст: ранги равшании миёнаи пӯст;голф|ки голф бозӣ карда истодааст|ранги равшании миёнаи пӯст|тӯбча|шахсе|шахсе, ки голф бозӣ карда истодааст
	🏌🏽;шахсе, ки голф бозӣ карда истодааст: ранги миёнаи пӯст;голф|ки голф бозӣ карда истодааст|ранги миёнаи пӯст|тӯбча|шахсе|шахсе, ки голф бозӣ карда истодааст
	🏌🏾;шахсе, ки голф бозӣ карда истодааст: ранги торики миёнаи пӯст;голф|ки голф бозӣ карда истодааст|ранги торики миёнаи пӯст|тӯбча|шахсе|шахсе, ки голф бозӣ карда истодааст
	🏌🏿;шахсе, ки голф бозӣ карда истодааст: ранги торики пӯст;голф|ки голф бозӣ карда истодааст|ранги торики пӯст|тӯбча|шахсе|шахсе, ки голф бозӣ карда истодааст
🏌️‍♂️;марде, ки голф бозӣ карда истодааст;голф|ки голф бозӣ карда истодааст|мард|марде|марде, ки голф бозӣ карда истодааст
	🏌🏻‍♂️;марде, ки голф бозӣ карда истодааст: ранги равшани пӯст;голф|ки голф бозӣ карда истодааст|мард|марде|марде, ки голф бозӣ карда истодааст|ранги равшани пӯст
	🏌🏼‍♂️;марде, ки голф бозӣ карда истодааст: ранги равшании миёнаи пӯст;голф|ки голф бозӣ карда истодааст|мард|марде|марде, ки голф бозӣ карда истодааст|ранги равшании миёнаи пӯст
	🏌🏽‍♂️;марде, ки голф бозӣ карда истодааст: ранги миёнаи пӯст;голф|ки голф бозӣ карда истодааст|мард|марде|марде, ки голф бозӣ карда истодааст|ранги миёнаи пӯст
	🏌🏾‍♂️;марде, ки голф бозӣ карда истодааст: ранги торики миёнаи пӯст;голф|ки голф бозӣ карда истодааст|мард|марде|марде, ки голф бозӣ карда истодааст|ранги торики миёнаи пӯст
	🏌🏿‍♂️;марде, ки голф бозӣ карда истодааст: ранги торики пӯст;голф|ки голф бозӣ карда истодааст|мард|марде|марде, ки голф бозӣ карда истодааст|ранги торики пӯст
🏌️‍♀️;зане, ки голф бозӣ карда истодааст;голф|зан|зане|зане, ки голф бозӣ карда истодааст|ки голф бозӣ карда истодааст
	🏌🏻‍♀️;зане, ки голф бозӣ карда истодааст: ранги равшани пӯст;голф|зан|зане|зане, ки голф бозӣ карда истодааст|ки голф бозӣ карда истодааст|ранги равшани пӯст
	🏌🏼‍♀️;зане, ки голф бозӣ карда истодааст: ранги равшании миёнаи пӯст;голф|зан|зане|зане, ки голф бозӣ карда истодааст|ки голф бозӣ карда истодааст|ранги равшании миёнаи пӯст
	🏌🏽‍♀️;зане, ки голф бозӣ карда истодааст: ранги миёнаи пӯст;голф|зан|зане|зане, ки голф бозӣ карда истодааст|ки голф бозӣ карда истодааст|ранги миёнаи пӯст
	🏌🏾‍♀️;зане, ки голф бозӣ карда истодааст: ранги торики миёнаи пӯст;голф|зан|зане|зане, ки голф бозӣ карда истодааст|ки голф бозӣ карда истодааст|ранги торики миёнаи пӯст
	🏌🏿‍♀️;зане, ки голф бозӣ карда истодааст: ранги торики пӯст;голф|зан|зане|зане, ки голф бозӣ карда истодааст|ки голф бозӣ карда истодааст|ранги торики пӯст
🏄;шахси серфинг карда истода;серфинг|шахси серфинг карда истода
	🏄🏻;шахси серфинг карда истода: ранги равшани пӯст;ранги равшани пӯст|серфинг|шахси серфинг карда истода
