# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ansikte med stort leende;ansikte|glad|kul|leende|roligt|skratt
	🧗🏻‍♀️;kvinna som klättrar: ljus hy;klättrare|kvinna klättrar|kvinna som klättrar|ljus hy
	🧗🏼‍♀️;kvinna som klättrar: mellanljus hy;klättrare|kvinna klättrar|kvinna som klättrar|mellanljus hy
	🧗🏽‍♀️;kvinna som klättrar: mellanfärgad hy;klättrare|kvinna klättrar|kvinna som klättrar|mellanfärgad hy
	🧗🏾‍♀️;kvinna som klättrar: mellanmörk hy;klättrare|kvinna klättrar|kvinna som klättrar|mellanmörk hy
	🧗🏿‍♀️;kvinna som klättrar: mörk hy;klättrare|kvinna klättrar|kvinna som klättrar|mörk hy
🤺;person som fäktas;fäktare|fäktning|person|person som fäktas|sport|svärd
🏇;hästkapplöpning;
	🏇🏻;hästkapplöpning: ljus hy;häst|hästkapplöpning|jockey|kapplöpning|ljus hy|person som galopperar med en häst
	🏇🏼;hästkapplöpning: mellanljus hy;häst|hästkapplöpning|jockey|kapplöpning|mellanljus hy|person som galopperar med en häst
	🏇🏽;hästkapplöpning: mellanfärgad hy;häst|hästkapplöpning|jockey|kapplöpning|mellanfärgad hy|person som galopperar med en häst
	🏇🏾;hästkapplöpning: mellanmörk hy;häst|hästkapplöpning|jockey|kapplöpning|mellanmörk hy|person som galopperar med en häst
	🏇🏿;hästkapplöpning: mörk hy;häst|hästkapplöpning|jockey|kapplöpning|mörk hy|person som galopperar med en häst
⛷️;skidåkare;skidåkare|skidor|snö|vinter
🏂;snowboardåkare;snowboard|snowboardåkare
	🏂🏻;snowboardåkare: ljus hy;ljus hy|snowboard|snowboardåkare
	🏂🏼;snowboardåkare: mellanljus hy;mellanljus hy|snowboard|snowboardåkare
	🏂🏽;snowboardåkare: mellanfärgad hy;mellanfärgad hy|snowboard|snowboardåkare
	🏂🏾;snowboardåkare: mellanmörk hy;mellanmörk hy|snowboard|snowboardåkare
	🏂🏿;snowboardåkare: mörk hy;mörk hy|snowboard|snowboardåkare
🏌️;person som spelar golf;
	🏌🏻;person som spelar golf: ljus hy;birdie|golf|golfspelare|ljus hy|person som spelar golf|putt|sport|tee
	🏌🏼;person som spelar golf: mellanljus hy;birdie|golf|golfspelare|mellanljus hy|person som spelar golf|putt|sport|tee
	🏌🏽;person som spelar golf: mellanfärgad hy;birdie|golf|golfspelare|mellanfärgad hy|person som spelar golf|putt|sport|tee
	🏌🏾;person som spelar golf: mellanmörk hy;birdie|golf|golfspelare|mellanmörk hy|person som spelar golf|putt|sport|tee
	🏌🏿;person som spelar golf: mörk hy;birdie|golf|golfspelare|mörk hy|person som spelar golf|putt|sport|tee
🏌️‍♂️;man som spelar golf;golf|man|man som spelar golf|man spelar golf|manlig
	🏌🏻‍♂️;man som spelar golf: ljus hy;golf|ljus hy|man|man som spelar golf|man spelar golf|manlig
	🏌🏼‍♂️;man som spelar golf: mellanljus hy;golf|man|man som spelar golf|man spelar golf|manlig|mellanljus hy
	🏌🏽‍♂️;man som spelar golf: mellanfärgad hy;golf|man|man som spelar golf|man spelar golf|manlig|mellanfärgad hy
	🏌🏾‍♂️;man som spelar golf: mellanmörk hy;golf|man|man som spelar golf|man spelar golf|manlig|mellanmörk hy
	🏌🏿‍♂️;man som spelar golf: mörk hy;golf|man|man som spelar golf|man spelar golf|manlig|mörk hy
🏌️‍♀️;kvinna som spelar golf;golf|kvinna|kvinna som spelar golf|kvinna spelar golf|kvinnlig
	🏌🏻‍♀️;kvinna som spelar golf: ljus hy;golf|kvinna|kvinna som spelar golf|kvinna spelar golf|kvinnlig|ljus hy
	🏌🏼‍♀️;kvinna som spelar golf: mellanljus hy;golf|kvinna|kvinna som spelar golf|kvinna spelar golf|kvinnlig|mellanljus hy
	🏌🏽‍♀️;kvinna som spelar golf: mellanfärgad hy;golf|kvinna|kvinna som spelar golf|kvinna spelar golf|kvinnlig|mellanfärgad hy
	🏌🏾‍♀️;kvinna som spelar golf: mellanmörk hy;golf|kvinna|kvinna som spelar golf|kvinna spelar golf|kvinnlig|mellanmörk hy
	🏌🏿‍♀️;kvinna som spelar golf: mörk hy;golf|kvinna|kvinna som spelar golf|kvinna spelar golf|kvinnlig|mörk hy
🏄;person som surfar;
	🏄🏻;person som surfar: ljus hy;hav|ljus hy|person som surfar|strand|surfare|surfing|surfning
	🏄🏼;person som surfar: mellanljus hy;hav|mellanljus hy|person som surfar|strand|surfare|surfing|surfning
	🏄🏽;person som surfar: mellanfärgad hy;hav|mellanfärgad hy|person som surfar|strand|surfare|surfing|surfning
	🏄🏾;person som surfar: mellanmörk hy;hav|mellanmörk hy|person som surfar|strand|surfare|surfing|surfning
	🏄🏿;person som surfar: mörk hy;hav|mörk hy|person som surfar|strand|surfare|surfing|surfning
🏄‍♂️;man som surfar;man|man som surfar|man surfar|manlig|surfing
	🏄🏻‍♂️;man som surfar: ljus hy;ljus hy|man|man som surfar|man surfar|manlig|surfing
	🏄🏼‍♂️;man som surfar: mellanljus hy;man|man som surfar|man surfar|manlig|mellanljus hy|surfing
	🏄🏽‍♂️;man som surfar: mellanfärgad hy;man|man som surfar|man surfar|manlig|mellanfärgad hy|surfing
	🏄🏾‍♂️;man som surfar: mellanmörk hy;man|man som surfar|man surfar|manlig|mellanmörk hy|surfing
	🏄🏿‍♂️;man som surfar: mörk hy;man|man som surfar|man surfar|manlig|mörk hy|surfing
🏄‍♀️;kvinna som surfar;kvinna som surfar|kvinna surfar|kvinnlig|surfing|woman
	🏄🏻‍♀️;kvinna som surfar: ljus hy;kvinna som surfar|kvinna surfar|kvinnlig|ljus hy|surfing|woman
	🏄🏼‍♀️;kvinna som surfar: mellanljus hy;kvinna som surfar|kvinna surfar|kvinnlig|mellanljus hy|surfing|woman
	🏄🏽‍♀️;kvinna som surfar: mellanfärgad hy;kvinna som surfar|kvinna surfar|kvinnlig|mellanfärgad hy|surfing|woman
	🏄🏾‍♀️;kvinna som surfar: mellanmörk hy;kvinna som surfar|kvinna surfar|kvinnlig|mellanmörk hy|surfing|woman
	🏄🏿‍♀️;kvinna som surfar: mörk hy;kvinna som surfar|kvinna surfar|kvinnlig|mörk hy|surfing|woman
🚣;person som ror en båt;båt|person som ror en båt|roddbåt
	🚣🏻;person som ror en båt: ljus hy;båt|ljus hy|person som ror en båt|roddbåt
	🚣🏼;person som ror en båt: mellanljus hy;båt|mellanljus hy|person som ror en båt|roddbåt
	🚣🏽;person som ror en båt: mellanfärgad hy;båt|mellanfärgad hy|person som ror en båt|roddbåt
	🚣🏾;person som ror en båt: mellanmörk hy;båt|mellanmörk hy|person som ror en båt|roddbåt
	🚣🏿;person som ror en båt: mörk hy;båt|mörk hy|person som ror en båt|roddbåt
🚣‍♂️;man som ror en båt;eka|man|man ror|man som ror en båt|manlig|roddbåt
	🚣🏻‍♂️;man som ror en båt: ljus hy;eka|ljus hy|man|man ror|man som ror en båt|manlig|roddbåt
	🚣🏼‍♂️;man som ror en båt: mellanljus hy;eka|man|man ror|man som ror en båt|manlig|mellanljus hy|roddbåt
	🚣🏽‍♂️;man som ror en båt: mellanfärgad hy;eka|man|man ror|man som ror en båt|manlig|mellanfärgad hy|roddbåt
	🚣🏾‍♂️;man som ror en båt: mellanmörk hy;eka|man|man ror|man som ror en båt|manlig|mellanmörk hy|roddbåt
	🚣🏿‍♂️;man som ror en båt: mörk hy;eka|man|man ror|man som ror en båt|manlig|mörk hy|roddbåt
🚣‍♀️;kvinna som ror en båt;eka|kvinna|kvinna ror|kvinna som ror en båt|kvinnlig|roddbåt
	🚣🏻‍♀️;kvinna som ror en båt: ljus hy;eka|kvinna|kvinna ror|kvinna som ror en båt|kvinnlig|ljus hy|roddbåt
	🚣🏼‍♀️;kvinna som ror en båt: mellanljus hy;eka|kvinna|kvinna ror|kvinna som ror en båt|kvinnlig|mellanljus hy|roddbåt
	🚣🏽‍♀️;kvinna som ror en båt: mellanfärgad hy;eka|kvinna|kvinna ror|kvinna som ror en båt|kvinnlig|mellanfärgad hy|roddbåt
	🚣🏾‍♀️;kvinna som ror en båt: mellanmörk hy;eka|kvinna|kvinna ror|kvinna som ror en båt|kvinnlig|mellanmörk hy|roddbåt
	🚣🏿‍♀️;kvinna som ror en båt: mörk hy;eka|kvinna|kvinna ror|kvinna som ror en båt|kvinnlig|mörk hy|roddbåt
🏊;person som simmar;
	🏊🏻;person som simmar: ljus hy;ljus hy|person som simmar|simma|simmare|simning
	🏊🏼;person som simmar: mellanljus hy;mellanljus hy|person som simmar|simma|simmare|simning
	🏊🏽;person som simmar: mellanfärgad hy;mellanfärgad hy|person som simmar|simma|simmare|simning
	🏊🏾;person som simmar: mellanmörk hy;mellanmörk hy|person som simmar|simma|simmare|simning
	🏊🏿;person som simmar: mörk hy;mörk hy|person som simmar|simma|simmare|simning
🏊‍♂️;man som simmar;man|man som simmar|simmare|simning
	🏊🏻‍♂️;man som simmar: ljus hy;ljus hy|man|man som simmar|simmare|simning
	🏊🏼‍♂️;man som simmar: mellanljus hy;man|man som simmar|mellanljus hy|simmare|simning
	🏊🏽‍♂️;man som simmar: mellanfärgad hy;man|man som simmar|mellanfärgad hy|simmare|simning
	🏊🏾‍♂️;man som simmar: mellanmörk hy;man|man som simmar|mellanmörk hy|simmare|simning
	🏊🏿‍♂️;man som simmar: mörk hy;man|man som simmar|mörk hy|simmare|simning
🏊‍♀️;kvinna som simmar;kvinna|kvinna som simmar|simmare|simning
	🏊🏻‍♀️;kvinna som simmar: ljus hy;kvinna|kvinna som simmar|ljus hy|simmare|simning
	🏊🏼‍♀️;kvinna som simmar: mellanljus hy;kvinna|kvinna som simmar|mellanljus hy|simmare|simning
	🏊🏽‍♀️;kvinna som simmar: mellanfärgad hy;kvinna|kvinna som simmar|mellanfärgad hy|simmare|simning
	🏊🏾‍♀️;kvinna som simmar: mellanmörk hy;kvinna|kvinna som simmar|mellanmörk hy|simmare|simning
	🏊🏿‍♀️;kvinna som simmar: mörk hy;kvinna|kvinna som simmar|mörk hy|simmare|simning
⛹️;person med boll;
	⛹🏻;person med boll: ljus hy;basket|basketspelare|boll|dribbla|ljus hy|person med boll|sport
	⛹🏼;person med boll: mellanljus hy;basket|basketspelare|boll|dribbla|mellanljus hy|person med boll|sport
	⛹🏽;person med boll: mellanfärgad hy;basket|basketspelare|boll|dribbla|mellanfärgad hy|person med boll|sport
	⛹🏾;person med boll: mellanmörk hy;basket|basketspelare|boll|dribbla|mellanmörk hy|person med boll|sport
	⛹🏿;person med boll: mörk hy;basket|basketspelare|boll|dribbla|mörk hy|person med boll|sport
⛹️‍♂️;man med boll;boll|man|man med boll|manlig
	⛹🏻‍♂️;man med boll: ljus hy;boll|ljus hy|man|man med boll|manlig
	⛹🏼‍♂️;man med boll: mellanljus hy;boll|man|man med boll|manlig|mellanljus hy
	⛹🏽‍♂️;man med boll: mellanfärgad hy;boll|man|man med boll|manlig|mellanfärgad hy
	⛹🏾‍♂️;man med boll: mellanmörk hy;boll|man|man med boll|manlig|mellanmörk hy
	⛹🏿‍♂️;man med boll: mörk hy;boll|man|man med boll|manlig|mörk hy
⛹️‍♀️;kvinna med boll;boll|kvinna|kvinna med boll|kvinnlig
	⛹🏻‍♀️;kvinna med boll: ljus hy;boll|kvinna|kvinna med boll|kvinnlig|ljus hy
	⛹🏼‍♀️;kvinna med boll: mellanljus hy;boll|kvinna|kvinna med boll|kvinnlig|mellanljus hy
	⛹🏽‍♀️;kvinna med boll: mellanfärgad hy;boll|kvinna|kvinna med boll|kvinnlig|mellanfärgad hy
	⛹🏾‍♀️;kvinna med boll: mellanmörk hy;boll|kvinna|kvinna med boll|kvinnlig|mellanmörk hy
	⛹🏿‍♀️;kvinna med boll: mörk hy;boll|kvinna|kvinna med boll|kvinnlig|mörk hy
🏋️;person som lyfter tyngder;
	🏋🏻;person som lyfter tyngder: ljus hy;kroppsbyggare|ljus hy|person som lyfter tyngder|sport|tyngdlyftare
	🏋🏼;person som lyfter tyngder: mellanljus hy;kroppsbyggare|mellanljus hy|person som lyfter tyngder|sport|tyngdlyftare
	🏋🏽;person som lyfter tyngder: mellanfärgad hy;kroppsbyggare|mellanfärgad hy|person som lyfter tyngder|sport|tyngdlyftare
	🏋🏾;person som lyfter tyngder: mellanmörk hy;kroppsbyggare|mellanmörk hy|person som lyfter tyngder|sport|tyngdlyftare
	🏋🏿;person som lyfter tyngder: mörk hy;kroppsbyggare|mörk hy|person som lyfter tyngder|sport|tyngdlyftare
🏋️‍♂️;man som lyfter tyngder;man|man lyfter tyngder|man som lyfter tyngder|manlig|tyngdlyftare
	🏋🏻‍♂️;man som lyfter tyngder: ljus hy;ljus hy|man|man lyfter tyngder|man som lyfter tyngder|manlig|tyngdlyftare
	🏋🏼‍♂️;man som lyfter tyngder: mellanljus hy;man|man lyfter tyngder|man som lyfter tyngder|manlig|mellanljus hy|tyngdlyftare
	🏋🏽‍♂️;man som lyfter tyngder: mellanfärgad hy;man|man lyfter tyngder|man som lyfter tyngder|manlig|mellanfärgad hy|tyngdlyftare
	🏋🏾‍♂️;man som lyfter tyngder: mellanmörk hy;man|man lyfter tyngder|man som lyfter tyngder|manlig|mellanmörk hy|tyngdlyftare
	🏋🏿‍♂️;man som lyfter tyngder: mörk hy;man|man lyfter tyngder|man som lyfter tyngder|manlig|mörk hy|tyngdlyftare
🏋️‍♀️;kvinna som lyfter tyngder;kvinna|kvinna lyfter tyngder|kvinna som lyfter tyngder|kvinnlig|tyngdlyftare
	🏋🏻‍♀️;kvinna som lyfter tyngder: ljus hy;kvinna|kvinna lyfter tyngder|kvinna som lyfter tyngder|kvinnlig|ljus hy|tyngdlyftare
	🏋🏼‍♀️;kvinna som lyfter tyngder: mellanljus hy;kvinna|kvinna lyfter tyngder|kvinna som lyfter tyngder|kvinnlig|mellanljus hy|tyngdlyftare
	🏋🏽‍♀️;kvinna som lyfter tyngder: mellanfärgad hy;kvinna|kvinna lyfter tyngder|kvinna som lyfter tyngder|kvinnlig|mellanfärgad hy|tyngdlyftare
	🏋🏾‍♀️;kvinna som lyfter tyngder: mellanmörk hy;kvinna|kvinna lyfter tyngder|kvinna som lyfter tyngder|kvinnlig|mellanmörk hy|tyngdlyftare
	🏋🏿‍♀️;kvinna som lyfter tyngder: mörk hy;kvinna|kvinna lyfter tyngder|kvinna som lyfter tyngder|kvinnlig|mörk hy|tyngdlyftare
🚴;person som cyklar;
	🚴🏻;person som cyklar: ljus hy;cykel|cykla|cyklist|ljus hy|person som cyklar
	🚴🏼;person som cyklar: mellanljus hy;cykel|cykla|cyklist|mellanljus hy|person som cyklar
	🚴🏽;person som cyklar: mellanfärgad hy;cykel|cykla|cyklist|mellanfärgad hy|person som cyklar
	🚴🏾;person som cyklar: mellanmörk hy;cykel|cykla|cyklist|mellanmörk hy|person som cyklar
	🚴🏿;person som cyklar: mörk hy;cykel|cykla|cyklist|mörk hy|person som cyklar
🚴‍♂️;man som cyklar;cykel|cyklist|man|man cyklar|man som cyklar|manlig
	🚴🏻‍♂️;man som cyklar: ljus hy;cykel|cyklist|ljus hy|man|man cyklar|man som cyklar|manlig
	🚴🏼‍♂️;man som cyklar: mellanljus hy;cykel|cyklist|man|man cyklar|man som cyklar|manlig|mellanljus hy
	🚴🏽‍♂️;man som cyklar: mellanfärgad hy;cykel|cyklist|man|man cyklar|man som cyklar|manlig|mellanfärgad hy
	🚴🏾‍♂️;man som cyklar: mellanmörk hy;cykel|cyklist|man|man cyklar|man som cyklar|manlig|mellanmörk hy
	🚴🏿‍♂️;man som cyklar: mörk hy;cykel|cyklist|man|man cyklar|man som cyklar|manlig|mörk hy
🚴‍♀️;kvinna som cyklar;cykel|cyklist|kvinna|kvinna cyklar|kvinna som cyklar|kvinnlig
	🚴🏻‍♀️;kvinna som cyklar: ljus hy;cykel|cyklist|kvinna|kvinna cyklar|kvinna som cyklar|kvinnlig|ljus hy
	🚴🏼‍♀️;kvinna som cyklar: mellanljus hy;cykel|cyklist|kvinna|kvinna cyklar|kvinna som cyklar|kvinnlig|mellanljus hy
	🚴🏽‍♀️;kvinna som cyklar: mellanfärgad hy;cykel|cyklist|kvinna|kvinna cyklar|kvinna som cyklar|kvinnlig|mellanfärgad hy
	🚴🏾‍♀️;kvinna som cyklar: mellanmörk hy;cykel|cyklist|kvinna|kvinna cyklar|kvinna som cyklar|kvinnlig|mellanmörk hy
	🚴🏿‍♀️;kvinna som cyklar: mörk hy;cykel|cyklist|kvinna|kvinna cyklar|kvinna som cyklar|kvinnlig|mörk hy
🚵;person som cyklar på en mountainbike;
	🚵🏻;person som cyklar på en mountainbike: ljus hy;cykel|cykla|cyklist|ljus hy|mountainbikeåkare|person som cyklar på en mountainbike
	🚵🏼;person som cyklar på en mountainbike: mellanljus hy;cykel|cykla|cyklist|mellanljus hy|mountainbikeåkare|person som cyklar på en mountainbike
	🚵🏽;person som cyklar på en mountainbike: mellanfärgad hy;cykel|cykla|cyklist|mellanfärgad hy|mountainbikeåkare|person som cyklar på en mountainbike
	🚵🏾;person som cyklar på en mountainbike: mellanmörk hy;cykel|cykla|cyklist|mellanmörk hy|mountainbikeåkare|person som cyklar på en mountainbike
	🚵🏿;person som cyklar på en mountainbike: mörk hy;cykel|cykla|cyklist|mörk hy|mountainbikeåkare|person som cyklar på en mountainbike
🚵‍♂️;man som cyklar på en mountainbike;cykel|cyklist|man|man åker mountainbike|man som cyklar på en mountainbike
	🚵🏻‍♂️;man som cyklar på en mountainbike: ljus hy;cykel|cyklist|ljus hy|man|man åker mountainbike|man som cyklar på en mountainbike
	🚵🏼‍♂️;man som cyklar på en mountainbike: mellanljus hy;cykel|cyklist|man|man åker mountainbike|man som cyklar på en mountainbike|mellanljus hy
	🚵🏽‍♂️;man som cyklar på en mountainbike: mellanfärgad hy;cykel|cyklist|man|man åker mountainbike|man som cyklar på en mountainbike|mellanfärgad hy
	🚵🏾‍♂️;man som cyklar på en mountainbike: mellanmörk hy;cykel|cyklist|man|man åker mountainbike|man som cyklar på en mountainbike|mellanmörk hy
	🚵🏿‍♂️;man som cyklar på en mountainbike: mörk hy;cykel|cyklist|man|man åker mountainbike|man som cyklar på en mountainbike|mörk hy
🚵‍♀️;kvinna som cyklar på en mountainbike;
	🚵🏻‍♀️;kvinna som cyklar på en mountainbike: ljus hy;cykel|cyklist|kvinna|kvinna åker mountainbike|kvinna som cyklar|kvinna som cyklar på en mountainbike|ljus hy
	🚵🏼‍♀️;kvinna som cyklar på en mountainbike: mellanljus hy;cykel|cyklist|kvinna|kvinna åker mountainbike|kvinna som cyklar|kvinna som cyklar på en mountainbike|mellanljus hy
	🚵🏽‍♀️;kvinna som cyklar på en mountainbike: mellanfärgad hy;cykel|cyklist|kvinna|kvinna åker mountainbike|kvinna som cyklar|kvinna som cyklar på en mountainbike|mellanfärgad hy
	🚵🏾‍♀️;kvinna som cyklar på en mountainbike: mellanmörk hy;cykel|cyklist|kvinna|kvinna åker mountainbike|kvinna som cyklar|kvinna som cyklar på en mountainbike|mellanmörk hy
	🚵🏿‍♀️;kvinna som cyklar på en mountainbike: mörk hy;cykel|cyklist|kvinna|kvinna åker mountainbike|kvinna som cyklar|kvinna som cyklar på en mountainbike|mörk hy
🤸;person som hjular;gymnastik|hjula|person|person som hjular
	🤸🏻;person som hjular: ljus hy;gymnastik|hjula|ljus hy|person|person som hjular
	🤸🏼;person som hjular: mellanljus hy;gymnastik|hjula|mellanljus hy|person|person som hjular
	🤸🏽;person som hjular: mellanfärgad hy;gymnastik|hjula|mellanfärgad hy|person|person som hjular
	🤸🏾;person som hjular: mellanmörk hy;gymnastik|hjula|mellanmörk hy|person|person som hjular
	🤸🏿;person som hjular: mörk hy;gymnastik|hjula|mörk hy|person|person som hjular
🤸‍♂️;man som hjular;
	🤸🏻‍♂️;man som hjular: ljus hy;gymnastik|kullerbytta|ljus hy|man|man som hjular|volt
	🤸🏼‍♂️;man som hjular: mellanljus hy;gymnastik|kullerbytta|man|man som hjular|mellanljus hy|volt
	🤸🏽‍♂️;man som hjular: mellanfärgad hy;gymnastik|kullerbytta|man|man som hjular|mellanfärgad hy|volt
	🤸🏾‍♂️;man som hjular: mellanmörk hy;gymnastik|kullerbytta|man|man som hjular|mellanmörk hy|volt
