# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;মুখে দেঁতো হাসি;দেঁতো হাসি|মুখ|মুখে দেঁতো হাসি|হাসি
	🧑🏾‍🐰‍🧑🏽;ঝোলা কানযুক্ত লোক: মাঝারি-কালো ত্বকের রঙ, মাঝারি ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মাঝারি ত্বকের রঙ|মাঝারি-কালো ত্বকের রঙ|মেয়ে|যমজ
	🧑🏾‍🐰‍🧑🏿;ঝোলা কানযুক্ত লোক: মাঝারি-কালো ত্বকের রঙ, কালো ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|কালো ত্বকের রঙ|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মাঝারি-কালো ত্বকের রঙ|মেয়ে|যমজ
	🧑🏿‍🐰‍🧑🏻;ঝোলা কানযুক্ত লোক: কালো ত্বকের রঙ, হালকা ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|কালো ত্বকের রঙ|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মেয়ে|যমজ|হালকা ত্বকের রঙ
	🧑🏿‍🐰‍🧑🏼;ঝোলা কানযুক্ত লোক: কালো ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|কালো ত্বকের রঙ|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মাঝারি-হালকা ত্বকের রঙ|মেয়ে|যমজ
	🧑🏿‍🐰‍🧑🏽;ঝোলা কানযুক্ত লোক: কালো ত্বকের রঙ, মাঝারি ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|কালো ত্বকের রঙ|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মাঝারি ত্বকের রঙ|মেয়ে|যমজ
	🧑🏿‍🐰‍🧑🏾;ঝোলা কানযুক্ত লোক: কালো ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|কালো ত্বকের রঙ|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মাঝারি-কালো ত্বকের রঙ|মেয়ে|যমজ
	👨🏻‍🐰‍👨🏼;ঝোলা কানযুক্ত পুরুষ: হালকা ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;ছেলে|ঝোলা কানযুক্ত পুরুষ|ডানসার|পার্টি|বানি ইয়ার|মাঝারি-হালকা ত্বকের রঙ|মানুষ|স্মাইলি|হালকা ত্বকের রঙ
	👨🏻‍🐰‍👨🏽;ঝোলা কানযুক্ত পুরুষ: হালকা ত্বকের রঙ, মাঝারি ত্বকের রঙ;ছেলে|ঝোলা কানযুক্ত পুরুষ|ডানসার|পার্টি|বানি ইয়ার|মাঝারি ত্বকের রঙ|মানুষ|স্মাইলি|হালকা ত্বকের রঙ
	👨🏻‍🐰‍👨🏾;ঝোলা কানযুক্ত পুরুষ: হালকা ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;ছেলে|ঝোলা কানযুক্ত পুরুষ|ডানসার|পার্টি|বানি ইয়ার|মাঝারি-কালো ত্বকের রঙ|মানুষ|স্মাইলি|হালকা ত্বকের রঙ
	👨🏻‍🐰‍👨🏿;ঝোলা কানযুক্ত পুরুষ: হালকা ত্বকের রঙ, কালো ত্বকের রঙ;কালো ত্বকের রঙ|ছেলে|ঝোলা কানযুক্ত পুরুষ|ডানসার|পার্টি|বানি ইয়ার|মানুষ|স্মাইলি|হালকা ত্বকের রঙ
	👨🏼‍🐰‍👨🏻;ঝোলা কানযুক্ত পুরুষ: মাঝারি-হালকা ত্বকের রঙ, হালকা ত্বকের রঙ;ছেলে|ঝোলা কানযুক্ত পুরুষ|ডানসার|পার্টি|বানি ইয়ার|মাঝারি-হালকা ত্বকের রঙ|মানুষ|স্মাইলি|হালকা ত্বকের রঙ
	👨🏼‍🐰‍👨🏽;ঝোলা কানযুক্ত পুরুষ: মাঝারি-হালকা ত্বকের রঙ, মাঝারি ত্বকের রঙ;ছেলে|ঝোলা কানযুক্ত পুরুষ|ডানসার|পার্টি|বানি ইয়ার|মাঝারি ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|মানুষ|স্মাইলি
	👨🏼‍🐰‍👨🏾;ঝোলা কানযুক্ত পুরুষ: মাঝারি-হালকা ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;ছেলে|ঝোলা কানযুক্ত পুরুষ|ডানসার|পার্টি|বানি ইয়ার|মাঝারি-কালো ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|মানুষ|স্মাইলি
	👨🏼‍🐰‍👨🏿;ঝোলা কানযুক্ত পুরুষ: মাঝারি-হালকা ত্বকের রঙ, কালো ত্বকের রঙ;কালো ত্বকের রঙ|ছেলে|ঝোলা কানযুক্ত পুরুষ|ডানসার|পার্টি|বানি ইয়ার|মাঝারি-হালকা ত্বকের রঙ|মানুষ|স্মাইলি
	👨🏽‍🐰‍👨🏻;ঝোলা কানযুক্ত পুরুষ: মাঝারি ত্বকের রঙ, হালকা ত্বকের রঙ;ছেলে|ঝোলা কানযুক্ত পুরুষ|ডানসার|পার্টি|বানি ইয়ার|মাঝারি ত্বকের রঙ|মানুষ|স্মাইলি|হালকা ত্বকের রঙ
	👨🏽‍🐰‍👨🏼;ঝোলা কানযুক্ত পুরুষ: মাঝারি ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;ছেলে|ঝোলা কানযুক্ত পুরুষ|ডানসার|পার্টি|বানি ইয়ার|মাঝারি ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|মানুষ|স্মাইলি
	👨🏽‍🐰‍👨🏾;ঝোলা কানযুক্ত পুরুষ: মাঝারি ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;ছেলে|ঝোলা কানযুক্ত পুরুষ|ডানসার|পার্টি|বানি ইয়ার|মাঝারি ত্বকের রঙ|মাঝারি-কালো ত্বকের রঙ|মানুষ|স্মাইলি
	👨🏽‍🐰‍👨🏿;ঝোলা কানযুক্ত পুরুষ: মাঝারি ত্বকের রঙ, কালো ত্বকের রঙ;কালো ত্বকের রঙ|ছেলে|ঝোলা কানযুক্ত পুরুষ|ডানসার|পার্টি|বানি ইয়ার|মাঝারি ত্বকের রঙ|মানুষ|স্মাইলি
