# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;gülən üz;gülən üz|gülmək|üz
	👨🏼‍🦼‍➡️;motorlu oturacaqda kişi: orta-açıq dəri tonu, sağa baxan;baxan|əlil arabası|kişi|motorlu|motorlu əlil arabasında əyləşmiş kişi|orta-açıq dəri tonu|oturacaqda|sağa
	👨🏽‍🦼‍➡️;motorlu oturacaqda kişi: orta dəri tonu, sağa baxan;baxan|əlil arabası|kişi|motorlu|motorlu əlil arabasında əyləşmiş kişi|orta dəri tonu|oturacaqda|sağa
	👨🏾‍🦼‍➡️;motorlu oturacaqda kişi: orta-tünd dəri tonu, sağa baxan;baxan|əlil arabası|kişi|motorlu|motorlu əlil arabasında əyləşmiş kişi|orta-tünd dəri tonu|oturacaqda|sağa
	👨🏿‍🦼‍➡️;motorlu oturacaqda kişi: tünd dəri tonu, sağa baxan;baxan|əlil arabası|kişi|motorlu|motorlu əlil arabasında əyləşmiş kişi|oturacaqda|sağa|tünd dəri tonu
👩‍🦼;motorlu oturacaqda qadın;əlil arabası|motorlu|motorlu əlil arabasında əyləşmiş qadın|oturacaqda|qadın
	👩🏻‍🦼;motorlu oturacaqda qadın: açıq dəri tonu;açıq dəri tonu|əlil arabası|motorlu|motorlu əlil arabasında əyləşmiş qadın|oturacaqda|qadın
	👩🏼‍🦼;motorlu oturacaqda qadın: orta-açıq dəri tonu;əlil arabası|motorlu|motorlu əlil arabasında əyləşmiş qadın|orta-açıq dəri tonu|oturacaqda|qadın
	👩🏽‍🦼;motorlu oturacaqda qadın: orta dəri tonu;əlil arabası|motorlu|motorlu əlil arabasında əyləşmiş qadın|orta dəri tonu|oturacaqda|qadın
	👩🏾‍🦼;motorlu oturacaqda qadın: orta-tünd dəri tonu;əlil arabası|motorlu|motorlu əlil arabasında əyləşmiş qadın|orta-tünd dəri tonu|oturacaqda|qadın
	👩🏿‍🦼;motorlu oturacaqda qadın: tünd dəri tonu;əlil arabası|motorlu|motorlu əlil arabasında əyləşmiş qadın|oturacaqda|qadın|tünd dəri tonu
👩‍🦼‍➡️;motorlu oturacaqda qadın: sağa baxan;baxan|əlil arabası|motorlu|motorlu əlil arabasında əyləşmiş qadın|oturacaqda|qadın|sağa
	👩🏻‍🦼‍➡️;motorlu oturacaqda qadın: açıq dəri tonu, sağa baxan;açıq dəri tonu|baxan|əlil arabası|motorlu|motorlu əlil arabasında əyləşmiş qadın|oturacaqda|qadın|sağa
	👩🏼‍🦼‍➡️;motorlu oturacaqda qadın: orta-açıq dəri tonu, sağa baxan;baxan|əlil arabası|motorlu|motorlu əlil arabasında əyləşmiş qadın|orta-açıq dəri tonu|oturacaqda|qadın|sağa
	👩🏽‍🦼‍➡️;motorlu oturacaqda qadın: orta dəri tonu, sağa baxan;baxan|əlil arabası|motorlu|motorlu əlil arabasında əyləşmiş qadın|orta dəri tonu|oturacaqda|qadın|sağa
	👩🏾‍🦼‍➡️;motorlu oturacaqda qadın: orta-tünd dəri tonu, sağa baxan;baxan|əlil arabası|motorlu|motorlu əlil arabasında əyləşmiş qadın|orta-tünd dəri tonu|oturacaqda|qadın|sağa
	👩🏿‍🦼‍➡️;motorlu oturacaqda qadın: tünd dəri tonu, sağa baxan;baxan|əlil arabası|motorlu|motorlu əlil arabasında əyləşmiş qadın|oturacaqda|qadın|sağa|tünd dəri tonu
🧑‍🦽;əl arabasında adam;əl arabasında adam|əlil arabası|əlil arabasında adam
	🧑🏻‍🦽;əl arabasında adam: açıq dəri tonu;açıq dəri tonu|əl arabasında adam|əlil arabası|əlil arabasında adam
	🧑🏼‍🦽;əl arabasında adam: orta-açıq dəri tonu;əl arabasında adam|əlil arabası|əlil arabasında adam|orta-açıq dəri tonu
	🧑🏽‍🦽;əl arabasında adam: orta dəri tonu;əl arabasında adam|əlil arabası|əlil arabasında adam|orta dəri tonu
	🧑🏾‍🦽;əl arabasında adam: orta-tünd dəri tonu;əl arabasında adam|əlil arabası|əlil arabasında adam|orta-tünd dəri tonu
	🧑🏿‍🦽;əl arabasında adam: tünd dəri tonu;əl arabasında adam|əlil arabası|əlil arabasında adam|tünd dəri tonu
🧑‍🦽‍➡️;əl arabasında adam: sağa baxan;baxan|əl arabasında adam|əlil arabası|əlil arabasında adam|sağa
	🧑🏻‍🦽‍➡️;əl arabasında adam: açıq dəri tonu, sağa baxan;açıq dəri tonu|baxan|əl arabasında adam|əlil arabası|əlil arabasında adam|sağa
	🧑🏼‍🦽‍➡️;əl arabasında adam: orta-açıq dəri tonu, sağa baxan;baxan|əl arabasında adam|əlil arabası|əlil arabasında adam|orta-açıq dəri tonu|sağa
	🧑🏽‍🦽‍➡️;əl arabasında adam: orta dəri tonu, sağa baxan;baxan|əl arabasında adam|əlil arabası|əlil arabasında adam|orta dəri tonu|sağa
	🧑🏾‍🦽‍➡️;əl arabasında adam: orta-tünd dəri tonu, sağa baxan;baxan|əl arabasında adam|əlil arabası|əlil arabasında adam|orta-tünd dəri tonu|sağa
	🧑🏿‍🦽‍➡️;əl arabasında adam: tünd dəri tonu, sağa baxan;baxan|əl arabasında adam|əlil arabası|əlil arabasında adam|sağa|tünd dəri tonu
👨‍🦽;manual oturacaqda kişi;əlil arabası|əlil arabasında əyləşmiş kişi|kişi|manual|oturacaqda
	👨🏻‍🦽;manual oturacaqda kişi: açıq dəri tonu;açıq dəri tonu|əlil arabası|əlil arabasında əyləşmiş kişi|kişi|manual|oturacaqda
	👨🏼‍🦽;manual oturacaqda kişi: orta-açıq dəri tonu;əlil arabası|əlil arabasında əyləşmiş kişi|kişi|manual|orta-açıq dəri tonu|oturacaqda
	👨🏽‍🦽;manual oturacaqda kişi: orta dəri tonu;əlil arabası|əlil arabasında əyləşmiş kişi|kişi|manual|orta dəri tonu|oturacaqda
	👨🏾‍🦽;manual oturacaqda kişi: orta-tünd dəri tonu;əlil arabası|əlil arabasında əyləşmiş kişi|kişi|manual|orta-tünd dəri tonu|oturacaqda
	👨🏿‍🦽;manual oturacaqda kişi: tünd dəri tonu;əlil arabası|əlil arabasında əyləşmiş kişi|kişi|manual|oturacaqda|tünd dəri tonu
👨‍🦽‍➡️;manual oturacaqda kişi: sağa baxan;baxan|əlil arabası|əlil arabasında əyləşmiş kişi|kişi|manual|oturacaqda|sağa
	👨🏻‍🦽‍➡️;manual oturacaqda kişi: açıq dəri tonu, sağa baxan;açıq dəri tonu|baxan|əlil arabası|əlil arabasında əyləşmiş kişi|kişi|manual|oturacaqda|sağa
	👨🏼‍🦽‍➡️;manual oturacaqda kişi: orta-açıq dəri tonu, sağa baxan;baxan|əlil arabası|əlil arabasında əyləşmiş kişi|kişi|manual|orta-açıq dəri tonu|oturacaqda|sağa
	👨🏽‍🦽‍➡️;manual oturacaqda kişi: orta dəri tonu, sağa baxan;baxan|əlil arabası|əlil arabasında əyləşmiş kişi|kişi|manual|orta dəri tonu|oturacaqda|sağa
	👨🏾‍🦽‍➡️;manual oturacaqda kişi: orta-tünd dəri tonu, sağa baxan;baxan|əlil arabası|əlil arabasında əyləşmiş kişi|kişi|manual|orta-tünd dəri tonu|oturacaqda|sağa
	👨🏿‍🦽‍➡️;manual oturacaqda kişi: tünd dəri tonu, sağa baxan;baxan|əlil arabası|əlil arabasında əyləşmiş kişi|kişi|manual|oturacaqda|sağa|tünd dəri tonu
👩‍🦽;manual oturacaqda qadın;əlil arabası|əlil arabasında əyləşmiş qadın|manual|oturacaqda|qadın
	👩🏻‍🦽;manual oturacaqda qadın: açıq dəri tonu;açıq dəri tonu|əlil arabası|əlil arabasında əyləşmiş qadın|manual|oturacaqda|qadın
	👩🏼‍🦽;manual oturacaqda qadın: orta-açıq dəri tonu;əlil arabası|əlil arabasında əyləşmiş qadın|manual|orta-açıq dəri tonu|oturacaqda|qadın
	👩🏽‍🦽;manual oturacaqda qadın: orta dəri tonu;əlil arabası|əlil arabasında əyləşmiş qadın|manual|orta dəri tonu|oturacaqda|qadın
	👩🏾‍🦽;manual oturacaqda qadın: orta-tünd dəri tonu;əlil arabası|əlil arabasında əyləşmiş qadın|manual|orta-tünd dəri tonu|oturacaqda|qadın
	👩🏿‍🦽;manual oturacaqda qadın: tünd dəri tonu;əlil arabası|əlil arabasında əyləşmiş qadın|manual|oturacaqda|qadın|tünd dəri tonu
👩‍🦽‍➡️;manual oturacaqda qadın: sağa baxan;baxan|əlil arabası|əlil arabasında əyləşmiş qadın|manual|oturacaqda|qadın|sağa
	👩🏻‍🦽‍➡️;manual oturacaqda qadın: açıq dəri tonu, sağa baxan;açıq dəri tonu|baxan|əlil arabası|əlil arabasında əyləşmiş qadın|manual|oturacaqda|qadın|sağa
	👩🏼‍🦽‍➡️;manual oturacaqda qadın: orta-açıq dəri tonu, sağa baxan;baxan|əlil arabası|əlil arabasında əyləşmiş qadın|manual|orta-açıq dəri tonu|oturacaqda|qadın|sağa
	👩🏽‍🦽‍➡️;manual oturacaqda qadın: orta dəri tonu, sağa baxan;baxan|əlil arabası|əlil arabasında əyləşmiş qadın|manual|orta dəri tonu|oturacaqda|qadın|sağa
	👩🏾‍🦽‍➡️;manual oturacaqda qadın: orta-tünd dəri tonu, sağa baxan;baxan|əlil arabası|əlil arabasında əyləşmiş qadın|manual|orta-tünd dəri tonu|oturacaqda|qadın|sağa
	👩🏿‍🦽‍➡️;manual oturacaqda qadın: tünd dəri tonu, sağa baxan;baxan|əlil arabası|əlil arabasında əyləşmiş qadın|manual|oturacaqda|qadın|sağa|tünd dəri tonu
🏃;atlet;arxasınca qaçma|atlet|cəld|gediş|marafon|qaçan adam|qaçış|sürət|sürətlə gələn|sürətli|tələsmək|yarış
	🏃🏻;atlet: açıq dəri tonu;açıq dəri tonu|arxasınca qaçma|atlet|cəld|gediş|marafon|qaçan adam|qaçış|sürət|sürətlə gələn|sürətli|tələsmək|yarış
	🏃🏼;atlet: orta-açıq dəri tonu;arxasınca qaçma|atlet|cəld|gediş|marafon|orta-açıq dəri tonu|qaçan adam|qaçış|sürət|sürətlə gələn|sürətli|tələsmək|yarış
	🏃🏽;atlet: orta dəri tonu;arxasınca qaçma|atlet|cəld|gediş|marafon|orta dəri tonu|qaçan adam|qaçış|sürət|sürətlə gələn|sürətli|tələsmək|yarış
	🏃🏾;atlet: orta-tünd dəri tonu;arxasınca qaçma|atlet|cəld|gediş|marafon|orta-tünd dəri tonu|qaçan adam|qaçış|sürət|sürətlə gələn|sürətli|tələsmək|yarış
	🏃🏿;atlet: tünd dəri tonu;arxasınca qaçma|atlet|cəld|gediş|marafon|qaçan adam|qaçış|sürət|sürətlə gələn|sürətli|tələsmək|tünd dəri tonu|yarış
🏃‍♂️;qaçan kişi;kişi|marafon|qaçan kişi|qaçış|yarış
	🏃🏻‍♂️;qaçan kişi: açıq dəri tonu;açıq dəri tonu|kişi|marafon|qaçan kişi|qaçış|yarış
	🏃🏼‍♂️;qaçan kişi: orta-açıq dəri tonu;kişi|marafon|orta-açıq dəri tonu|qaçan kişi|qaçış|yarış
	🏃🏽‍♂️;qaçan kişi: orta dəri tonu;kişi|marafon|orta dəri tonu|qaçan kişi|qaçış|yarış
	🏃🏾‍♂️;qaçan kişi: orta-tünd dəri tonu;kişi|marafon|orta-tünd dəri tonu|qaçan kişi|qaçış|yarış
	🏃🏿‍♂️;qaçan kişi: tünd dəri tonu;kişi|marafon|qaçan kişi|qaçış|tünd dəri tonu|yarış
🏃‍♀️;qaçan qadın;marafon|qaçan qadın|qaçış|qadın|sürətli qaçış|yarış
	🏃🏻‍♀️;qaçan qadın: açıq dəri tonu;açıq dəri tonu|marafon|qaçan qadın|qaçış|qadın|sürətli qaçış|yarış
	🏃🏼‍♀️;qaçan qadın: orta-açıq dəri tonu;marafon|orta-açıq dəri tonu|qaçan qadın|qaçış|qadın|sürətli qaçış|yarış
	🏃🏽‍♀️;qaçan qadın: orta dəri tonu;marafon|orta dəri tonu|qaçan qadın|qaçış|qadın|sürətli qaçış|yarış
	🏃🏾‍♀️;qaçan qadın: orta-tünd dəri tonu;marafon|orta-tünd dəri tonu|qaçan qadın|qaçış|qadın|sürətli qaçış|yarış
	🏃🏿‍♀️;qaçan qadın: tünd dəri tonu;marafon|qaçan qadın|qaçış|qadın|sürətli qaçış|tünd dəri tonu|yarış
🏃‍➡️;atlet: sağa baxan;arxasınca qaçma|atlet|baxan|cəld|gediş|marafon|qaçan adam|qaçış|sağa|sürət|sürətlə gələn|sürətli|tələsmək|yarış
	🏃🏻‍➡️;atlet: açıq dəri tonu, sağa baxan;açıq dəri tonu|arxasınca qaçma|atlet|baxan|cəld|gediş|marafon|qaçan adam|qaçış|sağa|sürət|sürətlə gələn|sürətli|tələsmək|yarış
	🏃🏼‍➡️;atlet: orta-açıq dəri tonu, sağa baxan;arxasınca qaçma|atlet|baxan|cəld|gediş|marafon|orta-açıq dəri tonu|qaçan adam|qaçış|sağa|sürət|sürətlə gələn|sürətli|tələsmək|yarış
	🏃🏽‍➡️;atlet: orta dəri tonu, sağa baxan;arxasınca qaçma|atlet|baxan|cəld|gediş|marafon|orta dəri tonu|qaçan adam|qaçış|sağa|sürət|sürətlə gələn|sürətli|tələsmək|yarış
	🏃🏾‍➡️;atlet: orta-tünd dəri tonu, sağa baxan;arxasınca qaçma|atlet|baxan|cəld|gediş|marafon|orta-tünd dəri tonu|qaçan adam|qaçış|sağa|sürət|sürətlə gələn|sürətli|tələsmək|yarış
	🏃🏿‍➡️;atlet: tünd dəri tonu, sağa baxan;arxasınca qaçma|atlet|baxan|cəld|gediş|marafon|qaçan adam|qaçış|sağa|sürət|sürətlə gələn|sürətli|tələsmək|tünd dəri tonu|yarış
🏃‍♀️‍➡️;qaçan qadın: sağa baxan;baxan|marafon|qaçan qadın|qaçış|qadın|sağa|sürətli qaçış|yarış
	🏃🏻‍♀️‍➡️;qaçan qadın: açıq dəri tonu, sağa baxan;açıq dəri tonu|baxan|marafon|qaçan qadın|qaçış|qadın|sağa|sürətli qaçış|yarış
	🏃🏼‍♀️‍➡️;qaçan qadın: orta-açıq dəri tonu, sağa baxan;baxan|marafon|orta-açıq dəri tonu|qaçan qadın|qaçış|qadın|sağa|sürətli qaçış|yarış
	🏃🏽‍♀️‍➡️;qaçan qadın: orta dəri tonu, sağa baxan;baxan|marafon|orta dəri tonu|qaçan qadın|qaçış|qadın|sağa|sürətli qaçış|yarış
	🏃🏾‍♀️‍➡️;qaçan qadın: orta-tünd dəri tonu, sağa baxan;baxan|marafon|orta-tünd dəri tonu|qaçan qadın|qaçış|qadın|sağa|sürətli qaçış|yarış
	🏃🏿‍♀️‍➡️;qaçan qadın: tünd dəri tonu, sağa baxan;baxan|marafon|qaçan qadın|qaçış|qadın|sağa|sürətli qaçış|tünd dəri tonu|yarış
🏃‍♂️‍➡️;qaçan kişi: sağa baxan;baxan|kişi|marafon|qaçan kişi|qaçış|sağa|yarış
	🏃🏻‍♂️‍➡️;qaçan kişi: açıq dəri tonu, sağa baxan;açıq dəri tonu|baxan|kişi|marafon|qaçan kişi|qaçış|sağa|yarış
	🏃🏼‍♂️‍➡️;qaçan kişi: orta-açıq dəri tonu, sağa baxan;baxan|kişi|marafon|orta-açıq dəri tonu|qaçan kişi|qaçış|sağa|yarış
	🏃🏽‍♂️‍➡️;qaçan kişi: orta dəri tonu, sağa baxan;baxan|kişi|marafon|orta dəri tonu|qaçan kişi|qaçış|sağa|yarış
	🏃🏾‍♂️‍➡️;qaçan kişi: orta-tünd dəri tonu, sağa baxan;baxan|kişi|marafon|orta-tünd dəri tonu|qaçan kişi|qaçış|sağa|yarış
	🏃🏿‍♂️‍➡️;qaçan kişi: tünd dəri tonu, sağa baxan;baxan|kişi|marafon|qaçan kişi|qaçış|sağa|tünd dəri tonu|yarış
🧑‍🩰;balet rəqqası;balet|rəqqas
	🧑🏻‍🩰;balet rəqqası: açıq dəri tonu;açıq dəri tonu|balet|rəqqas
	🧑🏼‍🩰;balet rəqqası: orta-açıq dəri tonu;balet|orta-açıq dəri tonu|rəqqas
	🧑🏽‍🩰;balet rəqqası: orta dəri tonu;balet|orta dəri tonu|rəqqas
	🧑🏾‍🩰;balet rəqqası: orta-tünd dəri tonu;balet|orta-tünd dəri tonu|rəqqas
	🧑🏿‍🩰;balet rəqqası: tünd dəri tonu;balet|rəqqas|tünd dəri tonu
💃;rəqs edən qadın;eleqant|festival|qadın|rəqs|rəqs edən qadın|tanqo
	💃🏻;rəqs edən qadın: açıq dəri tonu;açıq dəri tonu|eleqant|festival|qadın|rəqs|rəqs edən qadın|tanqo
	💃🏼;rəqs edən qadın: orta-açıq dəri tonu;eleqant|festival|orta-açıq dəri tonu|qadın|rəqs|rəqs edən qadın|tanqo
	💃🏽;rəqs edən qadın: orta dəri tonu;eleqant|festival|orta dəri tonu|qadın|rəqs|rəqs edən qadın|tanqo
	💃🏾;rəqs edən qadın: orta-tünd dəri tonu;eleqant|festival|orta-tünd dəri tonu|qadın|rəqs|rəqs edən qadın|tanqo
	💃🏿;rəqs edən qadın: tünd dəri tonu;eleqant|festival|qadın|rəqs|rəqs edən qadın|tanqo|tünd dəri tonu
🕺;əylənən kişilər;əylənən kişilər|əylənmək|kişi|mahnı|rəqqas|rəqs|tanqo
	🕺🏻;əylənən kişilər: açıq dəri tonu;açıq dəri tonu|əylənən kişilər|əylənmək|kişi|mahnı|rəqqas|rəqs|tanqo
	🕺🏼;əylənən kişilər: orta-açıq dəri tonu;əylənən kişilər|əylənmək|kişi|mahnı|orta-açıq dəri tonu|rəqqas|rəqs|tanqo
	🕺🏽;əylənən kişilər: orta dəri tonu;əylənən kişilər|əylənmək|kişi|mahnı|orta dəri tonu|rəqqas|rəqs|tanqo
	🕺🏾;əylənən kişilər: orta-tünd dəri tonu;əylənən kişilər|əylənmək|kişi|mahnı|orta-tünd dəri tonu|rəqqas|rəqs|tanqo
	🕺🏿;əylənən kişilər: tünd dəri tonu;əylənən kişilər|əylənmək|kişi|mahnı|rəqqas|rəqs|tanqo|tünd dəri tonu
🕴️;işgüzar kostyumlu kişi;biznes|biznesmen|işgüzar kostyumlu kişi|kişi|kostyum
	🕴🏻;işgüzar kostyumlu kişi: açıq dəri tonu;açıq dəri tonu|biznes|biznesmen|işgüzar kostyumlu kişi|kişi|kostyum
	🕴🏼;işgüzar kostyumlu kişi: orta-açıq dəri tonu;biznes|biznesmen|işgüzar kostyumlu kişi|kişi|kostyum|orta-açıq dəri tonu
	🕴🏽;işgüzar kostyumlu kişi: orta dəri tonu;biznes|biznesmen|işgüzar kostyumlu kişi|kişi|kostyum|orta dəri tonu
	🕴🏾;işgüzar kostyumlu kişi: orta-tünd dəri tonu;biznes|biznesmen|işgüzar kostyumlu kişi|kişi|kostyum|orta-tünd dəri tonu
	🕴🏿;işgüzar kostyumlu kişi: tünd dəri tonu;biznes|biznesmen|işgüzar kostyumlu kişi|kişi|kostyum|tünd dəri tonu
👯;şənlənən qadınlar;bənzər|dovşan|əkiz|əkizlər|həmişəlik ən yaxşı dost|iki nəfər|oxşar|qadın|qız|qoşa|qulaq|rəqqasə|ruk əkizi|şənlənən qadınlar|yaxın dost|ziyafət|ziyafətdə əylənmək
	👯🏻;şənlənən qadınlar: açıq dəri tonu;açıq dəri tonu|bənzər|dovşan|əkiz|əkizlər|həmişəlik ən yaxşı dost|iki nəfər|oxşar|qadın|qız|qoşa|qulaq|rəqqasə|ruk əkizi|şənlənən qadınlar|yaxın dost|ziyafət|ziyafətdə əylənmək
	👯🏼;şənlənən qadınlar: orta-açıq dəri tonu;bənzər|dovşan|əkiz|əkizlər|həmişəlik ən yaxşı dost|iki nəfər|orta-açıq dəri tonu|oxşar|qadın|qız|qoşa|qulaq|rəqqasə|ruk əkizi|şənlənən qadınlar|yaxın dost|ziyafət|ziyafətdə əylənmək
	👯🏽;şənlənən qadınlar: orta dəri tonu;bənzər|dovşan|əkiz|əkizlər|həmişəlik ən yaxşı dost|iki nəfər|orta dəri tonu|oxşar|qadın|qız|qoşa|qulaq|rəqqasə|ruk əkizi|şənlənən qadınlar|yaxın dost|ziyafət|ziyafətdə əylənmək
	👯🏾;şənlənən qadınlar: orta-tünd dəri tonu;bənzər|dovşan|əkiz|əkizlər|həmişəlik ən yaxşı dost|iki nəfər|orta-tünd dəri tonu|oxşar|qadın|qız|qoşa|qulaq|rəqqasə|ruk əkizi|şənlənən qadınlar|yaxın dost|ziyafət|ziyafətdə əylənmək
	👯🏿;şənlənən qadınlar: tünd dəri tonu;bənzər|dovşan|əkiz|əkizlər|həmişəlik ən yaxşı dost|iki nəfər|oxşar|qadın|qız|qoşa|qulaq|rəqqasə|ruk əkizi|şənlənən qadınlar|tünd dəri tonu|yaxın dost|ziyafət|ziyafətdə əylənmək
👯‍♂️;rəqs edən kişi;dovşan qulaq|kişi|parti|rəqqas|rəqs edən kişi|şənlik keçirmək
	👯🏻‍♂️;rəqs edən kişi: açıq dəri tonu;açıq dəri tonu|dovşan qulaq|kişi|parti|rəqqas|rəqs edən kişi|şənlik keçirmək
	👯🏼‍♂️;rəqs edən kişi: orta-açıq dəri tonu;dovşan qulaq|kişi|orta-açıq dəri tonu|parti|rəqqas|rəqs edən kişi|şənlik keçirmək
	👯🏽‍♂️;rəqs edən kişi: orta dəri tonu;dovşan qulaq|kişi|orta dəri tonu|parti|rəqqas|rəqs edən kişi|şənlik keçirmək
	👯🏾‍♂️;rəqs edən kişi: orta-tünd dəri tonu;dovşan qulaq|kişi|orta-tünd dəri tonu|parti|rəqqas|rəqs edən kişi|şənlik keçirmək
	👯🏿‍♂️;rəqs edən kişi: tünd dəri tonu;dovşan qulaq|kişi|parti|rəqqas|rəqs edən kişi|şənlik keçirmək|tünd dəri tonu
👯‍♀️;rəqs edən qadınlar;dovşan qulaq|parti|qadın|rəqqasə|rəqs edən qadınlar
	👯🏻‍♀️;rəqs edən qadınlar: açıq dəri tonu;açıq dəri tonu|dovşan qulaq|parti|qadın|rəqqasə|rəqs edən qadınlar
	👯🏼‍♀️;rəqs edən qadınlar: orta-açıq dəri tonu;dovşan qulaq|orta-açıq dəri tonu|parti|qadın|rəqqasə|rəqs edən qadınlar
	👯🏽‍♀️;rəqs edən qadınlar: orta dəri tonu;dovşan qulaq|orta dəri tonu|parti|qadın|rəqqasə|rəqs edən qadınlar
	👯🏾‍♀️;rəqs edən qadınlar: orta-tünd dəri tonu;dovşan qulaq|orta-tünd dəri tonu|parti|qadın|rəqqasə|rəqs edən qadınlar
	👯🏿‍♀️;rəqs edən qadınlar: tünd dəri tonu;dovşan qulaq|parti|qadın|rəqqasə|rəqs edən qadınlar|tünd dəri tonu
	🧑🏻‍🐰‍🧑🏼;şənlənən qadınlar: açıq dəri tonu, orta-açıq dəri tonu;açıq dəri tonu|bənzər|dovşan|əkiz|əkizlər|həmişəlik ən yaxşı dost|iki nəfər|orta-açıq dəri tonu|oxşar|qadın|qız|qoşa|qulaq|rəqqasə|ruk əkizi|şənlənən qadınlar|yaxın dost|ziyafət|ziyafətdə əylənmək
	🧑🏻‍🐰‍🧑🏽;şənlənən qadınlar: açıq dəri tonu, orta dəri tonu;açıq dəri tonu|bənzər|dovşan|əkiz|əkizlər|həmişəlik ən yaxşı dost|iki nəfər|orta dəri tonu|oxşar|qadın|qız|qoşa|qulaq|rəqqasə|ruk əkizi|şənlənən qadınlar|yaxın dost|ziyafət|ziyafətdə əylənmək
