# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;にっこり笑う;スマイル|にっこり|にっこり笑う|笑う|笑顔|顔
	🏋🏼;重量挙げをする人: やや薄い肌色;ウェイトリフティング|スポーツ|やや薄い肌色|重量挙げ|重量挙げをする人|重量挙げをする人: やや薄い肌色
	🏋🏽;重量挙げをする人: 中間の肌色;ウェイトリフティング|スポーツ|中間の肌色|重量挙げ|重量挙げをする人|重量挙げをする人: 中間の肌色
	🏋🏾;重量挙げをする人: やや濃い肌色;ウェイトリフティング|スポーツ|やや濃い肌色|重量挙げ|重量挙げをする人|重量挙げをする人: やや濃い肌色
	🏋🏿;重量挙げをする人: 濃い肌色;ウェイトリフティング|スポーツ|濃い肌色|重量挙げ|重量挙げをする人|重量挙げをする人: 濃い肌色
🏋️‍♂️;重量挙げをする男;ウェイトリフティング|スポーツ|男|男性|重量挙げをする男
	🏋🏻‍♂️;重量挙げをする男: 薄い肌色;ウェイトリフティング|スポーツ|男|男性|薄い肌色|重量挙げをする男|重量挙げをする男: 薄い肌色
	🏋🏼‍♂️;重量挙げをする男: やや薄い肌色;ウェイトリフティング|スポーツ|やや薄い肌色|男|男性|重量挙げをする男|重量挙げをする男: やや薄い肌色
	🏋🏽‍♂️;重量挙げをする男: 中間の肌色;ウェイトリフティング|スポーツ|中間の肌色|男|男性|重量挙げをする男|重量挙げをする男: 中間の肌色
	🏋🏾‍♂️;重量挙げをする男: やや濃い肌色;ウェイトリフティング|スポーツ|やや濃い肌色|男|男性|重量挙げをする男|重量挙げをする男: やや濃い肌色
	🏋🏿‍♂️;重量挙げをする男: 濃い肌色;ウェイトリフティング|スポーツ|濃い肌色|男|男性|重量挙げをする男|重量挙げをする男: 濃い肌色
🏋️‍♀️;重量挙げをする女;ウェイトリフティング|スポーツ|女|女性|重量挙げをする女
	🏋🏻‍♀️;重量挙げをする女: 薄い肌色;ウェイトリフティング|スポーツ|女|女性|薄い肌色|重量挙げをする女|重量挙げをする女: 薄い肌色
	🏋🏼‍♀️;重量挙げをする女: やや薄い肌色;ウェイトリフティング|スポーツ|やや薄い肌色|女|女性|重量挙げをする女|重量挙げをする女: やや薄い肌色
	🏋🏽‍♀️;重量挙げをする女: 中間の肌色;ウェイトリフティング|スポーツ|中間の肌色|女|女性|重量挙げをする女|重量挙げをする女: 中間の肌色
	🏋🏾‍♀️;重量挙げをする女: やや濃い肌色;ウェイトリフティング|スポーツ|やや濃い肌色|女|女性|重量挙げをする女|重量挙げをする女: やや濃い肌色
	🏋🏿‍♀️;重量挙げをする女: 濃い肌色;ウェイトリフティング|スポーツ|女|女性|濃い肌色|重量挙げをする女|重量挙げをする女: 濃い肌色
🚴;自転車に乗る人;サイクリング|スポーツ|ロードバイク|ロードレース|競輪|自転車に乗る人
	🚴🏻;自転車に乗る人: 薄い肌色;サイクリング|スポーツ|ロードバイク|ロードレース|競輪|自転車に乗る人|自転車に乗る人: 薄い肌色|薄い肌色
	🚴🏼;自転車に乗る人: やや薄い肌色;サイクリング|スポーツ|やや薄い肌色|ロードバイク|ロードレース|競輪|自転車に乗る人|自転車に乗る人: やや薄い肌色
	🚴🏽;自転車に乗る人: 中間の肌色;サイクリング|スポーツ|ロードバイク|ロードレース|中間の肌色|競輪|自転車に乗る人|自転車に乗る人: 中間の肌色
	🚴🏾;自転車に乗る人: やや濃い肌色;サイクリング|スポーツ|やや濃い肌色|ロードバイク|ロードレース|競輪|自転車に乗る人|自転車に乗る人: やや濃い肌色
	🚴🏿;自転車に乗る人: 濃い肌色;サイクリング|スポーツ|ロードバイク|ロードレース|濃い肌色|競輪|自転車に乗る人|自転車に乗る人: 濃い肌色
🚴‍♂️;自転車に乗る男;サイクリング|スポーツ|ロードレース|男性|競輪|自転車に乗る男
	🚴🏻‍♂️;自転車に乗る男: 薄い肌色;サイクリング|スポーツ|ロードレース|男性|競輪|自転車に乗る男|自転車に乗る男: 薄い肌色|薄い肌色
	🚴🏼‍♂️;自転車に乗る男: やや薄い肌色;サイクリング|スポーツ|やや薄い肌色|ロードレース|男性|競輪|自転車に乗る男|自転車に乗る男: やや薄い肌色
	🚴🏽‍♂️;自転車に乗る男: 中間の肌色;サイクリング|スポーツ|ロードレース|中間の肌色|男性|競輪|自転車に乗る男|自転車に乗る男: 中間の肌色
	🚴🏾‍♂️;自転車に乗る男: やや濃い肌色;サイクリング|スポーツ|やや濃い肌色|ロードレース|男性|競輪|自転車に乗る男|自転車に乗る男: やや濃い肌色
	🚴🏿‍♂️;自転車に乗る男: 濃い肌色;サイクリング|スポーツ|ロードレース|濃い肌色|男性|競輪|自転車に乗る男|自転車に乗る男: 濃い肌色
🚴‍♀️;自転車に乗る女;サイクリング|スポーツ|ロードレース|女性|競輪|自転車に乗る女
	🚴🏻‍♀️;自転車に乗る女: 薄い肌色;サイクリング|スポーツ|ロードレース|女性|競輪|自転車に乗る女|自転車に乗る女: 薄い肌色|薄い肌色
	🚴🏼‍♀️;自転車に乗る女: やや薄い肌色;サイクリング|スポーツ|やや薄い肌色|ロードレース|女性|競輪|自転車に乗る女|自転車に乗る女: やや薄い肌色
	🚴🏽‍♀️;自転車に乗る女: 中間の肌色;サイクリング|スポーツ|ロードレース|中間の肌色|女性|競輪|自転車に乗る女|自転車に乗る女: 中間の肌色
	🚴🏾‍♀️;自転車に乗る女: やや濃い肌色;サイクリング|スポーツ|やや濃い肌色|ロードレース|女性|競輪|自転車に乗る女|自転車に乗る女: やや濃い肌色
	🚴🏿‍♀️;自転車に乗る女: 濃い肌色;サイクリング|スポーツ|ロードレース|女性|濃い肌色|競輪|自転車に乗る女|自転車に乗る女: 濃い肌色
🚵;マウンテンバイクに乗る人;サイクリング|スポーツ|マウンテンバイク|マウンテンバイクに乗る人|自転車
	🚵🏻;マウンテンバイクに乗る人: 薄い肌色;サイクリング|スポーツ|マウンテンバイク|マウンテンバイクに乗る人|マウンテンバイクに乗る人: 薄い肌色|自転車|薄い肌色
	🚵🏼;マウンテンバイクに乗る人: やや薄い肌色;サイクリング|スポーツ|マウンテンバイク|マウンテンバイクに乗る人|マウンテンバイクに乗る人: やや薄い肌色|やや薄い肌色|自転車
	🚵🏽;マウンテンバイクに乗る人: 中間の肌色;サイクリング|スポーツ|マウンテンバイク|マウンテンバイクに乗る人|マウンテンバイクに乗る人: 中間の肌色|中間の肌色|自転車
	🚵🏾;マウンテンバイクに乗る人: やや濃い肌色;サイクリング|スポーツ|マウンテンバイク|マウンテンバイクに乗る人|マウンテンバイクに乗る人: やや濃い肌色|やや濃い肌色|自転車
	🚵🏿;マウンテンバイクに乗る人: 濃い肌色;サイクリング|スポーツ|マウンテンバイク|マウンテンバイクに乗る人|マウンテンバイクに乗る人: 濃い肌色|濃い肌色|自転車
🚵‍♂️;マウンテンバイクに乗る男;サイクリング|スポーツ|マウンテンバイクに乗る男|男|男性|自転車
	🚵🏻‍♂️;マウンテンバイクに乗る男: 薄い肌色;サイクリング|スポーツ|マウンテンバイクに乗る男|マウンテンバイクに乗る男: 薄い肌色|男|男性|自転車|薄い肌色
	🚵🏼‍♂️;マウンテンバイクに乗る男: やや薄い肌色;サイクリング|スポーツ|マウンテンバイクに乗る男|マウンテンバイクに乗る男: やや薄い肌色|やや薄い肌色|男|男性|自転車
	🚵🏽‍♂️;マウンテンバイクに乗る男: 中間の肌色;サイクリング|スポーツ|マウンテンバイクに乗る男|マウンテンバイクに乗る男: 中間の肌色|中間の肌色|男|男性|自転車
	🚵🏾‍♂️;マウンテンバイクに乗る男: やや濃い肌色;サイクリング|スポーツ|マウンテンバイクに乗る男|マウンテンバイクに乗る男: やや濃い肌色|やや濃い肌色|男|男性|自転車
	🚵🏿‍♂️;マウンテンバイクに乗る男: 濃い肌色;サイクリング|スポーツ|マウンテンバイクに乗る男|マウンテンバイクに乗る男: 濃い肌色|濃い肌色|男|男性|自転車
🚵‍♀️;マウンテンバイクに乗る女;サイクリング|スポーツ|マウンテンバイクに乗る女|女|女性|自転車
	🚵🏻‍♀️;マウンテンバイクに乗る女: 薄い肌色;サイクリング|スポーツ|マウンテンバイクに乗る女|マウンテンバイクに乗る女: 薄い肌色|女|女性|自転車|薄い肌色
	🚵🏼‍♀️;マウンテンバイクに乗る女: やや薄い肌色;サイクリング|スポーツ|マウンテンバイクに乗る女|マウンテンバイクに乗る女: やや薄い肌色|やや薄い肌色|女|女性|自転車
	🚵🏽‍♀️;マウンテンバイクに乗る女: 中間の肌色;サイクリング|スポーツ|マウンテンバイクに乗る女|マウンテンバイクに乗る女: 中間の肌色|中間の肌色|女|女性|自転車
	🚵🏾‍♀️;マウンテンバイクに乗る女: やや濃い肌色;サイクリング|スポーツ|マウンテンバイクに乗る女|マウンテンバイクに乗る女: やや濃い肌色|やや濃い肌色|女|女性|自転車
	🚵🏿‍♀️;マウンテンバイクに乗る女: 濃い肌色;サイクリング|スポーツ|マウンテンバイクに乗る女|マウンテンバイクに乗る女: 濃い肌色|女|女性|濃い肌色|自転車
🤸;側転する人;スポーツ|体操|側転|側転する人
	🤸🏻;側転する人: 薄い肌色;スポーツ|体操|側転|側転する人|側転する人: 薄い肌色|薄い肌色
	🤸🏼;側転する人: やや薄い肌色;スポーツ|やや薄い肌色|体操|側転|側転する人|側転する人: やや薄い肌色
	🤸🏽;側転する人: 中間の肌色;スポーツ|中間の肌色|体操|側転|側転する人|側転する人: 中間の肌色
	🤸🏾;側転する人: やや濃い肌色;スポーツ|やや濃い肌色|体操|側転|側転する人|側転する人: やや濃い肌色
	🤸🏿;側転する人: 濃い肌色;スポーツ|体操|側転|側転する人|側転する人: 濃い肌色|濃い肌色
🤸‍♂️;側転する男;スポーツ|体操|側転|側転する男|男|男性
	🤸🏻‍♂️;側転する男: 薄い肌色;スポーツ|体操|側転|側転する男|側転する男: 薄い肌色|男|男性|薄い肌色
	🤸🏼‍♂️;側転する男: やや薄い肌色;スポーツ|やや薄い肌色|体操|側転|側転する男|側転する男: やや薄い肌色|男|男性
	🤸🏽‍♂️;側転する男: 中間の肌色;スポーツ|中間の肌色|体操|側転|側転する男|側転する男: 中間の肌色|男|男性
	🤸🏾‍♂️;側転する男: やや濃い肌色;スポーツ|やや濃い肌色|体操|側転|側転する男|側転する男: やや濃い肌色|男|男性
	🤸🏿‍♂️;側転する男: 濃い肌色;スポーツ|体操|側転|側転する男|側転する男: 濃い肌色|濃い肌色|男|男性
🤸‍♀️;側転する女;スポーツ|体操|側転|側転する女|女|女性
	🤸🏻‍♀️;側転する女: 薄い肌色;スポーツ|体操|側転|側転する女|側転する女: 薄い肌色|女|女性|薄い肌色
	🤸🏼‍♀️;側転する女: やや薄い肌色;スポーツ|やや薄い肌色|体操|側転|側転する女|側転する女: やや薄い肌色|女|女性
	🤸🏽‍♀️;側転する女: 中間の肌色;スポーツ|中間の肌色|体操|側転|側転する女|側転する女: 中間の肌色|女|女性
	🤸🏾‍♀️;側転する女: やや濃い肌色;スポーツ|やや濃い肌色|体操|側転|側転する女|側転する女: やや濃い肌色|女|女性
	🤸🏿‍♀️;側転する女: 濃い肌色;スポーツ|体操|側転|側転する女|側転する女: 濃い肌色|女|女性|濃い肌色
🤼;レスリングする人;スポーツ|レスラー|レスリング|レスリングする人
🤼‍♂️;レスリングする男;スポーツ|レスリング|レスリングする男|レスリングをする男|男|男性
🤼‍♀️;レスリングする女;スポーツ|レスリング|レスリングする女|レスリングをする女|女|女性
🤽;水球をする人;スポーツ|水球|水球をする人|球技
	🤽🏻;水球をする人: 薄い肌色;スポーツ|水球|水球をする人|水球をする人: 薄い肌色|球技|薄い肌色
	🤽🏼;水球をする人: やや薄い肌色;スポーツ|やや薄い肌色|水球|水球をする人|水球をする人: やや薄い肌色|球技
	🤽🏽;水球をする人: 中間の肌色;スポーツ|中間の肌色|水球|水球をする人|水球をする人: 中間の肌色|球技
	🤽🏾;水球をする人: やや濃い肌色;スポーツ|やや濃い肌色|水球|水球をする人|水球をする人: やや濃い肌色|球技
	🤽🏿;水球をする人: 濃い肌色;スポーツ|水球|水球をする人|水球をする人: 濃い肌色|濃い肌色|球技
🤽‍♂️;水球をする男;スポーツ|水球|水球をする男|球技|男|男性
	🤽🏻‍♂️;水球をする男: 薄い肌色;スポーツ|水球|水球をする男|水球をする男: 薄い肌色|球技|男|男性|薄い肌色
	🤽🏼‍♂️;水球をする男: やや薄い肌色;スポーツ|やや薄い肌色|水球|水球をする男|水球をする男: やや薄い肌色|球技|男|男性
	🤽🏽‍♂️;水球をする男: 中間の肌色;スポーツ|中間の肌色|水球|水球をする男|水球をする男: 中間の肌色|球技|男|男性
