[smileys_emotion]
😀;gülən üz;gülən üz|gülmək|üz
	🏊🏽‍♀️;üzgüçü qadın: orta dəri tonu;orta dəri tonu|qadın|üzgüçü qadın|üzgüçü qadın: orta dəri tonu|üzmək
	🏊🏾‍♀️;üzgüçü qadın: orta-tünd dəri tonu;orta-tünd dəri tonu|qadın|üzgüçü qadın|üzgüçü qadın: orta-tünd dəri tonu|üzmək
	🏊🏿‍♀️;üzgüçü qadın: tünd dəri tonu;qadın|tünd dəri tonu|üzgüçü qadın|üzgüçü qadın: tünd dəri tonu|üzmək
⛹️;toplu adam;top|toplu adam
	⛹🏻;toplu adam: açıq dəri tonu;açıq dəri tonu|top|toplu adam|toplu adam: açıq dəri tonu
	⛹🏼;toplu adam: orta-açıq dəri tonu;orta-açıq dəri tonu|top|toplu adam|toplu adam: orta-açıq dəri tonu
	⛹🏽;toplu adam: orta dəri tonu;orta dəri tonu|top|toplu adam|toplu adam: orta dəri tonu
	⛹🏾;toplu adam: orta-tünd dəri tonu;orta-tünd dəri tonu|top|toplu adam|toplu adam: orta-tünd dəri tonu
	⛹🏿;toplu adam: tünd dəri tonu;top|toplu adam|toplu adam: tünd dəri tonu|tünd dəri tonu
⛹️‍♂️;futbolçu kişi;futbolçu kişi|kişi|top
	⛹🏻‍♂️;futbolçu kişi: açıq dəri tonu;açıq dəri tonu|futbolçu kişi|futbolçu kişi: açıq dəri tonu|kişi|top
	⛹🏼‍♂️;futbolçu kişi: orta-açıq dəri tonu;futbolçu kişi|futbolçu kişi: orta-açıq dəri tonu|kişi|orta-açıq dəri tonu|top
	⛹🏽‍♂️;futbolçu kişi: orta dəri tonu;futbolçu kişi|futbolçu kişi: orta dəri tonu|kişi|orta dəri tonu|top
	⛹🏾‍♂️;futbolçu kişi: orta-tünd dəri tonu;futbolçu kişi|futbolçu kişi: orta-tünd dəri tonu|kişi|orta-tünd dəri tonu|top
	⛹🏿‍♂️;futbolçu kişi: tünd dəri tonu;futbolçu kişi|futbolçu kişi: tünd dəri tonu|kişi|top|tünd dəri tonu
⛹️‍♀️;futbolçu qadın;futbolçu qadın|qadın|top
	⛹🏻‍♀️;futbolçu qadın: açıq dəri tonu;açıq dəri tonu|futbolçu qadın|futbolçu qadın: açıq dəri tonu|qadın|top
	⛹🏼‍♀️;futbolçu qadın: orta-açıq dəri tonu;futbolçu qadın|futbolçu qadın: orta-açıq dəri tonu|orta-açıq dəri tonu|qadın|top
	⛹🏽‍♀️;futbolçu qadın: orta dəri tonu;futbolçu qadın|futbolçu qadın: orta dəri tonu|orta dəri tonu|qadın|top
	⛹🏾‍♀️;futbolçu qadın: orta-tünd dəri tonu;futbolçu qadın|futbolçu qadın: orta-tünd dəri tonu|orta-tünd dəri tonu|qadın|top
	⛹🏿‍♀️;futbolçu qadın: tünd dəri tonu;futbolçu qadın|futbolçu qadın: tünd dəri tonu|qadın|top|tünd dəri tonu
🏋️;ştanqçı;çəki|ştanqçı
	🏋🏻;ştanqçı: açıq dəri tonu;açıq dəri tonu|çəki|ştanqçı|ştanqçı: açıq dəri tonu
	🏋🏼;ştanqçı: orta-açıq dəri tonu;çəki|orta-açıq dəri tonu|ştanqçı|ştanqçı: orta-açıq dəri tonu
	🏋🏽;ştanqçı: orta dəri tonu;çəki|orta dəri tonu|ştanqçı|ştanqçı: orta dəri tonu
	🏋🏾;ştanqçı: orta-tünd dəri tonu;çəki|orta-tünd dəri tonu|ştanqçı|ştanqçı: orta-tünd dəri tonu
	🏋🏿;ştanqçı: tünd dəri tonu;çəki|ştanqçı|ştanqçı: tünd dəri tonu|tünd dəri tonu
🏋️‍♂️;ştanqçı kişi;kişi|ştanqçı
	🏋🏻‍♂️;ştanqçı kişi: açıq dəri tonu;açıq dəri tonu|kişi|ştanqçı|ştanqçı kişi: açıq dəri tonu
	🏋🏼‍♂️;ştanqçı kişi: orta-açıq dəri tonu;kişi|orta-açıq dəri tonu|ştanqçı|ştanqçı kişi: orta-açıq dəri tonu
	🏋🏽‍♂️;ştanqçı kişi: orta dəri tonu;kişi|orta dəri tonu|ştanqçı|ştanqçı kişi: orta dəri tonu
	🏋🏾‍♂️;ştanqçı kişi: orta-tünd dəri tonu;kişi|orta-tünd dəri tonu|ştanqçı|ştanqçı kişi: orta-tünd dəri tonu
	🏋🏿‍♂️;ştanqçı kişi: tünd dəri tonu;kişi|ştanqçı|ştanqçı kişi: tünd dəri tonu|tünd dəri tonu
🏋️‍♀️;ştanqçı qadın;qadın|ştanqçı
	🏋🏻‍♀️;ştanqçı qadın: açıq dəri tonu;açıq dəri tonu|qadın|ştanqçı|ştanqçı qadın: açıq dəri tonu
	🏋🏼‍♀️;ştanqçı qadın: orta-açıq dəri tonu;orta-açıq dəri tonu|qadın|ştanqçı|ştanqçı qadın: orta-açıq dəri tonu
	🏋🏽‍♀️;ştanqçı qadın: orta dəri tonu;orta dəri tonu|qadın|ştanqçı|ştanqçı qadın: orta dəri tonu
	🏋🏾‍♀️;ştanqçı qadın: orta-tünd dəri tonu;orta-tünd dəri tonu|qadın|ştanqçı|ştanqçı qadın: orta-tünd dəri tonu
	🏋🏿‍♀️;ştanqçı qadın: tünd dəri tonu;qadın|ştanqçı|ştanqçı qadın: tünd dəri tonu|tünd dəri tonu
🚴;velosipedçi;bayk|velosiped|velosipedçi
	🚴🏻;velosipedçi: açıq dəri tonu;açıq dəri tonu|bayk|velosiped|velosipedçi|velosipedçi: açıq dəri tonu
	🚴🏼;velosipedçi: orta-açıq dəri tonu;bayk|orta-açıq dəri tonu|velosiped|velosipedçi|velosipedçi: orta-açıq dəri tonu
	🚴🏽;velosipedçi: orta dəri tonu;bayk|orta dəri tonu|velosiped|velosipedçi|velosipedçi: orta dəri tonu
	🚴🏾;velosipedçi: orta-tünd dəri tonu;bayk|orta-tünd dəri tonu|velosiped|velosipedçi|velosipedçi: orta-tünd dəri tonu
	🚴🏿;velosipedçi: tünd dəri tonu;bayk|tünd dəri tonu|velosiped|velosipedçi|velosipedçi: tünd dəri tonu
🚴‍♂️;velosipedçi kişi;kişi|velosiped|velosiped sürmək|velosipedçi
	🚴🏻‍♂️;velosipedçi kişi: açıq dəri tonu;açıq dəri tonu|kişi|velosiped|velosiped sürmək|velosipedçi|velosipedçi kişi: açıq dəri tonu
	🚴🏼‍♂️;velosipedçi kişi: orta-açıq dəri tonu;kişi|orta-açıq dəri tonu|velosiped|velosiped sürmək|velosipedçi|velosipedçi kişi: orta-açıq dəri tonu
	🚴🏽‍♂️;velosipedçi kişi: orta dəri tonu;kişi|orta dəri tonu|velosiped|velosiped sürmək|velosipedçi|velosipedçi kişi: orta dəri tonu
	🚴🏾‍♂️;velosipedçi kişi: orta-tünd dəri tonu;kişi|orta-tünd dəri tonu|velosiped|velosiped sürmək|velosipedçi|velosipedçi kişi: orta-tünd dəri tonu
	🚴🏿‍♂️;velosipedçi kişi: tünd dəri tonu;kişi|tünd dəri tonu|velosiped|velosiped sürmək|velosipedçi|velosipedçi kişi: tünd dəri tonu
🚴‍♀️;velosipedçi qadın;qadın|velosiped|velosiped sürmək|velosipedçi
	🚴🏻‍♀️;velosipedçi qadın: açıq dəri tonu;açıq dəri tonu|qadın|velosiped|velosiped sürmək|velosipedçi|velosipedçi qadın: açıq dəri tonu
	🚴🏼‍♀️;velosipedçi qadın: orta-açıq dəri tonu;orta-açıq dəri tonu|qadın|velosiped|velosiped sürmək|velosipedçi|velosipedçi qadın: orta-açıq dəri tonu
	🚴🏽‍♀️;velosipedçi qadın: orta dəri tonu;orta dəri tonu|qadın|velosiped|velosiped sürmək|velosipedçi|velosipedçi qadın: orta dəri tonu
	🚴🏾‍♀️;velosipedçi qadın: orta-tünd dəri tonu;orta-tünd dəri tonu|qadın|velosiped|velosiped sürmək|velosipedçi|velosipedçi qadın: orta-tünd dəri tonu
	🚴🏿‍♀️;velosipedçi qadın: tünd dəri tonu;qadın|tünd dəri tonu|velosiped|velosiped sürmək|velosipedçi|velosipedçi qadın: tünd dəri tonu
🚵;dağ velosipedçisi;bayk|dağ|dağ velosipedçisi|velosiped|velosipedçi
	🚵🏻;dağ velosipedçisi: açıq dəri tonu;açıq dəri tonu|bayk|dağ|dağ velosipedçisi|dağ velosipedçisi: açıq dəri tonu|velosiped|velosipedçi
	🚵🏼;dağ velosipedçisi: orta-açıq dəri tonu;bayk|dağ|dağ velosipedçisi|dağ velosipedçisi: orta-açıq dəri tonu|orta-açıq dəri tonu|velosiped|velosipedçi
	🚵🏽;dağ velosipedçisi: orta dəri tonu;bayk|dağ|dağ velosipedçisi|dağ velosipedçisi: orta dəri tonu|orta dəri tonu|velosiped|velosipedçi
	🚵🏾;dağ velosipedçisi: orta-tünd dəri tonu;bayk|dağ|dağ velosipedçisi|dağ velosipedçisi: orta-tünd dəri tonu|orta-tünd dəri tonu|velosiped|velosipedçi
	🚵🏿;dağ velosipedçisi: tünd dəri tonu;bayk|dağ|dağ velosipedçisi|dağ velosipedçisi: tünd dəri tonu|tünd dəri tonu|velosiped|velosipedçi
🚵‍♂️;dağ velosipedçisi kişi;dağ|dağ velosipedçisi kişi|kişi|velosiped|velosipedçi
	🚵🏻‍♂️;dağ velosipedçisi kişi: açıq dəri tonu;açıq dəri tonu|dağ|dağ velosipedçisi kişi|dağ velosipedçisi kişi: açıq dəri tonu|kişi|velosiped|velosipedçi
	🚵🏼‍♂️;dağ velosipedçisi kişi: orta-açıq dəri tonu;dağ|dağ velosipedçisi kişi|dağ velosipedçisi kişi: orta-açıq dəri tonu|kişi|orta-açıq dəri tonu|velosiped|velosipedçi
	🚵🏽‍♂️;dağ velosipedçisi kişi: orta dəri tonu;dağ|dağ velosipedçisi kişi|dağ velosipedçisi kişi: orta dəri tonu|kişi|orta dəri tonu|velosiped|velosipedçi
	🚵🏾‍♂️;dağ velosipedçisi kişi: orta-tünd dəri tonu;dağ|dağ velosipedçisi kişi|dağ velosipedçisi kişi: orta-tünd dəri tonu|kişi|orta-tünd dəri tonu|velosiped|velosipedçi
	🚵🏿‍♂️;dağ velosipedçisi kişi: tünd dəri tonu;dağ|dağ velosipedçisi kişi|dağ velosipedçisi kişi: tünd dəri tonu|kişi|tünd dəri tonu|velosiped|velosipedçi
🚵‍♀️;dağ velosipedçisi qadın;dağ|dağ velosipedçisi qadın|qadın|velosiped|velosiped sürmək|velosipedçi
	🚵🏻‍♀️;dağ velosipedçisi qadın: açıq dəri tonu;açıq dəri tonu|dağ|dağ velosipedçisi qadın|dağ velosipedçisi qadın: açıq dəri tonu|qadın|velosiped|velosiped sürmək|velosipedçi
	🚵🏼‍♀️;dağ velosipedçisi qadın: orta-açıq dəri tonu;dağ|dağ velosipedçisi qadın|dağ velosipedçisi qadın: orta-açıq dəri tonu|orta-açıq dəri tonu|qadın|velosiped|velosiped sürmək|velosipedçi
	🚵🏽‍♀️;dağ velosipedçisi qadın: orta dəri tonu;dağ|dağ velosipedçisi qadın|dağ velosipedçisi qadın: orta dəri tonu|orta dəri tonu|qadın|velosiped|velosiped sürmək|velosipedçi
	🚵🏾‍♀️;dağ velosipedçisi qadın: orta-tünd dəri tonu;dağ|dağ velosipedçisi qadın|dağ velosipedçisi qadın: orta-tünd dəri tonu|orta-tünd dəri tonu|qadın|velosiped|velosiped sürmək|velosipedçi
	🚵🏿‍♀️;dağ velosipedçisi qadın: tünd dəri tonu;dağ|dağ velosipedçisi qadın|dağ velosipedçisi qadın: tünd dəri tonu|qadın|tünd dəri tonu|velosiped|velosiped sürmək|velosipedçi
🤸;akrobatik hərəkət;akrobatik hərəkət|akrobatika|hərəkət|idman
	🤸🏻;akrobatik hərəkət: açıq dəri tonu;açıq dəri tonu|akrobatik hərəkət|akrobatik hərəkət: açıq dəri tonu|akrobatika|hərəkət|idman
	🤸🏼;akrobatik hərəkət: orta-açıq dəri tonu;akrobatik hərəkət|akrobatik hərəkət: orta-açıq dəri tonu|akrobatika|hərəkət|idman|orta-açıq dəri tonu
	🤸🏽;akrobatik hərəkət: orta dəri tonu;akrobatik hərəkət|akrobatik hərəkət: orta dəri tonu|akrobatika|hərəkət|idman|orta dəri tonu
	🤸🏾;akrobatik hərəkət: orta-tünd dəri tonu;akrobatik hərəkət|akrobatik hərəkət: orta-tünd dəri tonu|akrobatika|hərəkət|idman|orta-tünd dəri tonu
	🤸🏿;akrobatik hərəkət: tünd dəri tonu;akrobatik hərəkət|akrobatik hərəkət: tünd dəri tonu|akrobatika|hərəkət|idman|tünd dəri tonu
🤸‍♂️;akrobat kişi;akrobat|gimnast|idman|kişi|şəxs
	🤸🏻‍♂️;akrobat kişi: açıq dəri tonu;açıq dəri tonu|akrobat|akrobat kişi: açıq dəri tonu|gimnast|idman|kişi|şəxs
	🤸🏼‍♂️;akrobat kişi: orta-açıq dəri tonu;akrobat|akrobat kişi: orta-açıq dəri tonu|gimnast|idman|kişi|orta-açıq dəri tonu|şəxs
	🤸🏽‍♂️;akrobat kişi: orta dəri tonu;akrobat|akrobat kişi: orta dəri tonu|gimnast|idman|kişi|orta dəri tonu|şəxs
	🤸🏾‍♂️;akrobat kişi: orta-tünd dəri tonu;akrobat|akrobat kişi: orta-tünd dəri tonu|gimnast|idman|kişi|orta-tünd dəri tonu|şəxs
	🤸🏿‍♂️;akrobat kişi: tünd dəri tonu;akrobat|akrobat kişi: tünd dəri tonu|gimnast|idman|kişi|şəxs|tünd dəri tonu
🤸‍♀️;aktobat qadın;akrobat|aktobat qadın|gimnast|idman|qadın|şəxs
	🤸🏻‍♀️;aktobat qadın: açıq dəri tonu;açıq dəri tonu|akrobat|aktobat qadın|aktobat qadın: açıq dəri tonu|gimnast|idman|qadın|şəxs
	🤸🏼‍♀️;aktobat qadın: orta-açıq dəri tonu;akrobat|aktobat qadın|aktobat qadın: orta-açıq dəri tonu|gimnast|idman|orta-açıq dəri tonu|qadın|şəxs
	🤸🏽‍♀️;aktobat qadın: orta dəri tonu;akrobat|aktobat qadın|aktobat qadın: orta dəri tonu|gimnast|idman|orta dəri tonu|qadın|şəxs
	🤸🏾‍♀️;aktobat qadın: orta-tünd dəri tonu;akrobat|aktobat qadın|aktobat qadın: orta-tünd dəri tonu|gimnast|idman|orta-tünd dəri tonu|qadın|şəxs
	🤸🏿‍♀️;aktobat qadın: tünd dəri tonu;akrobat|aktobat qadın|aktobat qadın: tünd dəri tonu|gimnast|idman|qadın|şəxs|tünd dəri tonu
🤼;güləş;döyüş|güləş|idman
🤼‍♂️;güləşçi kişi;güləş|güləşçi kişi|idman|kişi|şəxs
🤼‍♀️;güləşçi qadın;güləş|güləşçi qadın|idman|qadın|şəxs
🤽;su polosu;idman|polo|su|su polosu|top|yarışma
	🤽🏻;su polosu: açıq dəri tonu;açıq dəri tonu|idman|polo|su|su polosu|su polosu: açıq dəri tonu|top|yarışma
	🤽🏼;su polosu: orta-açıq dəri tonu;idman|orta-açıq dəri tonu|polo|su|su polosu|su polosu: orta-açıq dəri tonu|top|yarışma
	🤽🏽;su polosu: orta dəri tonu;idman|orta dəri tonu|polo|su|su polosu|su polosu: orta dəri tonu|top|yarışma
	🤽🏾;su polosu: orta-tünd dəri tonu;idman|orta-tünd dəri tonu|polo|su|su polosu|su polosu: orta-tünd dəri tonu|top|yarışma
	🤽🏿;su polosu: tünd dəri tonu;idman|polo|su|su polosu|su polosu: tünd dəri tonu|top|tünd dəri tonu|yarışma
🤽‍♂️;su poloçusu kişi;idman|kişi|su poloçusu kişi|su polosu
	🤽🏻‍♂️;su poloçusu kişi: açıq dəri tonu;açıq dəri tonu|idman|kişi|su poloçusu kişi|su poloçusu kişi: açıq dəri tonu|su polosu
	🤽🏼‍♂️;su poloçusu kişi: orta-açıq dəri tonu;idman|kişi|orta-açıq dəri tonu|su poloçusu kişi|su poloçusu kişi: orta-açıq dəri tonu|su polosu
	🤽🏽‍♂️;su poloçusu kişi: orta dəri tonu;idman|kişi|orta dəri tonu|su poloçusu kişi|su poloçusu kişi: orta dəri tonu|su polosu
	🤽🏾‍♂️;su poloçusu kişi: orta-tünd dəri tonu;idman|kişi|orta-tünd dəri tonu|su poloçusu kişi|su poloçusu kişi: orta-tünd dəri tonu|su polosu
	🤽🏿‍♂️;su poloçusu kişi: tünd dəri tonu;idman|kişi|su poloçusu kişi|su poloçusu kişi: tünd dəri tonu|su polosu|tünd dəri tonu
🤽‍♀️;su poloçusu qadın;idman|qadın|su poloçusu qadın|su polosu
	🤽🏻‍♀️;su poloçusu qadın: açıq dəri tonu;açıq dəri tonu|idman|qadın|su poloçusu qadın|su poloçusu qadın: açıq dəri tonu|su polosu
	🤽🏼‍♀️;su poloçusu qadın: orta-açıq dəri tonu;idman|orta-açıq dəri tonu|qadın|su poloçusu qadın|su poloçusu qadın: orta-açıq dəri tonu|su polosu
	🤽🏽‍♀️;su poloçusu qadın: orta dəri tonu;idman|orta dəri tonu|qadın|su poloçusu qadın|su poloçusu qadın: orta dəri tonu|su polosu
	🤽🏾‍♀️;su poloçusu qadın: orta-tünd dəri tonu;idman|orta-tünd dəri tonu|qadın|su poloçusu qadın|su poloçusu qadın: orta-tünd dəri tonu|su polosu
	🤽🏿‍♀️;su poloçusu qadın: tünd dəri tonu;idman|qadın|su poloçusu qadın|su poloçusu qadın: tünd dəri tonu|su polosu|tünd dəri tonu
🤾;həndbol;həndbol|idman|yarışma
	🤾🏻;həndbol: açıq dəri tonu;açıq dəri tonu|həndbol|həndbol: açıq dəri tonu|idman|yarışma
	🤾🏼;həndbol: orta-açıq dəri tonu;həndbol|həndbol: orta-açıq dəri tonu|idman|orta-açıq dəri tonu|yarışma
	🤾🏽;həndbol: orta dəri tonu;həndbol|həndbol: orta dəri tonu|idman|orta dəri tonu|yarışma
	🤾🏾;həndbol: orta-tünd dəri tonu;həndbol|həndbol: orta-tünd dəri tonu|idman|orta-tünd dəri tonu|yarışma
	🤾🏿;həndbol: tünd dəri tonu;həndbol|həndbol: tünd dəri tonu|idman|tünd dəri tonu|yarışma
🤾‍♂️;həndbolçu kişi;hendbol|həndbolçu kişi|idman|kişi
	🤾🏻‍♂️;həndbolçu kişi: açıq dəri tonu;açıq dəri tonu|hendbol|həndbolçu kişi|həndbolçu kişi: açıq dəri tonu|idman|kişi
	🤾🏼‍♂️;həndbolçu kişi: orta-açıq dəri tonu;hendbol|həndbolçu kişi|həndbolçu kişi: orta-açıq dəri tonu|idman|kişi|orta-açıq dəri tonu
	🤾🏽‍♂️;həndbolçu kişi: orta dəri tonu;hendbol|həndbolçu kişi|həndbolçu kişi: orta dəri tonu|idman|kişi|orta dəri tonu
	🤾🏾‍♂️;həndbolçu kişi: orta-tünd dəri tonu;hendbol|həndbolçu kişi|həndbolçu kişi: orta-tünd dəri tonu|idman|kişi|orta-tünd dəri tonu
	🤾🏿‍♂️;həndbolçu kişi: tünd dəri tonu;hendbol|həndbolçu kişi|həndbolçu kişi: tünd dəri tonu|idman|kişi|tünd dəri tonu
🤾‍♀️;həndbolçu qadın;hendbol|həndbolçu qadın|idman|qadın
	🤾🏻‍♀️;həndbolçu qadın: açıq dəri tonu;açıq dəri tonu|hendbol|həndbolçu qadın|həndbolçu qadın: açıq dəri tonu|idman|qadın
	🤾🏼‍♀️;həndbolçu qadın: orta-açıq dəri tonu;hendbol|həndbolçu qadın|həndbolçu qadın: orta-açıq dəri tonu|idman|orta-açıq dəri tonu|qadın
	🤾🏽‍♀️;həndbolçu qadın: orta dəri tonu;hendbol|həndbolçu qadın|həndbolçu qadın: orta dəri tonu|idman|orta dəri tonu|qadın
	🤾🏾‍♀️;həndbolçu qadın: orta-tünd dəri tonu;hendbol|həndbolçu qadın|həndbolçu qadın: orta-tünd dəri tonu|idman|orta-tünd dəri tonu|qadın
	🤾🏿‍♀️;həndbolçu qadın: tünd dəri tonu;hendbol|həndbolçu qadın|həndbolçu qadın: tünd dəri tonu|idman|qadın|tünd dəri tonu
🤹;janqlyor;hoqqabaz|janqlyor
	🤹🏻;janqlyor: açıq dəri tonu;açıq dəri tonu|hoqqabaz|janqlyor|janqlyor: açıq dəri tonu
	🤹🏼;janqlyor: orta-açıq dəri tonu;hoqqabaz|janqlyor|janqlyor: orta-açıq dəri tonu|orta-açıq dəri tonu
	🤹🏽;janqlyor: orta dəri tonu;hoqqabaz|janqlyor|janqlyor: orta dəri tonu|orta dəri tonu
	🤹🏾;janqlyor: orta-tünd dəri tonu;hoqqabaz|janqlyor|janqlyor: orta-tünd dəri tonu|orta-tünd dəri tonu
	🤹🏿;janqlyor: tünd dəri tonu;hoqqabaz|janqlyor|janqlyor: tünd dəri tonu|tünd dəri tonu
🤹‍♂️;jonqlyor kişi;çox-tapşırıqlı|jonqlyor|kişi
	🤹🏻‍♂️;jonqlyor kişi: açıq dəri tonu;açıq dəri tonu|çox-tapşırıqlı|jonqlyor|jonqlyor kişi: açıq dəri tonu|kişi
	🤹🏼‍♂️;jonqlyor kişi: orta-açıq dəri tonu;çox-tapşırıqlı|jonqlyor|jonqlyor kişi: orta-açıq dəri tonu|kişi|orta-açıq dəri tonu
	🤹🏽‍♂️;jonqlyor kişi: orta dəri tonu;çox-tapşırıqlı|jonqlyor|jonqlyor kişi: orta dəri tonu|kişi|orta dəri tonu
	🤹🏾‍♂️;jonqlyor kişi: orta-tünd dəri tonu;çox-tapşırıqlı|jonqlyor|jonqlyor kişi: orta-tünd dəri tonu|kişi|orta-tünd dəri tonu
	🤹🏿‍♂️;jonqlyor kişi: tünd dəri tonu;çox-tapşırıqlı|jonqlyor|jonqlyor kişi: tünd dəri tonu|kişi|tünd dəri tonu
🤹‍♀️;jonqlyor qadın;çox-tapşırıqlı|jonqlyor|qadın
	🤹🏻‍♀️;jonqlyor qadın: açıq dəri tonu;açıq dəri tonu|çox-tapşırıqlı|jonqlyor|jonqlyor qadın: açıq dəri tonu|qadın
	🤹🏼‍♀️;jonqlyor qadın: orta-açıq dəri tonu;çox-tapşırıqlı|jonqlyor|jonqlyor qadın: orta-açıq dəri tonu|orta-açıq dəri tonu|qadın
	🤹🏽‍♀️;jonqlyor qadın: orta dəri tonu;çox-tapşırıqlı|jonqlyor|jonqlyor qadın: orta dəri tonu|orta dəri tonu|qadın
	🤹🏾‍♀️;jonqlyor qadın: orta-tünd dəri tonu;çox-tapşırıqlı|jonqlyor|jonqlyor qadın: orta-tünd dəri tonu|orta-tünd dəri tonu|qadın
	🤹🏿‍♀️;jonqlyor qadın: tünd dəri tonu;çox-tapşırıqlı|jonqlyor|jonqlyor qadın: tünd dəri tonu|qadın|tünd dəri tonu
🧘;lotus pozisiyasında adam;lotus pozisiyasında adam|meditasiya|yoqa
	🧘🏻;lotus pozisiyasında adam: açıq dəri tonu;açıq dəri tonu|lotus pozisiyasında adam|lotus pozisiyasında adam: açıq dəri tonu|meditasiya|yoqa
	🧘🏼;lotus pozisiyasında adam: orta-açıq dəri tonu;lotus pozisiyasında adam|lotus pozisiyasında adam: orta-açıq dəri tonu|meditasiya|orta-açıq dəri tonu|yoqa
	🧘🏽;lotus pozisiyasında adam: orta dəri tonu;lotus pozisiyasında adam|lotus pozisiyasında adam: orta dəri tonu|meditasiya|orta dəri tonu|yoqa
	🧘🏾;lotus pozisiyasında adam: orta-tünd dəri tonu;lotus pozisiyasında adam|lotus pozisiyasında adam: orta-tünd dəri tonu|meditasiya|orta-tünd dəri tonu|yoqa
	🧘🏿;lotus pozisiyasında adam: tünd dəri tonu;lotus pozisiyasında adam|lotus pozisiyasında adam: tünd dəri tonu|meditasiya|tünd dəri tonu|yoqa
🧘‍♂️;lotus pozisiyasında kişi;lotus pozisiyasında kişi|meditasiya|yoqa
	🧘🏻‍♂️;lotus pozisiyasında kişi: açıq dəri tonu;açıq dəri tonu|lotus pozisiyasında kişi|lotus pozisiyasında kişi: açıq dəri tonu|meditasiya|yoqa
	🧘🏼‍♂️;lotus pozisiyasında kişi: orta-açıq dəri tonu;lotus pozisiyasında kişi|lotus pozisiyasında kişi: orta-açıq dəri tonu|meditasiya|orta-açıq dəri tonu|yoqa
