# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;cara moi riseira;cara|cara moi riseira|sorriso
	🧑🏽‍🤝‍🧑🏾;persoas dándose a man: ton de pel medio, ton de pel escuro;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel medio, ton de pel escuro|ton de pel escuro|ton de pel medio
	🧑🏽‍🤝‍🧑🏿;persoas dándose a man: ton de pel medio, ton de pel moi escuro;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel medio, ton de pel moi escuro|ton de pel medio|ton de pel moi escuro
	🧑🏾‍🤝‍🧑🏻;persoas dándose a man: ton de pel escuro, ton de pel moi claro;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel escuro, ton de pel moi claro|ton de pel escuro|ton de pel moi claro
	🧑🏾‍🤝‍🧑🏼;persoas dándose a man: ton de pel escuro, ton de pel claro;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel escuro, ton de pel claro|ton de pel claro|ton de pel escuro
	🧑🏾‍🤝‍🧑🏽;persoas dándose a man: ton de pel escuro, ton de pel medio;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel escuro, ton de pel medio|ton de pel escuro|ton de pel medio
	🧑🏾‍🤝‍🧑🏾;persoas dándose a man: ton de pel escuro;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel escuro|ton de pel escuro
	🧑🏾‍🤝‍🧑🏿;persoas dándose a man: ton de pel escuro, ton de pel moi escuro;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel escuro, ton de pel moi escuro|ton de pel escuro|ton de pel moi escuro
	🧑🏿‍🤝‍🧑🏻;persoas dándose a man: ton de pel moi escuro, ton de pel moi claro;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel moi escuro, ton de pel moi claro|ton de pel moi claro|ton de pel moi escuro
	🧑🏿‍🤝‍🧑🏼;persoas dándose a man: ton de pel moi escuro, ton de pel claro;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel moi escuro, ton de pel claro|ton de pel claro|ton de pel moi escuro
	🧑🏿‍🤝‍🧑🏽;persoas dándose a man: ton de pel moi escuro, ton de pel medio;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel moi escuro, ton de pel medio|ton de pel medio|ton de pel moi escuro
	🧑🏿‍🤝‍🧑🏾;persoas dándose a man: ton de pel moi escuro, ton de pel escuro;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel moi escuro, ton de pel escuro|ton de pel escuro|ton de pel moi escuro
	🧑🏿‍🤝‍🧑🏿;persoas dándose a man: ton de pel moi escuro;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel moi escuro|ton de pel moi escuro
👭;dúas mulleres collidas da man;dúas mulleres collidas da man|man|mulleres|parella
	👭🏻;dúas mulleres collidas da man: ton de pel moi claro;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel moi claro|man|mulleres|parella|ton de pel moi claro
	👩🏻‍🤝‍👩🏼;dúas mulleres collidas da man: ton de pel moi claro, ton de pel claro;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel moi claro, ton de pel claro|man|mulleres|parella|ton de pel claro|ton de pel moi claro
	👩🏻‍🤝‍👩🏽;dúas mulleres collidas da man: ton de pel moi claro, ton de pel medio;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel moi claro, ton de pel medio|man|mulleres|parella|ton de pel medio|ton de pel moi claro
	👩🏻‍🤝‍👩🏾;dúas mulleres collidas da man: ton de pel moi claro, ton de pel escuro;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel moi claro, ton de pel escuro|man|mulleres|parella|ton de pel escuro|ton de pel moi claro
	👩🏻‍🤝‍👩🏿;dúas mulleres collidas da man: ton de pel moi claro, ton de pel moi escuro;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel moi claro, ton de pel moi escuro|man|mulleres|parella|ton de pel moi claro|ton de pel moi escuro
	👩🏼‍🤝‍👩🏻;dúas mulleres collidas da man: ton de pel claro, ton de pel moi claro;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel claro, ton de pel moi claro|man|mulleres|parella|ton de pel claro|ton de pel moi claro
	👭🏼;dúas mulleres collidas da man: ton de pel claro;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel claro|man|mulleres|parella|ton de pel claro
	👩🏼‍🤝‍👩🏽;dúas mulleres collidas da man: ton de pel claro, ton de pel medio;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel claro, ton de pel medio|man|mulleres|parella|ton de pel claro|ton de pel medio
	👩🏼‍🤝‍👩🏾;dúas mulleres collidas da man: ton de pel claro, ton de pel escuro;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel claro, ton de pel escuro|man|mulleres|parella|ton de pel claro|ton de pel escuro
	👩🏼‍🤝‍👩🏿;dúas mulleres collidas da man: ton de pel claro, ton de pel moi escuro;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel claro, ton de pel moi escuro|man|mulleres|parella|ton de pel claro|ton de pel moi escuro
	👩🏽‍🤝‍👩🏻;dúas mulleres collidas da man: ton de pel medio, ton de pel moi claro;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel medio, ton de pel moi claro|man|mulleres|parella|ton de pel medio|ton de pel moi claro
	👩🏽‍🤝‍👩🏼;dúas mulleres collidas da man: ton de pel medio, ton de pel claro;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel medio, ton de pel claro|man|mulleres|parella|ton de pel claro|ton de pel medio
	👭🏽;dúas mulleres collidas da man: ton de pel medio;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel medio|man|mulleres|parella|ton de pel medio
	👩🏽‍🤝‍👩🏾;dúas mulleres collidas da man: ton de pel medio, ton de pel escuro;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel medio, ton de pel escuro|man|mulleres|parella|ton de pel escuro|ton de pel medio
	👩🏽‍🤝‍👩🏿;dúas mulleres collidas da man: ton de pel medio, ton de pel moi escuro;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel medio, ton de pel moi escuro|man|mulleres|parella|ton de pel medio|ton de pel moi escuro
	👩🏾‍🤝‍👩🏻;dúas mulleres collidas da man: ton de pel escuro, ton de pel moi claro;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel escuro, ton de pel moi claro|man|mulleres|parella|ton de pel escuro|ton de pel moi claro
	👩🏾‍🤝‍👩🏼;dúas mulleres collidas da man: ton de pel escuro, ton de pel claro;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel escuro, ton de pel claro|man|mulleres|parella|ton de pel claro|ton de pel escuro
	👩🏾‍🤝‍👩🏽;dúas mulleres collidas da man: ton de pel escuro, ton de pel medio;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel escuro, ton de pel medio|man|mulleres|parella|ton de pel escuro|ton de pel medio
	👭🏾;dúas mulleres collidas da man: ton de pel escuro;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel escuro|man|mulleres|parella|ton de pel escuro
	👩🏾‍🤝‍👩🏿;dúas mulleres collidas da man: ton de pel escuro, ton de pel moi escuro;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel escuro, ton de pel moi escuro|man|mulleres|parella|ton de pel escuro|ton de pel moi escuro
	👩🏿‍🤝‍👩🏻;dúas mulleres collidas da man: ton de pel moi escuro, ton de pel moi claro;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel moi escuro, ton de pel moi claro|man|mulleres|parella|ton de pel moi claro|ton de pel moi escuro
	👩🏿‍🤝‍👩🏼;dúas mulleres collidas da man: ton de pel moi escuro, ton de pel claro;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel moi escuro, ton de pel claro|man|mulleres|parella|ton de pel claro|ton de pel moi escuro
	👩🏿‍🤝‍👩🏽;dúas mulleres collidas da man: ton de pel moi escuro, ton de pel medio;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel moi escuro, ton de pel medio|man|mulleres|parella|ton de pel medio|ton de pel moi escuro
	👩🏿‍🤝‍👩🏾;dúas mulleres collidas da man: ton de pel moi escuro, ton de pel escuro;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel moi escuro, ton de pel escuro|man|mulleres|parella|ton de pel escuro|ton de pel moi escuro
	👭🏿;dúas mulleres collidas da man: ton de pel moi escuro;dúas mulleres collidas da man|dúas mulleres collidas da man: ton de pel moi escuro|man|mulleres|parella|ton de pel moi escuro
👫;home e muller collidos da man;home|home e muller collidos da man|man|muller|parella
	👫🏻;home e muller collidos da man: ton de pel moi claro;home|home e muller collidos da man|home e muller collidos da man: ton de pel moi claro|man|muller|parella|ton de pel moi claro
	👩🏻‍🤝‍👨🏼;home e muller collidos da man: ton de pel moi claro, ton de pel claro;home|home e muller collidos da man|home e muller collidos da man: ton de pel moi claro, ton de pel claro|man|muller|parella|ton de pel claro|ton de pel moi claro
	👩🏻‍🤝‍👨🏽;home e muller collidos da man: ton de pel moi claro, ton de pel medio;home|home e muller collidos da man|home e muller collidos da man: ton de pel moi claro, ton de pel medio|man|muller|parella|ton de pel medio|ton de pel moi claro
	👩🏻‍🤝‍👨🏾;home e muller collidos da man: ton de pel moi claro, ton de pel escuro;home|home e muller collidos da man|home e muller collidos da man: ton de pel moi claro, ton de pel escuro|man|muller|parella|ton de pel escuro|ton de pel moi claro
	👩🏻‍🤝‍👨🏿;home e muller collidos da man: ton de pel moi claro, ton de pel moi escuro;home|home e muller collidos da man|home e muller collidos da man: ton de pel moi claro, ton de pel moi escuro|man|muller|parella|ton de pel moi claro|ton de pel moi escuro
	👩🏼‍🤝‍👨🏻;home e muller collidos da man: ton de pel claro, ton de pel moi claro;home|home e muller collidos da man|home e muller collidos da man: ton de pel claro, ton de pel moi claro|man|muller|parella|ton de pel claro|ton de pel moi claro
	👫🏼;home e muller collidos da man: ton de pel claro;home|home e muller collidos da man|home e muller collidos da man: ton de pel claro|man|muller|parella|ton de pel claro
	👩🏼‍🤝‍👨🏽;home e muller collidos da man: ton de pel claro, ton de pel medio;home|home e muller collidos da man|home e muller collidos da man: ton de pel claro, ton de pel medio|man|muller|parella|ton de pel claro|ton de pel medio
	👩🏼‍🤝‍👨🏾;home e muller collidos da man: ton de pel claro, ton de pel escuro;home|home e muller collidos da man|home e muller collidos da man: ton de pel claro, ton de pel escuro|man|muller|parella|ton de pel claro|ton de pel escuro
	👩🏼‍🤝‍👨🏿;home e muller collidos da man: ton de pel claro, ton de pel moi escuro;home|home e muller collidos da man|home e muller collidos da man: ton de pel claro, ton de pel moi escuro|man|muller|parella|ton de pel claro|ton de pel moi escuro
	👩🏽‍🤝‍👨🏻;home e muller collidos da man: ton de pel medio, ton de pel moi claro;home|home e muller collidos da man|home e muller collidos da man: ton de pel medio, ton de pel moi claro|man|muller|parella|ton de pel medio|ton de pel moi claro
	👩🏽‍🤝‍👨🏼;home e muller collidos da man: ton de pel medio, ton de pel claro;home|home e muller collidos da man|home e muller collidos da man: ton de pel medio, ton de pel claro|man|muller|parella|ton de pel claro|ton de pel medio
	👫🏽;home e muller collidos da man: ton de pel medio;home|home e muller collidos da man|home e muller collidos da man: ton de pel medio|man|muller|parella|ton de pel medio
	👩🏽‍🤝‍👨🏾;home e muller collidos da man: ton de pel medio, ton de pel escuro;home|home e muller collidos da man|home e muller collidos da man: ton de pel medio, ton de pel escuro|man|muller|parella|ton de pel escuro|ton de pel medio
	👩🏽‍🤝‍👨🏿;home e muller collidos da man: ton de pel medio, ton de pel moi escuro;home|home e muller collidos da man|home e muller collidos da man: ton de pel medio, ton de pel moi escuro|man|muller|parella|ton de pel medio|ton de pel moi escuro
	👩🏾‍🤝‍👨🏻;home e muller collidos da man: ton de pel escuro, ton de pel moi claro;home|home e muller collidos da man|home e muller collidos da man: ton de pel escuro, ton de pel moi claro|man|muller|parella|ton de pel escuro|ton de pel moi claro
	👩🏾‍🤝‍👨🏼;home e muller collidos da man: ton de pel escuro, ton de pel claro;home|home e muller collidos da man|home e muller collidos da man: ton de pel escuro, ton de pel claro|man|muller|parella|ton de pel claro|ton de pel escuro
	👩🏾‍🤝‍👨🏽;home e muller collidos da man: ton de pel escuro, ton de pel medio;home|home e muller collidos da man|home e muller collidos da man: ton de pel escuro, ton de pel medio|man|muller|parella|ton de pel escuro|ton de pel medio
	👫🏾;home e muller collidos da man: ton de pel escuro;home|home e muller collidos da man|home e muller collidos da man: ton de pel escuro|man|muller|parella|ton de pel escuro
	👩🏾‍🤝‍👨🏿;home e muller collidos da man: ton de pel escuro, ton de pel moi escuro;home|home e muller collidos da man|home e muller collidos da man: ton de pel escuro, ton de pel moi escuro|man|muller|parella|ton de pel escuro|ton de pel moi escuro
	👩🏿‍🤝‍👨🏻;home e muller collidos da man: ton de pel moi escuro, ton de pel moi claro;home|home e muller collidos da man|home e muller collidos da man: ton de pel moi escuro, ton de pel moi claro|man|muller|parella|ton de pel moi claro|ton de pel moi escuro
	👩🏿‍🤝‍👨🏼;home e muller collidos da man: ton de pel moi escuro, ton de pel claro;home|home e muller collidos da man|home e muller collidos da man: ton de pel moi escuro, ton de pel claro|man|muller|parella|ton de pel claro|ton de pel moi escuro
	👩🏿‍🤝‍👨🏽;home e muller collidos da man: ton de pel moi escuro, ton de pel medio;home|home e muller collidos da man|home e muller collidos da man: ton de pel moi escuro, ton de pel medio|man|muller|parella|ton de pel medio|ton de pel moi escuro
	👩🏿‍🤝‍👨🏾;home e muller collidos da man: ton de pel moi escuro, ton de pel escuro;home|home e muller collidos da man|home e muller collidos da man: ton de pel moi escuro, ton de pel escuro|man|muller|parella|ton de pel escuro|ton de pel moi escuro
	👫🏿;home e muller collidos da man: ton de pel moi escuro;home|home e muller collidos da man|home e muller collidos da man: ton de pel moi escuro|man|muller|parella|ton de pel moi escuro
👬;dous homes collidos da man;dous homes collidos da man|homes|parella|xemelgos|Xémini
	👬🏻;dous homes collidos da man: ton de pel moi claro;dous homes collidos da man|dous homes collidos da man: ton de pel moi claro|homes|parella|ton de pel moi claro|xemelgos|Xémini
	👨🏻‍🤝‍👨🏼;dous homes collidos da man: ton de pel moi claro, ton de pel claro;dous homes collidos da man|dous homes collidos da man: ton de pel moi claro, ton de pel claro|homes|parella|ton de pel claro|ton de pel moi claro|xemelgos|Xémini
