# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;嘿嘿;嘿嘿|笑脸|脸
⛷️;滑雪的人;滑雪|滑雪的人|雪
🏂;滑雪板;滑雪|滑雪板|雪
	🏂🏻;滑雪板: 较浅肤色;滑雪|滑雪板|滑雪板: 较浅肤色|较浅肤色|雪
	🏂🏼;滑雪板: 中等-浅肤色;中等-浅肤色|滑雪|滑雪板|滑雪板: 中等-浅肤色|雪
	🏂🏽;滑雪板: 中等肤色;中等肤色|滑雪|滑雪板|滑雪板: 中等肤色|雪
	🏂🏾;滑雪板: 中等-深肤色;中等-深肤色|滑雪|滑雪板|滑雪板: 中等-深肤色|雪
	🏂🏿;滑雪板: 较深肤色;滑雪|滑雪板|滑雪板: 较深肤色|较深肤色|雪
🏌️;打高尔夫的人;打高尔夫的人|球|高尔夫
	🏌🏻;打高尔夫的人: 较浅肤色;打高尔夫的人|打高尔夫的人: 较浅肤色|球|较浅肤色|高尔夫
	🏌🏼;打高尔夫的人: 中等-浅肤色;中等-浅肤色|打高尔夫的人|打高尔夫的人: 中等-浅肤色|球|高尔夫
	🏌🏽;打高尔夫的人: 中等肤色;中等肤色|打高尔夫的人|打高尔夫的人: 中等肤色|球|高尔夫
	🏌🏾;打高尔夫的人: 中等-深肤色;中等-深肤色|打高尔夫的人|打高尔夫的人: 中等-深肤色|球|高尔夫
	🏌🏿;打高尔夫的人: 较深肤色;打高尔夫的人|打高尔夫的人: 较深肤色|球|较深肤色|高尔夫
🏌️‍♂️;男生打高尔夫;男|男生打高尔夫|高尔夫
	🏌🏻‍♂️;男生打高尔夫: 较浅肤色;男|男生打高尔夫|男生打高尔夫: 较浅肤色|较浅肤色|高尔夫
	🏌🏼‍♂️;男生打高尔夫: 中等-浅肤色;中等-浅肤色|男|男生打高尔夫|男生打高尔夫: 中等-浅肤色|高尔夫
	🏌🏽‍♂️;男生打高尔夫: 中等肤色;中等肤色|男|男生打高尔夫|男生打高尔夫: 中等肤色|高尔夫
	🏌🏾‍♂️;男生打高尔夫: 中等-深肤色;中等-深肤色|男|男生打高尔夫|男生打高尔夫: 中等-深肤色|高尔夫
	🏌🏿‍♂️;男生打高尔夫: 较深肤色;男|男生打高尔夫|男生打高尔夫: 较深肤色|较深肤色|高尔夫
🏌️‍♀️;女生打高尔夫;女|女生打高尔夫|高尔夫
	🏌🏻‍♀️;女生打高尔夫: 较浅肤色;女|女生打高尔夫|女生打高尔夫: 较浅肤色|较浅肤色|高尔夫
	🏌🏼‍♀️;女生打高尔夫: 中等-浅肤色;中等-浅肤色|女|女生打高尔夫|女生打高尔夫: 中等-浅肤色|高尔夫
	🏌🏽‍♀️;女生打高尔夫: 中等肤色;中等肤色|女|女生打高尔夫|女生打高尔夫: 中等肤色|高尔夫
	🏌🏾‍♀️;女生打高尔夫: 中等-深肤色;中等-深肤色|女|女生打高尔夫|女生打高尔夫: 中等-深肤色|高尔夫
	🏌🏿‍♀️;女生打高尔夫: 较深肤色;女|女生打高尔夫|女生打高尔夫: 较深肤色|较深肤色|高尔夫
🏄;冲浪;冲浪
	🏄🏻;冲浪: 较浅肤色;冲浪|冲浪: 较浅肤色|较浅肤色
	🏄🏼;冲浪: 中等-浅肤色;中等-浅肤色|冲浪|冲浪: 中等-浅肤色
	🏄🏽;冲浪: 中等肤色;中等肤色|冲浪|冲浪: 中等肤色
	🏄🏾;冲浪: 中等-深肤色;中等-深肤色|冲浪|冲浪: 中等-深肤色
	🏄🏿;冲浪: 较深肤色;冲浪|冲浪: 较深肤色|较深肤色
🏄‍♂️;男生冲浪;冲浪|男|男生冲浪
	🏄🏻‍♂️;男生冲浪: 较浅肤色;冲浪|男|男生冲浪|男生冲浪: 较浅肤色|较浅肤色
	🏄🏼‍♂️;男生冲浪: 中等-浅肤色;中等-浅肤色|冲浪|男|男生冲浪|男生冲浪: 中等-浅肤色
	🏄🏽‍♂️;男生冲浪: 中等肤色;中等肤色|冲浪|男|男生冲浪|男生冲浪: 中等肤色
	🏄🏾‍♂️;男生冲浪: 中等-深肤色;中等-深肤色|冲浪|男|男生冲浪|男生冲浪: 中等-深肤色
	🏄🏿‍♂️;男生冲浪: 较深肤色;冲浪|男|男生冲浪|男生冲浪: 较深肤色|较深肤色
🏄‍♀️;女生冲浪;冲浪|女|女生冲浪
	🏄🏻‍♀️;女生冲浪: 较浅肤色;冲浪|女|女生冲浪|女生冲浪: 较浅肤色|较浅肤色
	🏄🏼‍♀️;女生冲浪: 中等-浅肤色;中等-浅肤色|冲浪|女|女生冲浪|女生冲浪: 中等-浅肤色
	🏄🏽‍♀️;女生冲浪: 中等肤色;中等肤色|冲浪|女|女生冲浪|女生冲浪: 中等肤色
	🏄🏾‍♀️;女生冲浪: 中等-深肤色;中等-深肤色|冲浪|女|女生冲浪|女生冲浪: 中等-深肤色
	🏄🏿‍♀️;女生冲浪: 较深肤色;冲浪|女|女生冲浪|女生冲浪: 较深肤色|较深肤色
🚣;划艇;划艇|船
	🚣🏻;划艇: 较浅肤色;划艇|划艇: 较浅肤色|船|较浅肤色
	🚣🏼;划艇: 中等-浅肤色;中等-浅肤色|划艇|划艇: 中等-浅肤色|船
	🚣🏽;划艇: 中等肤色;中等肤色|划艇|划艇: 中等肤色|船
	🚣🏾;划艇: 中等-深肤色;中等-深肤色|划艇|划艇: 中等-深肤色|船
	🚣🏿;划艇: 较深肤色;划艇|划艇: 较深肤色|船|较深肤色
🚣‍♂️;男生划船;划船|划艇|男|男生划船|船
	🚣🏻‍♂️;男生划船: 较浅肤色;划船|划艇|男|男生划船|男生划船: 较浅肤色|船|较浅肤色
	🚣🏼‍♂️;男生划船: 中等-浅肤色;中等-浅肤色|划船|划艇|男|男生划船|男生划船: 中等-浅肤色|船
	🚣🏽‍♂️;男生划船: 中等肤色;中等肤色|划船|划艇|男|男生划船|男生划船: 中等肤色|船
	🚣🏾‍♂️;男生划船: 中等-深肤色;中等-深肤色|划船|划艇|男|男生划船|男生划船: 中等-深肤色|船
	🚣🏿‍♂️;男生划船: 较深肤色;划船|划艇|男|男生划船|男生划船: 较深肤色|船|较深肤色
🚣‍♀️;女生划船;划船|划艇|女|女生划船|船
	🚣🏻‍♀️;女生划船: 较浅肤色;划船|划艇|女|女生划船|女生划船: 较浅肤色|船|较浅肤色
	🚣🏼‍♀️;女生划船: 中等-浅肤色;中等-浅肤色|划船|划艇|女|女生划船|女生划船: 中等-浅肤色|船
	🚣🏽‍♀️;女生划船: 中等肤色;中等肤色|划船|划艇|女|女生划船|女生划船: 中等肤色|船
	🚣🏾‍♀️;女生划船: 中等-深肤色;中等-深肤色|划船|划艇|女|女生划船|女生划船: 中等-深肤色|船
	🚣🏿‍♀️;女生划船: 较深肤色;划船|划艇|女|女生划船|女生划船: 较深肤色|船|较深肤色
🏊;游泳;游泳
	🏊🏻;游泳: 较浅肤色;游泳|游泳: 较浅肤色|较浅肤色
	🏊🏼;游泳: 中等-浅肤色;中等-浅肤色|游泳|游泳: 中等-浅肤色
	🏊🏽;游泳: 中等肤色;中等肤色|游泳|游泳: 中等肤色
	🏊🏾;游泳: 中等-深肤色;中等-深肤色|游泳|游泳: 中等-深肤色
	🏊🏿;游泳: 较深肤色;游泳|游泳: 较深肤色|较深肤色
🏊‍♂️;男生游泳;游泳|男|男生游泳
	🏊🏻‍♂️;男生游泳: 较浅肤色;游泳|男|男生游泳|男生游泳: 较浅肤色|较浅肤色
	🏊🏼‍♂️;男生游泳: 中等-浅肤色;中等-浅肤色|游泳|男|男生游泳|男生游泳: 中等-浅肤色
	🏊🏽‍♂️;男生游泳: 中等肤色;中等肤色|游泳|男|男生游泳|男生游泳: 中等肤色
	🏊🏾‍♂️;男生游泳: 中等-深肤色;中等-深肤色|游泳|男|男生游泳|男生游泳: 中等-深肤色
	🏊🏿‍♂️;男生游泳: 较深肤色;游泳|男|男生游泳|男生游泳: 较深肤色|较深肤色
🏊‍♀️;女生游泳;女|女生游泳|游泳
	🏊🏻‍♀️;女生游泳: 较浅肤色;女|女生游泳|女生游泳: 较浅肤色|游泳|较浅肤色
	🏊🏼‍♀️;女生游泳: 中等-浅肤色;中等-浅肤色|女|女生游泳|女生游泳: 中等-浅肤色|游泳
	🏊🏽‍♀️;女生游泳: 中等肤色;中等肤色|女|女生游泳|女生游泳: 中等肤色|游泳
	🏊🏾‍♀️;女生游泳: 中等-深肤色;中等-深肤色|女|女生游泳|女生游泳: 中等-深肤色|游泳
	🏊🏿‍♀️;女生游泳: 较深肤色;女|女生游泳|女生游泳: 较深肤色|游泳|较深肤色
⛹️;玩球;游戏|玩|玩球|球
	⛹🏻;玩球: 较浅肤色;游戏|玩|玩球|玩球: 较浅肤色|球|较浅肤色
	⛹🏼;玩球: 中等-浅肤色;中等-浅肤色|游戏|玩|玩球|玩球: 中等-浅肤色|球
	⛹🏽;玩球: 中等肤色;中等肤色|游戏|玩|玩球|玩球: 中等肤色|球
	⛹🏾;玩球: 中等-深肤色;中等-深肤色|游戏|玩|玩球|玩球: 中等-深肤色|球
	⛹🏿;玩球: 较深肤色;游戏|玩|玩球|玩球: 较深肤色|球|较深肤色
⛹️‍♂️;男生玩球;球|男|男生玩球
	⛹🏻‍♂️;男生玩球: 较浅肤色;球|男|男生玩球|男生玩球: 较浅肤色|较浅肤色
	⛹🏼‍♂️;男生玩球: 中等-浅肤色;中等-浅肤色|球|男|男生玩球|男生玩球: 中等-浅肤色
	⛹🏽‍♂️;男生玩球: 中等肤色;中等肤色|球|男|男生玩球|男生玩球: 中等肤色
	⛹🏾‍♂️;男生玩球: 中等-深肤色;中等-深肤色|球|男|男生玩球|男生玩球: 中等-深肤色
	⛹🏿‍♂️;男生玩球: 较深肤色;球|男|男生玩球|男生玩球: 较深肤色|较深肤色
⛹️‍♀️;女生玩球;女|女生玩球|游戏|玩|球
	⛹🏻‍♀️;女生玩球: 较浅肤色;女|女生玩球|女生玩球: 较浅肤色|游戏|玩|球|较浅肤色
	⛹🏼‍♀️;女生玩球: 中等-浅肤色;中等-浅肤色|女|女生玩球|女生玩球: 中等-浅肤色|游戏|玩|球
	⛹🏽‍♀️;女生玩球: 中等肤色;中等肤色|女|女生玩球|女生玩球: 中等肤色|游戏|玩|球
	⛹🏾‍♀️;女生玩球: 中等-深肤色;中等-深肤色|女|女生玩球|女生玩球: 中等-深肤色|游戏|玩|球
	⛹🏿‍♀️;女生玩球: 较深肤色;女|女生玩球|女生玩球: 较深肤色|游戏|玩|球|较深肤色
🏋️;举重;举重
	🏋🏻;举重: 较浅肤色;举重|举重: 较浅肤色|较浅肤色
	🏋🏼;举重: 中等-浅肤色;中等-浅肤色|举重|举重: 中等-浅肤色
	🏋🏽;举重: 中等肤色;中等肤色|举重|举重: 中等肤色
	🏋🏾;举重: 中等-深肤色;中等-深肤色|举重|举重: 中等-深肤色
	🏋🏿;举重: 较深肤色;举重|举重: 较深肤色|较深肤色
🏋️‍♂️;男生举重;举重|男|男生举重
	🏋🏻‍♂️;男生举重: 较浅肤色;举重|男|男生举重|男生举重: 较浅肤色|较浅肤色
	🏋🏼‍♂️;男生举重: 中等-浅肤色;中等-浅肤色|举重|男|男生举重|男生举重: 中等-浅肤色
	🏋🏽‍♂️;男生举重: 中等肤色;中等肤色|举重|男|男生举重|男生举重: 中等肤色
	🏋🏾‍♂️;男生举重: 中等-深肤色;中等-深肤色|举重|男|男生举重|男生举重: 中等-深肤色
	🏋🏿‍♂️;男生举重: 较深肤色;举重|男|男生举重|男生举重: 较深肤色|较深肤色
🏋️‍♀️;女生举重;举重|女|女生举重
	🏋🏻‍♀️;女生举重: 较浅肤色;举重|女|女生举重|女生举重: 较浅肤色|较浅肤色
	🏋🏼‍♀️;女生举重: 中等-浅肤色;中等-浅肤色|举重|女|女生举重|女生举重: 中等-浅肤色
	🏋🏽‍♀️;女生举重: 中等肤色;中等肤色|举重|女|女生举重|女生举重: 中等肤色
	🏋🏾‍♀️;女生举重: 中等-深肤色;中等-深肤色|举重|女|女生举重|女生举重: 中等-深肤色
	🏋🏿‍♀️;女生举重: 较深肤色;举重|女|女生举重|女生举重: 较深肤色|较深肤色
🚴;骑自行车;单车|自行车|骑单车|骑自行车
	🚴🏻;骑自行车: 较浅肤色;单车|自行车|较浅肤色|骑单车|骑自行车|骑自行车: 较浅肤色
	🚴🏼;骑自行车: 中等-浅肤色;中等-浅肤色|单车|自行车|骑单车|骑自行车|骑自行车: 中等-浅肤色
	🚴🏽;骑自行车: 中等肤色;中等肤色|单车|自行车|骑单车|骑自行车|骑自行车: 中等肤色
	🚴🏾;骑自行车: 中等-深肤色;中等-深肤色|单车|自行车|骑单车|骑自行车|骑自行车: 中等-深肤色
	🚴🏿;骑自行车: 较深肤色;单车|自行车|较深肤色|骑单车|骑自行车|骑自行车: 较深肤色
🚴‍♂️;男生骑自行车;单车|男|男生骑自行车|自行车|骑车
	🚴🏻‍♂️;男生骑自行车: 较浅肤色;单车|男|男生骑自行车|男生骑自行车: 较浅肤色|自行车|较浅肤色|骑车
	🚴🏼‍♂️;男生骑自行车: 中等-浅肤色;中等-浅肤色|单车|男|男生骑自行车|男生骑自行车: 中等-浅肤色|自行车|骑车
	🚴🏽‍♂️;男生骑自行车: 中等肤色;中等肤色|单车|男|男生骑自行车|男生骑自行车: 中等肤色|自行车|骑车
	🚴🏾‍♂️;男生骑自行车: 中等-深肤色;中等-深肤色|单车|男|男生骑自行车|男生骑自行车: 中等-深肤色|自行车|骑车
	🚴🏿‍♂️;男生骑自行车: 较深肤色;单车|男|男生骑自行车|男生骑自行车: 较深肤色|自行车|较深肤色|骑车
🚴‍♀️;女生骑自行车;单车|女|女生骑自行车|自行车|骑车
	🚴🏻‍♀️;女生骑自行车: 较浅肤色;单车|女|女生骑自行车|女生骑自行车: 较浅肤色|自行车|较浅肤色|骑车
	🚴🏼‍♀️;女生骑自行车: 中等-浅肤色;中等-浅肤色|单车|女|女生骑自行车|女生骑自行车: 中等-浅肤色|自行车|骑车
	🚴🏽‍♀️;女生骑自行车: 中等肤色;中等肤色|单车|女|女生骑自行车|女生骑自行车: 中等肤色|自行车|骑车
	🚴🏾‍♀️;女生骑自行车: 中等-深肤色;中等-深肤色|单车|女|女生骑自行车|女生骑自行车: 中等-深肤色|自行车|骑车
	🚴🏿‍♀️;女生骑自行车: 较深肤色;单车|女|女生骑自行车|女生骑自行车: 较深肤色|自行车|较深肤色|骑车
🚵;骑山地车;单车|山地车|自行车|骑山地车|骑山地车的人
	🚵🏻;骑山地车: 较浅肤色;单车|山地车|自行车|较浅肤色|骑山地车|骑山地车: 较浅肤色|骑山地车的人
	🚵🏼;骑山地车: 中等-浅肤色;中等-浅肤色|单车|山地车|自行车|骑山地车|骑山地车: 中等-浅肤色|骑山地车的人
	🚵🏽;骑山地车: 中等肤色;中等肤色|单车|山地车|自行车|骑山地车|骑山地车: 中等肤色|骑山地车的人
	🚵🏾;骑山地车: 中等-深肤色;中等-深肤色|单车|山地车|自行车|骑山地车|骑山地车: 中等-深肤色|骑山地车的人
	🚵🏿;骑山地车: 较深肤色;单车|山地车|自行车|较深肤色|骑山地车|骑山地车: 较深肤色|骑山地车的人
🚵‍♂️;男生骑山地车;单车|山地车|男|男生骑山地车|自行车|骑山地车的人
	🚵🏻‍♂️;男生骑山地车: 较浅肤色;单车|山地车|男|男生骑山地车|男生骑山地车: 较浅肤色|自行车|较浅肤色|骑山地车的人
	🚵🏼‍♂️;男生骑山地车: 中等-浅肤色;中等-浅肤色|单车|山地车|男|男生骑山地车|男生骑山地车: 中等-浅肤色|自行车|骑山地车的人
	🚵🏽‍♂️;男生骑山地车: 中等肤色;中等肤色|单车|山地车|男|男生骑山地车|男生骑山地车: 中等肤色|自行车|骑山地车的人
	🚵🏾‍♂️;男生骑山地车: 中等-深肤色;中等-深肤色|单车|山地车|男|男生骑山地车|男生骑山地车: 中等-深肤色|自行车|骑山地车的人
	🚵🏿‍♂️;男生骑山地车: 较深肤色;单车|山地车|男|男生骑山地车|男生骑山地车: 较深肤色|自行车|较深肤色|骑山地车的人
🚵‍♀️;女生骑山地车;单车|女|女生骑山地车|山地车|自行车|骑车
	🚵🏻‍♀️;女生骑山地车: 较浅肤色;单车|女|女生骑山地车|女生骑山地车: 较浅肤色|山地车|自行车|较浅肤色|骑车
	🚵🏼‍♀️;女生骑山地车: 中等-浅肤色;中等-浅肤色|单车|女|女生骑山地车|女生骑山地车: 中等-浅肤色|山地车|自行车|骑车
	🚵🏽‍♀️;女生骑山地车: 中等肤色;中等肤色|单车|女|女生骑山地车|女生骑山地车: 中等肤色|山地车|自行车|骑车
	🚵🏾‍♀️;女生骑山地车: 中等-深肤色;中等-深肤色|单车|女|女生骑山地车|女生骑山地车: 中等-深肤色|山地车|自行车|骑车
	🚵🏿‍♀️;女生骑山地车: 较深肤色;单车|女|女生骑山地车|女生骑山地车: 较深肤色|山地车|自行车|较深肤色|骑车
🤸;侧手翻;人|体操|体育|侧手翻|翻筋斗
	🤸🏻;侧手翻: 较浅肤色;人|体操|体育|侧手翻|侧手翻: 较浅肤色|翻筋斗|较浅肤色
	🤸🏼;侧手翻: 中等-浅肤色;中等-浅肤色|人|体操|体育|侧手翻|侧手翻: 中等-浅肤色|翻筋斗
	🤸🏽;侧手翻: 中等肤色;中等肤色|人|体操|体育|侧手翻|侧手翻: 中等肤色|翻筋斗
	🤸🏾;侧手翻: 中等-深肤色;中等-深肤色|人|体操|体育|侧手翻|侧手翻: 中等-深肤色|翻筋斗
	🤸🏿;侧手翻: 较深肤色;人|体操|体育|侧手翻|侧手翻: 较深肤色|翻筋斗|较深肤色
🤸‍♂️;男生侧手翻;体操|侧手翻|男|男生侧手翻|翻筋斗
	🤸🏻‍♂️;男生侧手翻: 较浅肤色;体操|侧手翻|男|男生侧手翻|男生侧手翻: 较浅肤色|翻筋斗|较浅肤色
	🤸🏼‍♂️;男生侧手翻: 中等-浅肤色;中等-浅肤色|体操|侧手翻|男|男生侧手翻|男生侧手翻: 中等-浅肤色|翻筋斗
	🤸🏽‍♂️;男生侧手翻: 中等肤色;中等肤色|体操|侧手翻|男|男生侧手翻|男生侧手翻: 中等肤色|翻筋斗
	🤸🏾‍♂️;男生侧手翻: 中等-深肤色;中等-深肤色|体操|侧手翻|男|男生侧手翻|男生侧手翻: 中等-深肤色|翻筋斗
	🤸🏿‍♂️;男生侧手翻: 较深肤色;体操|侧手翻|男|男生侧手翻|男生侧手翻: 较深肤色|翻筋斗|较深肤色
🤸‍♀️;女生侧手翻;体操|侧手翻|女|女生侧手翻|翻筋斗
	🤸🏻‍♀️;女生侧手翻: 较浅肤色;体操|侧手翻|女|女生侧手翻|女生侧手翻: 较浅肤色|翻筋斗|较浅肤色
	🤸🏼‍♀️;女生侧手翻: 中等-浅肤色;中等-浅肤色|体操|侧手翻|女|女生侧手翻|女生侧手翻: 中等-浅肤色|翻筋斗
	🤸🏽‍♀️;女生侧手翻: 中等肤色;中等肤色|体操|侧手翻|女|女生侧手翻|女生侧手翻: 中等肤色|翻筋斗
	🤸🏾‍♀️;女生侧手翻: 中等-深肤色;中等-深肤色|体操|侧手翻|女|女生侧手翻|女生侧手翻: 中等-深肤色|翻筋斗
	🤸🏿‍♀️;女生侧手翻: 较深肤色;体操|侧手翻|女|女生侧手翻|女生侧手翻: 较深肤色|翻筋斗|较深肤色
