[smileys_emotion]
😀;활짝 웃는 얼굴;미소|스마일|얼굴|웃음|활짝 웃는 얼굴
	🚵🏻‍♂️;산악 자전거 타는 남자: 하얀 피부;남자|사이클링|산|산악 자전거|산악 자전거 타는 남자|산악 자전거 타는 남자: 하얀 피부|자전거|하얀 피부
	🚵🏼‍♂️;산악 자전거 타는 남자: 연한 갈색 피부;남자|사이클링|산|산악 자전거|산악 자전거 타는 남자|산악 자전거 타는 남자: 연한 갈색 피부|연한 갈색 피부|자전거
	🚵🏽‍♂️;산악 자전거 타는 남자: 갈색 피부;갈색 피부|남자|사이클링|산|산악 자전거|산악 자전거 타는 남자|산악 자전거 타는 남자: 갈색 피부|자전거
	🚵🏾‍♂️;산악 자전거 타는 남자: 진한 갈색 피부;남자|사이클링|산|산악 자전거|산악 자전거 타는 남자|산악 자전거 타는 남자: 진한 갈색 피부|자전거|진한 갈색 피부
	🚵🏿‍♂️;산악 자전거 타는 남자: 검은색 피부;검은색 피부|남자|사이클링|산|산악 자전거|산악 자전거 타는 남자|산악 자전거 타는 남자: 검은색 피부|자전거
🚵‍♀️;산악 자전거 타는 여자;사이클링|산|산악 자전거|산악 자전거 타는 여자|여자|자전거
	🚵🏻‍♀️;산악 자전거 타는 여자: 하얀 피부;사이클링|산|산악 자전거|산악 자전거 타는 여자|산악 자전거 타는 여자: 하얀 피부|여자|자전거|하얀 피부
	🚵🏼‍♀️;산악 자전거 타는 여자: 연한 갈색 피부;사이클링|산|산악 자전거|산악 자전거 타는 여자|산악 자전거 타는 여자: 연한 갈색 피부|여자|연한 갈색 피부|자전거
	🚵🏽‍♀️;산악 자전거 타는 여자: 갈색 피부;갈색 피부|사이클링|산|산악 자전거|산악 자전거 타는 여자|산악 자전거 타는 여자: 갈색 피부|여자|자전거
	🚵🏾‍♀️;산악 자전거 타는 여자: 진한 갈색 피부;사이클링|산|산악 자전거|산악 자전거 타는 여자|산악 자전거 타는 여자: 진한 갈색 피부|여자|자전거|진한 갈색 피부
	🚵🏿‍♀️;산악 자전거 타는 여자: 검은색 피부;검은색 피부|사이클링|산|산악 자전거|산악 자전거 타는 여자|산악 자전거 타는 여자: 검은색 피부|여자|자전거
🤸;옆돌기하는 사람;옆돌기|옆돌기하는 사람|체조|풍차돌리기
	🤸🏻;옆돌기하는 사람: 하얀 피부;옆돌기|옆돌기하는 사람|옆돌기하는 사람: 하얀 피부|체조|풍차돌리기|하얀 피부
	🤸🏼;옆돌기하는 사람: 연한 갈색 피부;연한 갈색 피부|옆돌기|옆돌기하는 사람|옆돌기하는 사람: 연한 갈색 피부|체조|풍차돌리기
	🤸🏽;옆돌기하는 사람: 갈색 피부;갈색 피부|옆돌기|옆돌기하는 사람|옆돌기하는 사람: 갈색 피부|체조|풍차돌리기
	🤸🏾;옆돌기하는 사람: 진한 갈색 피부;옆돌기|옆돌기하는 사람|옆돌기하는 사람: 진한 갈색 피부|진한 갈색 피부|체조|풍차돌리기
	🤸🏿;옆돌기하는 사람: 검은색 피부;검은색 피부|옆돌기|옆돌기하는 사람|옆돌기하는 사람: 검은색 피부|체조|풍차돌리기
🤸‍♂️;옆돌기하는 남자;옆돌기|옆돌기하는 남자|체조|풍차돌리기
	🤸🏻‍♂️;옆돌기하는 남자: 하얀 피부;옆돌기|옆돌기하는 남자|옆돌기하는 남자: 하얀 피부|체조|풍차돌리기|하얀 피부
	🤸🏼‍♂️;옆돌기하는 남자: 연한 갈색 피부;연한 갈색 피부|옆돌기|옆돌기하는 남자|옆돌기하는 남자: 연한 갈색 피부|체조|풍차돌리기
	🤸🏽‍♂️;옆돌기하는 남자: 갈색 피부;갈색 피부|옆돌기|옆돌기하는 남자|옆돌기하는 남자: 갈색 피부|체조|풍차돌리기
	🤸🏾‍♂️;옆돌기하는 남자: 진한 갈색 피부;옆돌기|옆돌기하는 남자|옆돌기하는 남자: 진한 갈색 피부|진한 갈색 피부|체조|풍차돌리기
	🤸🏿‍♂️;옆돌기하는 남자: 검은색 피부;검은색 피부|옆돌기|옆돌기하는 남자|옆돌기하는 남자: 검은색 피부|체조|풍차돌리기
🤸‍♀️;옆돌기하는 여자;옆돌기|옆돌기하는 여자|체조|풍차돌리기
	🤸🏻‍♀️;옆돌기하는 여자: 하얀 피부;옆돌기|옆돌기하는 여자|옆돌기하는 여자: 하얀 피부|체조|풍차돌리기|하얀 피부
	🤸🏼‍♀️;옆돌기하는 여자: 연한 갈색 피부;연한 갈색 피부|옆돌기|옆돌기하는 여자|옆돌기하는 여자: 연한 갈색 피부|체조|풍차돌리기
	🤸🏽‍♀️;옆돌기하는 여자: 갈색 피부;갈색 피부|옆돌기|옆돌기하는 여자|옆돌기하는 여자: 갈색 피부|체조|풍차돌리기
	🤸🏾‍♀️;옆돌기하는 여자: 진한 갈색 피부;옆돌기|옆돌기하는 여자|옆돌기하는 여자: 진한 갈색 피부|진한 갈색 피부|체조|풍차돌리기
	🤸🏿‍♀️;옆돌기하는 여자: 검은색 피부;검은색 피부|옆돌기|옆돌기하는 여자|옆돌기하는 여자: 검은색 피부|체조|풍차돌리기
🤼;레슬링하는 사람;레슬러|레슬링|레슬링 선수|레슬링하는 사람|스포츠
🤼‍♂️;레슬링하는 남자;레슬러|레슬링|레슬링하는 남자|시합
🤼‍♀️;레슬링하는 여자;레슬러|레슬링|레슬링하는 여자|시합
🤽;수구하는 사람;수구|수구하는 사람|스포츠|워터폴로
	🤽🏻;수구하는 사람: 하얀 피부;수구|수구하는 사람|수구하는 사람: 하얀 피부|스포츠|워터폴로|하얀 피부
	🤽🏼;수구하는 사람: 연한 갈색 피부;수구|수구하는 사람|수구하는 사람: 연한 갈색 피부|스포츠|연한 갈색 피부|워터폴로
	🤽🏽;수구하는 사람: 갈색 피부;갈색 피부|수구|수구하는 사람|수구하는 사람: 갈색 피부|스포츠|워터폴로
	🤽🏾;수구하는 사람: 진한 갈색 피부;수구|수구하는 사람|수구하는 사람: 진한 갈색 피부|스포츠|워터폴로|진한 갈색 피부
	🤽🏿;수구하는 사람: 검은색 피부;검은색 피부|수구|수구하는 사람|수구하는 사람: 검은색 피부|스포츠|워터폴로
🤽‍♂️;수구하는 남자;수구|수구하는 남자|수상스포츠|수영복|워터폴로
	🤽🏻‍♂️;수구하는 남자: 하얀 피부;수구|수구하는 남자|수구하는 남자: 하얀 피부|수상스포츠|수영복|워터폴로|하얀 피부
	🤽🏼‍♂️;수구하는 남자: 연한 갈색 피부;수구|수구하는 남자|수구하는 남자: 연한 갈색 피부|수상스포츠|수영복|연한 갈색 피부|워터폴로
	🤽🏽‍♂️;수구하는 남자: 갈색 피부;갈색 피부|수구|수구하는 남자|수구하는 남자: 갈색 피부|수상스포츠|수영복|워터폴로
	🤽🏾‍♂️;수구하는 남자: 진한 갈색 피부;수구|수구하는 남자|수구하는 남자: 진한 갈색 피부|수상스포츠|수영복|워터폴로|진한 갈색 피부
	🤽🏿‍♂️;수구하는 남자: 검은색 피부;검은색 피부|수구|수구하는 남자|수구하는 남자: 검은색 피부|수상스포츠|수영복|워터폴로
🤽‍♀️;수구하는 여자;수구|수구하는 여자|수상스포츠|수영복|워터폴로
	🤽🏻‍♀️;수구하는 여자: 하얀 피부;수구|수구하는 여자|수구하는 여자: 하얀 피부|수상스포츠|수영복|워터폴로|하얀 피부
	🤽🏼‍♀️;수구하는 여자: 연한 갈색 피부;수구|수구하는 여자|수구하는 여자: 연한 갈색 피부|수상스포츠|수영복|연한 갈색 피부|워터폴로
	🤽🏽‍♀️;수구하는 여자: 갈색 피부;갈색 피부|수구|수구하는 여자|수구하는 여자: 갈색 피부|수상스포츠|수영복|워터폴로
	🤽🏾‍♀️;수구하는 여자: 진한 갈색 피부;수구|수구하는 여자|수구하는 여자: 진한 갈색 피부|수상스포츠|수영복|워터폴로|진한 갈색 피부
	🤽🏿‍♀️;수구하는 여자: 검은색 피부;검은색 피부|수구|수구하는 여자|수구하는 여자: 검은색 피부|수상스포츠|수영복|워터폴로
🤾;핸드볼하는 사람;구기종목|선수|스포츠|핸드볼|핸드볼하는 사람
	🤾🏻;핸드볼하는 사람: 하얀 피부;구기종목|선수|스포츠|하얀 피부|핸드볼|핸드볼하는 사람|핸드볼하는 사람: 하얀 피부
	🤾🏼;핸드볼하는 사람: 연한 갈색 피부;구기종목|선수|스포츠|연한 갈색 피부|핸드볼|핸드볼하는 사람|핸드볼하는 사람: 연한 갈색 피부
	🤾🏽;핸드볼하는 사람: 갈색 피부;갈색 피부|구기종목|선수|스포츠|핸드볼|핸드볼하는 사람|핸드볼하는 사람: 갈색 피부
	🤾🏾;핸드볼하는 사람: 진한 갈색 피부;구기종목|선수|스포츠|진한 갈색 피부|핸드볼|핸드볼하는 사람|핸드볼하는 사람: 진한 갈색 피부
	🤾🏿;핸드볼하는 사람: 검은색 피부;검은색 피부|구기종목|선수|스포츠|핸드볼|핸드볼하는 사람|핸드볼하는 사람: 검은색 피부
🤾‍♂️;핸드볼하는 남자;구기종목|스포츠|핸드볼|핸드볼하는 남자
	🤾🏻‍♂️;핸드볼하는 남자: 하얀 피부;구기종목|스포츠|하얀 피부|핸드볼|핸드볼하는 남자|핸드볼하는 남자: 하얀 피부
	🤾🏼‍♂️;핸드볼하는 남자: 연한 갈색 피부;구기종목|스포츠|연한 갈색 피부|핸드볼|핸드볼하는 남자|핸드볼하는 남자: 연한 갈색 피부
	🤾🏽‍♂️;핸드볼하는 남자: 갈색 피부;갈색 피부|구기종목|스포츠|핸드볼|핸드볼하는 남자|핸드볼하는 남자: 갈색 피부
	🤾🏾‍♂️;핸드볼하는 남자: 진한 갈색 피부;구기종목|스포츠|진한 갈색 피부|핸드볼|핸드볼하는 남자|핸드볼하는 남자: 진한 갈색 피부
	🤾🏿‍♂️;핸드볼하는 남자: 검은색 피부;검은색 피부|구기종목|스포츠|핸드볼|핸드볼하는 남자|핸드볼하는 남자: 검은색 피부
🤾‍♀️;핸드볼하는 여자;구기종목|스포츠|핸드볼|핸드볼하는 여자
	🤾🏻‍♀️;핸드볼하는 여자: 하얀 피부;구기종목|스포츠|하얀 피부|핸드볼|핸드볼하는 여자|핸드볼하는 여자: 하얀 피부
	🤾🏼‍♀️;핸드볼하는 여자: 연한 갈색 피부;구기종목|스포츠|연한 갈색 피부|핸드볼|핸드볼하는 여자|핸드볼하는 여자: 연한 갈색 피부
	🤾🏽‍♀️;핸드볼하는 여자: 갈색 피부;갈색 피부|구기종목|스포츠|핸드볼|핸드볼하는 여자|핸드볼하는 여자: 갈색 피부
	🤾🏾‍♀️;핸드볼하는 여자: 진한 갈색 피부;구기종목|스포츠|진한 갈색 피부|핸드볼|핸드볼하는 여자|핸드볼하는 여자: 진한 갈색 피부
	🤾🏿‍♀️;핸드볼하는 여자: 검은색 피부;검은색 피부|구기종목|스포츠|핸드볼|핸드볼하는 여자|핸드볼하는 여자: 검은색 피부
🤹;저글링하는 사람;저글|저글링|저글링하는 사람
	🤹🏻;저글링하는 사람: 하얀 피부;저글|저글링|저글링하는 사람|저글링하는 사람: 하얀 피부|하얀 피부
	🤹🏼;저글링하는 사람: 연한 갈색 피부;연한 갈색 피부|저글|저글링|저글링하는 사람|저글링하는 사람: 연한 갈색 피부
	🤹🏽;저글링하는 사람: 갈색 피부;갈색 피부|저글|저글링|저글링하는 사람|저글링하는 사람: 갈색 피부
	🤹🏾;저글링하는 사람: 진한 갈색 피부;저글|저글링|저글링하는 사람|저글링하는 사람: 진한 갈색 피부|진한 갈색 피부
	🤹🏿;저글링하는 사람: 검은색 피부;검은색 피부|저글|저글링|저글링하는 사람|저글링하는 사람: 검은색 피부
🤹‍♂️;저글링하는 남자;저글|저글링|저글링하는 남자
	🤹🏻‍♂️;저글링하는 남자: 하얀 피부;저글|저글링|저글링하는 남자|저글링하는 남자: 하얀 피부|하얀 피부
	🤹🏼‍♂️;저글링하는 남자: 연한 갈색 피부;연한 갈색 피부|저글|저글링|저글링하는 남자|저글링하는 남자: 연한 갈색 피부
	🤹🏽‍♂️;저글링하는 남자: 갈색 피부;갈색 피부|저글|저글링|저글링하는 남자|저글링하는 남자: 갈색 피부
	🤹🏾‍♂️;저글링하는 남자: 진한 갈색 피부;저글|저글링|저글링하는 남자|저글링하는 남자: 진한 갈색 피부|진한 갈색 피부
	🤹🏿‍♂️;저글링하는 남자: 검은색 피부;검은색 피부|저글|저글링|저글링하는 남자|저글링하는 남자: 검은색 피부
🤹‍♀️;저글링하는 여자;저글|저글링|저글링하는 여자
	🤹🏻‍♀️;저글링하는 여자: 하얀 피부;저글|저글링|저글링하는 여자|저글링하는 여자: 하얀 피부|하얀 피부
	🤹🏼‍♀️;저글링하는 여자: 연한 갈색 피부;연한 갈색 피부|저글|저글링|저글링하는 여자|저글링하는 여자: 연한 갈색 피부
	🤹🏽‍♀️;저글링하는 여자: 갈색 피부;갈색 피부|저글|저글링|저글링하는 여자|저글링하는 여자: 갈색 피부
	🤹🏾‍♀️;저글링하는 여자: 진한 갈색 피부;저글|저글링|저글링하는 여자|저글링하는 여자: 진한 갈색 피부|진한 갈색 피부
	🤹🏿‍♀️;저글링하는 여자: 검은색 피부;검은색 피부|저글|저글링|저글링하는 여자|저글링하는 여자: 검은색 피부
🧘;가부좌한 사람;가부좌|가부좌한 사람|요가
	🧘🏻;가부좌한 사람: 하얀 피부;가부좌|가부좌한 사람|가부좌한 사람: 하얀 피부|요가|하얀 피부
	🧘🏼;가부좌한 사람: 연한 갈색 피부;가부좌|가부좌한 사람|가부좌한 사람: 연한 갈색 피부|연한 갈색 피부|요가
	🧘🏽;가부좌한 사람: 갈색 피부;가부좌|가부좌한 사람|가부좌한 사람: 갈색 피부|갈색 피부|요가
	🧘🏾;가부좌한 사람: 진한 갈색 피부;가부좌|가부좌한 사람|가부좌한 사람: 진한 갈색 피부|요가|진한 갈색 피부
	🧘🏿;가부좌한 사람: 검은색 피부;가부좌|가부좌한 사람|가부좌한 사람: 검은색 피부|검은색 피부|요가
🧘‍♂️;가부좌한 남자;가부좌|가부좌한 남자|요가
	🧘🏻‍♂️;가부좌한 남자: 하얀 피부;가부좌|가부좌한 남자|가부좌한 남자: 하얀 피부|요가|하얀 피부
	🧘🏼‍♂️;가부좌한 남자: 연한 갈색 피부;가부좌|가부좌한 남자|가부좌한 남자: 연한 갈색 피부|연한 갈색 피부|요가
	🧘🏽‍♂️;가부좌한 남자: 갈색 피부;가부좌|가부좌한 남자|가부좌한 남자: 갈색 피부|갈색 피부|요가
	🧘🏾‍♂️;가부좌한 남자: 진한 갈색 피부;가부좌|가부좌한 남자|가부좌한 남자: 진한 갈색 피부|요가|진한 갈색 피부
	🧘🏿‍♂️;가부좌한 남자: 검은색 피부;가부좌|가부좌한 남자|가부좌한 남자: 검은색 피부|검은색 피부|요가
🧘‍♀️;가부좌한 여자;가부좌|가부좌한 여자|요가
	🧘🏻‍♀️;가부좌한 여자: 하얀 피부;가부좌|가부좌한 여자|가부좌한 여자: 하얀 피부|요가|하얀 피부
	🧘🏼‍♀️;가부좌한 여자: 연한 갈색 피부;가부좌|가부좌한 여자|가부좌한 여자: 연한 갈색 피부|연한 갈색 피부|요가
	🧘🏽‍♀️;가부좌한 여자: 갈색 피부;가부좌|가부좌한 여자|가부좌한 여자: 갈색 피부|갈색 피부|요가
	🧘🏾‍♀️;가부좌한 여자: 진한 갈색 피부;가부좌|가부좌한 여자|가부좌한 여자: 진한 갈색 피부|요가|진한 갈색 피부
	🧘🏿‍♀️;가부좌한 여자: 검은색 피부;가부좌|가부좌한 여자|가부좌한 여자: 검은색 피부|검은색 피부|요가
🛀;목욕하는 사람;목욕하는 사람|욕조
