# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;חיוך רחב;חיוך|חיוך רחב|מחייך|פרצוף|שמח
	🧍🏻‍♂️;איש עומד: גוון עור בהיר;איש|איש עומד: גוון עור בהיר|גבר|גוון עור בהיר|עומד|עמידה
	🧍🏼‍♂️;איש עומד: גוון עור בהיר בינוני;איש|איש עומד: גוון עור בהיר בינוני|גבר|גוון עור בהיר בינוני|עומד|עמידה
	🧍🏽‍♂️;איש עומד: גוון עור בינוני;איש|איש עומד: גוון עור בינוני|גבר|גוון עור בינוני|עומד|עמידה
	🧍🏾‍♂️;איש עומד: גוון עור כהה בינוני;איש|איש עומד: גוון עור כהה בינוני|גבר|גוון עור כהה בינוני|עומד|עמידה
	🧍🏿‍♂️;איש עומד: גוון עור כהה;איש|איש עומד: גוון עור כהה|גבר|גוון עור כהה|עומד|עמידה
🧍‍♀️;אישה עומדת;אישה|עומדת|עמידה
	🧍🏻‍♀️;אישה עומדת: גוון עור בהיר;אישה|אישה עומדת: גוון עור בהיר|גוון עור בהיר|עומדת|עמידה
	🧍🏼‍♀️;אישה עומדת: גוון עור בהיר בינוני;אישה|אישה עומדת: גוון עור בהיר בינוני|גוון עור בהיר בינוני|עומדת|עמידה
	🧍🏽‍♀️;אישה עומדת: גוון עור בינוני;אישה|אישה עומדת: גוון עור בינוני|גוון עור בינוני|עומדת|עמידה
	🧍🏾‍♀️;אישה עומדת: גוון עור כהה בינוני;אישה|אישה עומדת: גוון עור כהה בינוני|גוון עור כהה בינוני|עומדת|עמידה
	🧍🏿‍♀️;אישה עומדת: גוון עור כהה;אישה|אישה עומדת: גוון עור כהה|גוון עור כהה|עומדת|עמידה
🧎;אדם כורע ברך;אדם כורע ברך|כריעה|כריעת ברך|לכרוע ברך
	🧎🏻;אדם כורע ברך: גוון עור בהיר;אדם כורע ברך|אדם כורע ברך: גוון עור בהיר|גוון עור בהיר|כריעה|כריעת ברך|לכרוע ברך
	🧎🏼;אדם כורע ברך: גוון עור בהיר בינוני;אדם כורע ברך|אדם כורע ברך: גוון עור בהיר בינוני|גוון עור בהיר בינוני|כריעה|כריעת ברך|לכרוע ברך
	🧎🏽;אדם כורע ברך: גוון עור בינוני;אדם כורע ברך|אדם כורע ברך: גוון עור בינוני|גוון עור בינוני|כריעה|כריעת ברך|לכרוע ברך
	🧎🏾;אדם כורע ברך: גוון עור כהה בינוני;אדם כורע ברך|אדם כורע ברך: גוון עור כהה בינוני|גוון עור כהה בינוני|כריעה|כריעת ברך|לכרוע ברך
	🧎🏿;אדם כורע ברך: גוון עור כהה;אדם כורע ברך|אדם כורע ברך: גוון עור כהה|גוון עור כהה|כריעה|כריעת ברך|לכרוע ברך
🧎‍♂️;איש כורע ברך;איש|איש כורע ברך|גבר|כורע ברך|לכרוע ברך
	🧎🏻‍♂️;איש כורע ברך: גוון עור בהיר;איש|איש כורע ברך|איש כורע ברך: גוון עור בהיר|גבר|גוון עור בהיר|כורע ברך|לכרוע ברך
	🧎🏼‍♂️;איש כורע ברך: גוון עור בהיר בינוני;איש|איש כורע ברך|איש כורע ברך: גוון עור בהיר בינוני|גבר|גוון עור בהיר בינוני|כורע ברך|לכרוע ברך
	🧎🏽‍♂️;איש כורע ברך: גוון עור בינוני;איש|איש כורע ברך|איש כורע ברך: גוון עור בינוני|גבר|גוון עור בינוני|כורע ברך|לכרוע ברך
	🧎🏾‍♂️;איש כורע ברך: גוון עור כהה בינוני;איש|איש כורע ברך|איש כורע ברך: גוון עור כהה בינוני|גבר|גוון עור כהה בינוני|כורע ברך|לכרוע ברך
	🧎🏿‍♂️;איש כורע ברך: גוון עור כהה;איש|איש כורע ברך|איש כורע ברך: גוון עור כהה|גבר|גוון עור כהה|כורע ברך|לכרוע ברך
🧎‍♀️;אישה כורעת ברך;אישה|אישה כורעת ברך|כורעת ברך
	🧎🏻‍♀️;אישה כורעת ברך: גוון עור בהיר;אישה|אישה כורעת ברך|אישה כורעת ברך: גוון עור בהיר|גוון עור בהיר|כורעת ברך
	🧎🏼‍♀️;אישה כורעת ברך: גוון עור בהיר בינוני;אישה|אישה כורעת ברך|אישה כורעת ברך: גוון עור בהיר בינוני|גוון עור בהיר בינוני|כורעת ברך
	🧎🏽‍♀️;אישה כורעת ברך: גוון עור בינוני;אישה|אישה כורעת ברך|אישה כורעת ברך: גוון עור בינוני|גוון עור בינוני|כורעת ברך
	🧎🏾‍♀️;אישה כורעת ברך: גוון עור כהה בינוני;אישה|אישה כורעת ברך|אישה כורעת ברך: גוון עור כהה בינוני|גוון עור כהה בינוני|כורעת ברך
	🧎🏿‍♀️;אישה כורעת ברך: גוון עור כהה;אישה|אישה כורעת ברך|אישה כורעת ברך: גוון עור כהה|גוון עור כהה|כורעת ברך
🧎‍➡️;אדם כורע ברך פונה ימינה;אדם כורע ברך|אדם כורע ברך פונה ימינה|כריעה|כריעת ברך|לכרוע ברך
	🧎🏻‍➡️;אדם כורע ברך פונה ימינה;אדם כורע ברך|אדם כורע ברך פונה ימינה|כריעה|כריעת ברך|לכרוע ברך
	🧎🏼‍➡️;אדם כורע ברך פונה ימינה;אדם כורע ברך|אדם כורע ברך פונה ימינה|כריעה|כריעת ברך|לכרוע ברך
	🧎🏽‍➡️;אדם כורע ברך פונה ימינה;אדם כורע ברך|אדם כורע ברך פונה ימינה|כריעה|כריעת ברך|לכרוע ברך
	🧎🏾‍➡️;אדם כורע ברך פונה ימינה;אדם כורע ברך|אדם כורע ברך פונה ימינה|כריעה|כריעת ברך|לכרוע ברך
	🧎🏿‍➡️;אדם כורע ברך פונה ימינה;אדם כורע ברך|אדם כורע ברך פונה ימינה|כריעה|כריעת ברך|לכרוע ברך
🧎‍♀️‍➡️;אישה כורעת ברך פונה ימינה;אישה|אישה כורעת ברך|אישה כורעת ברך פונה ימינה|כורעת ברך
	🧎🏻‍♀️‍➡️;אישה כורעת ברך פונה ימינה;אישה|אישה כורעת ברך|אישה כורעת ברך פונה ימינה|כורעת ברך
	🧎🏼‍♀️‍➡️;אישה כורעת ברך פונה ימינה;אישה|אישה כורעת ברך|אישה כורעת ברך פונה ימינה|כורעת ברך
	🧎🏽‍♀️‍➡️;אישה כורעת ברך פונה ימינה;אישה|אישה כורעת ברך|אישה כורעת ברך פונה ימינה|כורעת ברך
	🧎🏾‍♀️‍➡️;אישה כורעת ברך פונה ימינה;אישה|אישה כורעת ברך|אישה כורעת ברך פונה ימינה|כורעת ברך
	🧎🏿‍♀️‍➡️;אישה כורעת ברך פונה ימינה;אישה|אישה כורעת ברך|אישה כורעת ברך פונה ימינה|כורעת ברך
🧎‍♂️‍➡️;איש כורע ברך פונה ימינה;איש|איש כורע ברך|איש כורע ברך פונה ימינה|גבר|כורע ברך|לכרוע ברך
	🧎🏻‍♂️‍➡️;איש כורע ברך פונה ימינה;איש|איש כורע ברך|איש כורע ברך פונה ימינה|גבר|כורע ברך|לכרוע ברך
	🧎🏼‍♂️‍➡️;איש כורע ברך פונה ימינה;איש|איש כורע ברך|איש כורע ברך פונה ימינה|גבר|כורע ברך|לכרוע ברך
	🧎🏽‍♂️‍➡️;איש כורע ברך פונה ימינה;איש|איש כורע ברך|איש כורע ברך פונה ימינה|גבר|כורע ברך|לכרוע ברך
	🧎🏾‍♂️‍➡️;איש כורע ברך פונה ימינה;איש|איש כורע ברך|איש כורע ברך פונה ימינה|גבר|כורע ברך|לכרוע ברך
	🧎🏿‍♂️‍➡️;איש כורע ברך פונה ימינה;איש|איש כורע ברך|איש כורע ברך פונה ימינה|גבר|כורע ברך|לכרוע ברך
🧑‍🦯;אדם עם מקל נחייה;אדם עם מקל נחייה|לקוי ראייה|נגישות|עיוור
	🧑🏻‍🦯;אדם עם מקל נחייה: גוון עור בהיר;אדם עם מקל נחייה|אדם עם מקל נחייה: גוון עור בהיר|גוון עור בהיר|לקוי ראייה|נגישות|עיוור
	🧑🏼‍🦯;אדם עם מקל נחייה: גוון עור בהיר בינוני;אדם עם מקל נחייה|אדם עם מקל נחייה: גוון עור בהיר בינוני|גוון עור בהיר בינוני|לקוי ראייה|נגישות|עיוור
	🧑🏽‍🦯;אדם עם מקל נחייה: גוון עור בינוני;אדם עם מקל נחייה|אדם עם מקל נחייה: גוון עור בינוני|גוון עור בינוני|לקוי ראייה|נגישות|עיוור
	🧑🏾‍🦯;אדם עם מקל נחייה: גוון עור כהה בינוני;אדם עם מקל נחייה|אדם עם מקל נחייה: גוון עור כהה בינוני|גוון עור כהה בינוני|לקוי ראייה|נגישות|עיוור
	🧑🏿‍🦯;אדם עם מקל נחייה: גוון עור כהה;אדם עם מקל נחייה|אדם עם מקל נחייה: גוון עור כהה|גוון עור כהה|לקוי ראייה|נגישות|עיוור
🧑‍🦯‍➡️;אדם עם מקל נחייה פונה ימינה;אדם עם מקל נחייה|אדם עם מקל נחייה פונה ימינה|לקוי ראייה|נגישות|עיוור
	🧑🏻‍🦯‍➡️;אדם עם מקל נחייה פונה ימינה;אדם עם מקל נחייה|אדם עם מקל נחייה פונה ימינה|לקוי ראייה|נגישות|עיוור
	🧑🏼‍🦯‍➡️;אדם עם מקל נחייה פונה ימינה;אדם עם מקל נחייה|אדם עם מקל נחייה פונה ימינה|לקוי ראייה|נגישות|עיוור
	🧑🏽‍🦯‍➡️;אדם עם מקל נחייה פונה ימינה;אדם עם מקל נחייה|אדם עם מקל נחייה פונה ימינה|לקוי ראייה|נגישות|עיוור
	🧑🏾‍🦯‍➡️;אדם עם מקל נחייה פונה ימינה;אדם עם מקל נחייה|אדם עם מקל נחייה פונה ימינה|לקוי ראייה|נגישות|עיוור
	🧑🏿‍🦯‍➡️;אדם עם מקל נחייה פונה ימינה;אדם עם מקל נחייה|אדם עם מקל נחייה פונה ימינה|לקוי ראייה|נגישות|עיוור
👨‍🦯;איש עם מקל נחייה;איש עם מקל נחייה|לקוי ראייה|נגישות|עיוור
	👨🏻‍🦯;איש עם מקל נחייה: גוון עור בהיר;איש עם מקל נחייה|איש עם מקל נחייה: גוון עור בהיר|גוון עור בהיר|לקוי ראייה|נגישות|עיוור
	👨🏼‍🦯;איש עם מקל נחייה: גוון עור בהיר בינוני;איש עם מקל נחייה|איש עם מקל נחייה: גוון עור בהיר בינוני|גוון עור בהיר בינוני|לקוי ראייה|נגישות|עיוור
	👨🏽‍🦯;איש עם מקל נחייה: גוון עור בינוני;איש עם מקל נחייה|איש עם מקל נחייה: גוון עור בינוני|גוון עור בינוני|לקוי ראייה|נגישות|עיוור
	👨🏾‍🦯;איש עם מקל נחייה: גוון עור כהה בינוני;איש עם מקל נחייה|איש עם מקל נחייה: גוון עור כהה בינוני|גוון עור כהה בינוני|לקוי ראייה|נגישות|עיוור
	👨🏿‍🦯;איש עם מקל נחייה: גוון עור כהה;איש עם מקל נחייה|איש עם מקל נחייה: גוון עור כהה|גוון עור כהה|לקוי ראייה|נגישות|עיוור
👨‍🦯‍➡️;איש עם מקל נחייה פונה ימינה;איש עם מקל נחייה|איש עם מקל נחייה פונה ימינה|לקוי ראייה|נגישות|עיוור
	👨🏻‍🦯‍➡️;איש עם מקל נחייה פונה ימינה;איש עם מקל נחייה|איש עם מקל נחייה פונה ימינה|לקוי ראייה|נגישות|עיוור
	👨🏼‍🦯‍➡️;איש עם מקל נחייה פונה ימינה;איש עם מקל נחייה|איש עם מקל נחייה פונה ימינה|לקוי ראייה|נגישות|עיוור
	👨🏽‍🦯‍➡️;איש עם מקל נחייה פונה ימינה;איש עם מקל נחייה|איש עם מקל נחייה פונה ימינה|לקוי ראייה|נגישות|עיוור
